"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT","-1.304","61.11",".00","-","-","25' 5""","23' 7""","22' 4""","24' 10""","26' 5""","-","-","56' 2""","34' 4""","35' 3""","-","13' 7""","20' 10""","20' 8""","22' 9""","8' 4""","39' 10""","-","-","-","-","23' 7""","-","-","28' 5""","21' 0""","-","23' 0""","23' 0""","-","-","-","-"
"1/20/2019","Desert Classic","CUT","2.846","68.52","25.00",".00",".00","18' 5""","16' 11""","37' 7""","11' 9""","19' 1""","-","-","50' 2""","25' 3""","-","20' 6""","8' 11""","16' 7""","13' 7""","14' 2""","-","33' 6""","-","-","-","-","21' 9""","9' 8""","-","-","37' 7""","23' 9""","7' 9""","3' 11""","9' 8""","-","-","-"
"11/18/2018","The RSM Classic","CUT","-1.389","72.22","100.00",".00","50.00","35' 7""","51' 6""","31' 11""","61' 4""","30' 7""","-","-","80' 4""","40' 3""","17' 11""","13' 1""","-","15' 6""","30' 3""","24' 3""","21' 3""","53' 7""","-","-","-","-","51' 6""","-","-","-","39' 8""","-","75' 3""","75' 3""","-","-","-","-"
"11/4/2018","Shriners Hospitals","T7","1.095","79.17","68.75","18.18","54.55","29' 9""","32' 7""","28' 5""","41' 0""","25' 11""","-","54' 7""","38' 9""","38' 0""","-","7' 1""","14' 3""","12' 3""","23' 0""","30' 7""","27' 4""","41' 5""","14' 1""","-","77' 0""","-","32' 7""","-","56' 0""","38' 5""","-","23' 5""","8' 6""","8' 6""","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","73.61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T2","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT","2.340","80.56","12.50","100.00","100.00","23' 9""","28' 10""","32' 7""","15' 8""","22' 0""","-","-","8' 2""","27' 6""","2' 5""","5' 2""","30' 7""","19' 10""","17' 7""","26' 10""","31' 4""","21' 1""","-","-","-","55' 3""","25' 7""","35' 5""","55' 3""","-","20' 0""","17' 10""","29' 4""","20' 2""","35' 5""","-","1","8"
"9/9/2018","BMW Championship","T61","-.903","63.89","66.67","33.33","50.00","35' 1""","58' 2""","70' 5""","50' 0""","30' 2""","-","78' 0""","33' 6""","40' 10""","11' 5""","28' 3""","18' 3""","19' 11""","21' 10""","26' 2""","35' 8""","45' 11""","-","-","61' 8""","91' 0""","63' 8""","9' 0""","76' 4""","24' 4""","47' 4""","66' 1""","53' 1""","75' 1""","9' 0""","-","-","-"
"9/3/2018","Dell Technologies Champ","CUT","-.601","69.44","37.50","33.33","33.33","37' 0""","48' 5""","66' 5""","37' 7""","30' 1""","-","-","40' 2""","62' 0""","-","18' 9""","21' 1""","20' 3""","22' 0""","36' 0""","28' 9""","54' 8""","-","-","-","110' 7""","50' 1""","36' 7""","110' 7""","23' 1""","33' 7""","25' 0""","36' 7""","-","36' 7""","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T56","-.155","69.44","43.75","14.29","85.71","30' 7""","51' 5""","44' 6""","65' 3""","26' 4""","65' 0""","-","40' 1""","30' 8""","-","9' 11""","21' 6""","15' 9""","23' 5""","28' 8""","22' 6""","39' 5""","-","-","-","43' 3""","55' 0""","22' 11""","43' 3""","48' 0""","54' 8""","81' 9""","25' 4""","27' 9""","22' 11""","-","1","10"
