"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT","-.979","50.00","9' 11""","50.00","-","57.14",".00","-","33.33","100.00"
"1/20/2019","Desert Classic","CUT","-.789","75.00","-","70.59","-","80.00","-","-","66.67","100.00"
"11/18/2018","The RSM Classic","CUT",".145","50.00","3' 5""","30.00","-",".00",".00","100.00","50.00","-"
"11/4/2018","Shriners Hospitals","T7","-.267","37.50","11' 2""","53.33","100.00","100.00",".00","33.33","50.00","100.00"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","25.00","-","42.11","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T2","-","85.71","-","77.78","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT",".376","100.00","3' 0""","71.43","-","75.00",".00","100.00","66.67","100.00"
"9/9/2018","BMW Championship","T61","-.595","50.00","14' 1""","73.08","100.00","54.55","40.00","75.00","77.78","87.50"
"9/3/2018","Dell Technologies Champ","CUT","-.203","25.00","20' 4""","45.45","-","33.33","25.00","100.00","40.00","-"
"8/26/2018","THE NORTHERN TRUST","T56",".392","62.50","11' 3""","50.00",".00","42.86",".00","33.33","55.56","83.33"
"8/19/2018","Wyndham Championship","T45","-.514","66.67","6' 11""","52.63","-","100.00",".00","75.00","41.67","100.00"
"8/12/2018","PGA Championship","CUT","-.691","50.00","11' 2""","46.67","-","25.00","33.33","100.00","40.00","100.00"
"7/22/2018","The Open Championship","CUT","-",".00","-","52.94","-","-","-","-","-","-"
"7/15/2018","John Deere Classic","T72","-.077","50.00","5' 0""","50.00","100.00","42.86",".00","100.00","33.33","100.00"
"7/1/2018","Quicken Loans National","T8","-.474","25.00","22' 7""","69.57","100.00","85.71","25.00","66.67","62.50","100.00"
"6/24/2018","Travelers Championship","CUT","-.027","33.33","17' 0""","60.00","-","25.00",".00","50.00","60.00","100.00"
"6/17/2018","U.S. Open","CUT",".742","16.67","13' 3""","31.58","33.33","33.33","40.00","20.00","25.00","-"
"6/3/2018","the Memorial Tournament","T40","-.382","40.00","8' 10""","59.09","-","66.67","50.00","100.00","50.00","83.33"
"5/27/2018","Fort Worth Invitational","T20",".135","45.45","8' 0""","50.00","100.00","40.00",".00","60.00","57.14","80.00"
"5/13/2018","THE PLAYERS Championship","T11","-.489","60.00","3' 5""","56.00","100.00",".00","60.00","33.33","33.33","100.00"
"5/6/2018","Wells Fargo Championship","T16",".783","66.67","7' 11""","56.52","100.00","62.50","42.86","66.67","42.86","100.00"
"4/29/2018","Zurich Classic of New Orl","T4","-","-","-","-","-","-","-","-","-","-"
