"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-1.626",".657","297.0","295.0","311","42.86","45' 3""","7.14","28.57","1,998","-","-"
"1/20/2019","Desert Classic","CUT","3.094","1.038","295.5","278.0","309","69.05","17' 9""","7.14","21.43","1,998","-","-"
"11/18/2018","The RSM Classic","CUT","-1.985","-.741","281.5","282.1","309","60.71","11' 8""","7.14","14.29","1,998","112.32","1,998"
"11/4/2018","Shriners Hospitals","T7","1.083",".254","314.8","301.4","347","71.43","33' 8""","12.50","5.36","36","116.00","105"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","-","-","-","-","69.64","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T2","-","-","-","-","-","78.57","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT","1.755","-.962","287.0","276.2","333","53.57","48' 9""","28.57","7.14","1,998","112.06","1,998"
"9/9/2018","BMW Championship","T61","-1.214",".285","296.5","287.8","340","78.57","24' 6""","7.14","10.71","41","113.47","39"
"9/3/2018","Dell Technologies Champ","CUT","-1.103","-.299","304.3","290.2","346","50.00","18' 5""","14.29","25.00","1,998","114.31","1,998"
"8/26/2018","THE NORTHERN TRUST","T56","1.045",".807","295.8","289.1","332","58.93","26' 3""","20.37","9.26","66","114.62","21"
"8/19/2018","Wyndham Championship","T45","1.074",".702","318.6","284.5","359","69.64","22' 10""","10.71","16.07","26","116.06","40"
"8/12/2018","PGA Championship","CUT","-3.861",".047","292.3","291.0","329","60.71","27' 11""","17.86","10.71","1,998","-","-"
"7/22/2018","The Open Championship","CUT","-","-","282.8","-","333","46.67","-","-","-","1,998","-","-"
"7/15/2018","John Deere Classic","T72",".745","-.068","301.3","286.8","345","69.05","26' 8""","9.52","11.90","1,998","115.24","1,998"
"7/1/2018","Quicken Loans National","T8",".403",".236","318.5","286.2","354","55.36","17' 3""","23.21","12.50","50","115.09","7"
"6/24/2018","Travelers Championship","CUT","1.398",".686","308.3","294.2","333","46.43","28' 3""","28.57","10.71","1,998","114.19","1,998"
"6/17/2018","U.S. Open","CUT",".214","-.204","301.0","291.1","337","53.57","-","14.29","21.43","1,998","-","-"
"6/3/2018","the Memorial Tournament","T40",".275",".383","292.8","290.2","334","71.43","30' 11""","3.70","18.52","58","114.27","52"
"5/27/2018","Fort Worth Invitational","T20",".975","-.061","308.0","283.6","336","55.36","29' 5""","21.43","17.86","62","115.45","25"
"5/13/2018","THE PLAYERS Championship","T11",".275","-.038","301.1","284.5","337","66.07","21' 8""","3.64","20.00","42","115.34","79"
"5/6/2018","Wells Fargo Championship","T16","1.131","-.417","308.0","299.5","358","55.36","30' 8""","20.00","9.09","61","115.73","25"
"4/29/2018","Zurich Classic of New Orl","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T20",".935",".194","303.6","292.2","362","62.50","24' 6""","8.93","10.71","51","114.15","66"
"4/15/2018","RBC Heritage","T7",".363","-.036","283.1","275.2","332","64.29","34' 4""","1.79","12.50","55","114.96","25"
"4/1/2018","Houston Open","T18","1.365","-.153","295.5","282.6","381","58.93","35' 3""","12.73","14.55","77","112.21","130"
"3/18/2018","Arnold Palmer Invt'l","T49","-.228","-.750","290.9","280.5","329","64.29","17' 7""","10.71","10.71","91","114.92","128"
"3/11/2018","Valspar Championship","CUT","-1.417","-.207","283.3","272.2","319","69.23","25' 0""","3.85","15.38","1,998","112.49","1,998"
"2/25/2018","The Honda Classic","CUT","-3.588","-.641","293.5","279.4","336","46.43","26' 11""","18.52","14.81","1,998","112.57","1,998"
"2/11/2018","AT&T Pebble Beach","T35","1.446",".682","301.4","278.5","366","69.09","20' 8""","21.43","14.29","58","112.32","14"
"2/4/2018","Waste Management Phoenix","T5","2.501",".517","301.8","307.6","355","48.21","24' 2""","19.64","12.50","98","114.08","68"
"1/28/2018","Farmers Insurance Open","T23","1.468","-.621","289.0","292.0","341","42.86","33' 3""","24.39","21.95","125","112.73","129"
"1/21/2018","CareerBuilder Challenge","T42","1.271",".327","292.9","279.3","312","55.36","33' 10""","14.29","21.43","97","112.77","41"
"11/19/2017","The RSM Classic","T37","1.115",".497","291.0","279.8","332","75.00","28' 3""","4.76","11.90","59","112.26","48"
"11/12/2017","OHL Classic at Mayakoba","W/D","-","-","300.3","-","321","53.57","-","-","-","1,998","-","-"
"11/5/2017","Shriners Hospitals","T4","1.239",".317","306.0","296.1","366","51.79","29' 9""","17.86","23.21","103","114.09","73"
"10/29/2017","Sanderson Farms Champ.","2","2.931","1.106","302.8","289.5","338","62.50","29' 10""","16.36","18.18","22","113.14","63"
"10/8/2017","Safeway Open","T3","1.726",".114","318.8","288.9","365","57.14","33' 7""","27.78","11.11","31","117.02","37"
"8/20/2017","Wyndham Championship","CUT","-1.195","-.309","313.8","291.0","348","42.86","20' 0""","25.00","28.57","1,998","114.49","1,998"
"8/6/2017","Barracuda Championship","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"7/23/2017","Barbasol Championship","T27",".461",".697","303.8","290.0","334","69.64","25' 5""","17.86","10.71","45","114.28","11"
"7/16/2017","John Deere Classic","T25",".873","1.277","309.6","295.5","363","82.14","19' 7""","5.36","3.57","12","114.88","27"
"5/7/2017","Wells Fargo Championship","CUT","-1.352","-.238","291.0","289.6","322","50.00","28' 6""","21.43","10.71","1,998","113.47","1,998"
"3/26/2017","Puerto Rico Open","T76","-","-","290.2","-","306","69.05","-","-","-","1,998","-","-"
"11/20/2016","The RSM Classic","T45",".377","-.887","299.1","281.4","339","66.07","25' 0""","17.50","12.50","61","114.15","66"
"10/30/2016","Sanderson Farms Champ.","CUT","-1.211","-.748","299.8","290.9","322","46.43","36' 0""","14.81","25.93","1,998","112.56","1,998"
"8/21/2016","Wyndham Championship","T57",".475","-.069","310.5","288.9","377","53.57","20' 2""","28.57","12.50","104","111.23","64"
"8/14/2016","John Deere Classic","CUT",".872",".767","284.3","284.2","328","67.86","30' 9""","7.14","21.43","1,998","111.84","1,998"
"8/7/2016","Travelers Championship","CUT",".125",".529","280.5","290.8","324","67.86","19' 0""","14.29","7.14","1,998","112.49","1,998"
"7/24/2016","RBC Canadian Open","T43",".564","-.560","331.4","310.1","367","33.93","26' 5""","28.57","23.21","79","111.96","53"
"7/17/2016","Barbasol Championship","T11","1.394",".565","296.4","287.9","337","67.86","23' 9""","14.29","12.50","47","113.81","24"
"7/3/2016","Barracuda Championship","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"6/26/2016","Quicken Loans National","T64",".551","-.158","296.0","288.7","360","55.36","33' 7""","23.64","16.36","76","113.95","28"
"6/12/2016","FedEx St. Jude Classic","CUT","-.061","-.314","293.0","286.6","346","42.86","25' 11""","17.86","28.57","1,998","112.35","1,998"
"5/29/2016","DEAN & DELUCA Invt'l","CUT","-.995",".098","287.5","267.2","343","53.57","22' 9""","14.29","21.43","1,998","114.11","1,998"
"5/22/2016","AT&T Byron Nelson","CUT","-.090","-1.055","286.5","271.4","311","42.86","32' 0""","35.71","7.14","1,998","113.70","1,998"
"5/15/2016","THE PLAYERS Championship","CUT","-2.629","-1.672","301.0","288.4","330","46.43","22' 9""","18.52","11.11","1,998","113.18","1,998"
"5/8/2016","Wells Fargo Championship","T11","1.366","1.176","281.4","296.5","358","53.57","28' 5""","25.00","16.07","74","113.07","31"
"5/1/2016","Zurich Classic of New Orl","T20","-.648","-.075","279.3","271.6","332","59.52","35' 9""","9.52","7.14","131","111.28","125"
"4/24/2016","Valero Texas Open","CUT","-.421","-.394","312.3","294.3","338","39.29","33' 5""","18.52","11.11","1,998","116.62","1,998"
"4/17/2016","RBC Heritage","CUT","-.388","-.032","284.5","274.0","333","53.57","37' 2""","7.14","10.71","1,998","110.65","1,998"
"4/3/2016","Shell Houston Open","T38","1.050",".897","292.0","285.6","343","60.71","47' 0""","14.81","9.26","78","111.93","10"
"3/27/2016","Puerto Rico Open","CUT","-","-","292.5","-","312","67.86","-","-","-","1,998","-","-"
"3/13/2016","Valspar Championship","T69","-.748","-.374","290.3","278.0","356","51.92","38' 1""","19.61","9.80","88","113.14","20"
"2/28/2016","The Honda Classic","T21",".347","-.220","291.8","277.5","318","66.07","33' 5""","12.50","12.50","57","110.81","30"
"2/14/2016","AT&T Pebble Beach","CUT","-2.574","-.695","292.2","270.0","350","58.54","13' 7""","35.71",".00","1,998","-","-"
"2/7/2016","Waste Management Phoenix","T60","-.695","-.676","297.6","292.9","336","55.36","30' 8""","14.55","10.91","71","110.91","3"
"1/31/2016","Farmers Insurance Open","T58",".781",".263","302.0","295.9","344","58.93","30' 5""","12.82","12.82","21","110.71","62"
"1/24/2016","CareerBuilder Challenge","CUT","-4.399","-.276","300.0","277.7","314","57.14","26' 3""","14.29","14.29","1,998","111.63","1,998"
"11/22/2015","The RSM Classic","CUT","2.218",".579","287.3","273.2","305","60.71","10' 0""","21.43","7.14","1,998","111.44","1,998"
"11/1/2015","CIMB Classic","T68","-","-","-","-","-","60.71","-","-","-","-","-","-"
"10/25/2015","Shriners Hospitals","T62",".199",".262","306.5","298.9","357","66.07","28' 8""","5.36","16.07","36","113.05","9"
"10/18/2015","Frys.com Open","CUT","-3.361","-.741","311.0","289.3","333","60.71","29' 10""","17.86","7.14","1,998","111.56","1,998"
"9/7/2015","Deutsche Bank Champ","74","-2.110","-.535","306.4","286.5","351","50.00","26' 1""","23.64","14.55","77","112.22","54"
"8/30/2015","The Barclays","CUT","-3.037","-.081","296.3","279.2","366","53.57","24' 11""","25.00","7.14","1,998","111.71","1,998"
"8/23/2015","Wyndham Championship","CUT",".064",".382","291.8","281.7","323","46.43","13' 7""","28.57","21.43","1,998","110.96","1,998"
"8/16/2015","PGA Championship","T61",".605",".353","292.8","287.9","340","67.86","26' 10""","17.86","7.14","53","-","-"
"8/2/2015","Quicken Loans National","70","-1.645","-.260","287.5","283.9","327","51.79","35' 6""","16.36","20.00","124","110.80","109"
"7/26/2015","RBC Canadian Open","T72","-.873","-.575","286.9","295.7","346","37.50","34' 1""","27.27","16.36","136","111.98","68"
"7/19/2015","Barbasol Championship","T39","-.392",".536","292.5","282.9","331","66.07","29' 0""","17.86","14.29","81","110.93","36"
"7/12/2015","John Deere Classic","CUT","-1.380",".260","296.8","284.2","346","75.00","21' 4""","7.41","7.41","1,998","111.88","-"
"6/14/2015","FedEx St. Jude Classic","CUT","-2.416",".524","308.8","292.5","343","53.57","26' 6""","11.11","14.81","1,998","109.50","1,998"
"6/7/2015","the Memorial Tournament","T49","-.088","-1.528","287.3","286.8","338","53.57","20' 9""","12.73","23.64","114","111.23","16"
"5/24/2015","Crowne Plaza Invitational","T24",".502",".172","284.0","274.2","309","48.21","27' 11""","21.43","12.50","92","110.73","51"
"5/17/2015","Wells Fargo Championship","T20","1.570",".592","304.6","299.7","333","41.07","28' 6""","26.79","16.07","85","110.89","9"
"5/10/2015","THE PLAYERS Championship","T24",".692",".442","288.9","284.1","333","62.50","21' 3""","10.71","12.50","72","111.28","16"
"4/26/2015","Zurich Classic of New Orl","T8","1.247",".814","289.3","278.3","313","66.07","27' 5""","14.29","12.50","67","111.52","24"
"4/19/2015","RBC Heritage","CUT","-1.285","-.382","289.0","263.4","314","67.86","52' 11""","3.57","10.71","1,998","113.16","1,998"
"4/5/2015","Shell Houston Open","T50",".062",".142","288.0","284.7","346","58.93","26' 5""","8.93","16.07","88","114.42","115"
"3/29/2015","Valero Texas Open","T4","1.218",".850","297.9","291.0","354","53.57","24' 10""","17.86","8.93","59","114.02","24"
"3/22/2015","Arnold Palmer Invt'l","T67","-2.287","-.283","295.4","280.4","312","67.86","18' 2""","10.91","1.82","70","113.04","67"
"3/15/2015","Valspar Championship","T44",".255",".143","271.0","269.4","329","59.62","29' 6""","19.61","9.80","94","113.26","19"
"3/8/2015","Puerto Rico Open","T16","-","-","290.0","-","345","64.29","-","-","-","38","-","-"
"3/1/2015","The Honda Classic","CUT","-3.153","-.780","278.0","270.7","321","46.43","24' 8""","14.29","17.86","1,998","112.05","1,998"
"2/22/2015","Northern Trust Open","CUT","-2.602","-.066","297.3","278.4","309","46.43","27' 5""","17.86","25.00","1,998","109.67","1,998"
"2/15/2015","AT&T Pebble Beach","T10",".008",".311","293.5","272.0","304","76.36","19' 6""","7.14","7.14","43","110.49","31"
"2/1/2015","Waste Management Phoenix","CUT","-2.724","-.367","287.8","290.9","324","42.86","22' 9""","11.11","33.33","1,998","111.08","1,998"
