"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT",".947","-","1.818","1.694","30.56",".00","30.50","32.00","29.00","-","-","100.00","100.00","100.00",".00","-","-","50.00","50.00","66.67","84.21","50.00","50.00",".00",".00","15' 2""","2' 11""","79' 7""","18.18"
"1/20/2019","Desert Classic","CUT","-1.209","-","1.730","1.593","42.59","1.85","28.67","28.00","29.00","29.00","-","100.00","75.00","-","50.00","-",".00",".00",".00","33.33","76.19",".00","50.00",".00","-","17' 8""","1' 8""","69' 4""","35.14"
"11/18/2018","The RSM Classic","CUT","1.868","-","1.692","1.694","33.33","2.78","30.50","32.00","29.00","-","-","100.00","100.00","100.00","100.00","100.00","-","-","-","100.00","100.00",".00","25.00",".00","20.00","31' 11""","2' 7""","98' 9""","34.62"
"11/4/2018","Shriners Hospitals","T7",".892","49.9","1.649","1.597","40.28",".00","28.75","31.00","28.00","28.00","28.00","100.00","100.00","85.71","100.00","100.00","100.00","100.00",".00","93.33","92.54","29.41","20.00",".00","20.00","37' 5""","2' 0""","89' 11""","38.60"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T73","-","-","1.925","1.833","22.22","5.56","33.00","32.00","34.00","30.00","36.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20.75"
"10/14/2018","CIMB Classic","T2","-","-","1.611","1.486","48.61",".00","26.75","25.00","30.00","27.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","46.30"
"10/7/2018","Safeway Open","CUT","-2.237","-","1.862","1.722","30.56","8.33","31.00","30.00","32.00","-","-","95.45","85.71","25.00","100.00","100.00","100.00",".00","100.00","66.67","82.93","14.29",".00",".00",".00","10' 1""","2' 3""","55' 1""","27.59"
"9/9/2018","BMW Championship","T61","-.653","96.3","1.891","1.653","34.72","2.78","29.75","28.00","31.00","33.00","27.00","100.00","100.00",".00","75.00","100.00","75.00",".00",".00","71.43","89.19","21.43","14.29",".00","5.26","33' 11""","2' 2""","68' 1""","17.39"
"9/3/2018","Dell Technologies Champ","CUT","-1.409","-","1.880","1.778","25.00","2.78","32.00","32.00","32.00","-","-","95.83","100.00","66.67","50.00","100.00",".00",".00",".00","66.67","85.00","20.00","33.33",".00",".00","16' 2""","2' 2""","57' 2""","16.00"
"8/26/2018","THE NORTHERN TRUST","T56","-1.152","79.9","1.760","1.667","31.94","1.39","30.00","32.00","29.00","31.00","28.00","100.00","100.00","80.00","25.00","50.00","50.00",".00","66.67","52.63","85.90","33.33",".00",".00",".00","13' 8""","2' 1""","58' 9""","26.00"
