"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/20/2019","Desert Classic","T28",".621","72.22","62.50",".00",".00","30' 10""","29' 3""","25' 7""","36' 7""","31' 5""","140' 3""","71' 9""","-","38' 2""","-","10' 6""","12' 11""","11' 2""","22' 5""","18' 0""","27' 9""","76' 11""","-","-","-","36' 7""","29' 3""","-","36' 7""","-","-","29' 6""","21' 7""","21' 7""","-","-","2","12"
"1/13/2019","Sony Open in Hawaii","T3","2.051","77.78","77.78","14.29","100.00","32' 11""","49' 4""","47' 11""","50' 1""","26' 5""","-","-","64' 2""","54' 0""","-","27' 8""","18' 7""","19' 8""","12' 11""","22' 10""","29' 8""","57' 4""","-","92' 8""","-","-","49' 4""","-","92' 8""","53' 1""","44' 4""","35' 11""","-","-","-","-","5","149"
"11/11/2018","Mayakoba Golf Classic","T26","-","68.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-"
"10/28/2018","WGC-HSBC Champions","T35","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","83.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T43","-","80.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T33",".934","75.00","56.25","22.22","66.67","31' 11""","39' 3""","32' 10""","45' 8""","28' 8""","71' 11""","78' 7""","10' 3""","47' 11""","4' 4""","22' 10""","20' 11""","20' 6""","22' 6""","27' 9""","37' 5""","42' 1""","-","62' 8""","-","56' 0""","40' 6""","23' 1""","58' 3""","-","25' 5""","48' 5""","30' 7""","32' 6""","23' 1""","-","-","-"
"9/9/2018","BMW Championship","T38",".511","81.94","33.33",".00","66.67","29' 7""","39' 3""","35' 8""","61' 0""","27' 5""","115' 0""","-","44' 8""","37' 11""","18' 1""","18' 10""","16' 7""","17' 1""","20' 0""","17' 11""","20' 8""","47' 7""","-","-","-","-","44' 7""","7' 6""","-","70' 7""","20' 10""","41' 1""","24' 0""","32' 3""","7' 6""","-","-","-"
"9/3/2018","Dell Technologies Champ","CUT","-3.999","50.00","37.50",".00","33.33","44' 2""","57' 9""","47' 10""","62' 9""","39' 8""","-","-","107' 10""","71' 0""","11' 0""","24' 3""","11' 1""","17' 8""","32' 4""","26' 9""","41' 8""","95' 6""","-","-","-","-","57' 9""","-","-","-","67' 7""","-","38' 2""","38' 2""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T20",".964","72.22","18.75",".00","33.33","30' 0""","19' 8""","37' 1""","15' 4""","29' 6""","131' 2""","-","55' 2""","44' 10""","-","21' 3""","21' 1""","21' 3""","9' 11""","21' 10""","27' 7""","52' 2""","-","-","-","-","25' 3""","11' 4""","-","-","-","18' 8""","19' 11""","28' 7""","11' 4""","-","-","-"
"8/12/2018","PGA Championship","T12","1.778","76.39","10.00",".00",".00","26' 4""","36' 6""","32' 6""","39' 11""","24' 3""","-","-","49' 9""","29' 8""","-","15' 9""","13' 6""","14' 2""","14' 3""","23' 7""","28' 4""","38' 3""","-","-","-","10' 9""","38' 11""","12' 5""","10' 9""","52' 6""","49' 5""","21' 7""","32' 8""","42' 10""","12' 5""","-","-","-"
"7/29/2018","RBC Canadian Open","CUT","-.183","61.11","50.00","50.00","75.00","26' 3""","33' 1""","28' 11""","49' 10""","24' 0""","-","-","-","42' 8""","18' 9""","23' 7""","23' 9""","22' 11""","17' 9""","23' 5""","21' 6""","42' 8""","-","-","49' 10""","40' 1""","33' 1""","-","45' 0""","-","21' 8""","26' 11""","-","-","-","-","1","11"
"7/22/2018","The Open Championship","CUT","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/15/2018","John Deere Classic","CUT","1.828","80.56","57.14","50.00","75.00","32' 2""","46' 0""","27' 0""","58' 8""","26' 4""","29' 10""","53' 4""","42' 3""","32' 8""","-","7' 1""","29' 3""","24' 10""","25' 8""","7' 3""","28' 0""","35' 5""","-","-","-","-","49' 3""","41' 1""","-","26' 2""","-","60' 10""","41' 1""","-","38' 11""","43' 2""","-","-"
"6/24/2018","Travelers Championship","CUT",".873","72.22","66.67",".00","75.00","31' 3""","33' 0""","19' 7""","46' 4""","29' 6""","-","57' 7""","40' 0""","48' 1""","47' 5""","12' 9""","6' 7""","18' 5""","31' 8""","29' 4""","13' 4""","45' 8""","-","-","-","-","34' 7""","25' 0""","-","60' 3""","-","28' 2""","25' 0""","-","-","25' 0""","-","-"
"6/17/2018","U.S. Open","CUT","-.948","44.44",".00","-","-","49' 8""","66' 11""","27' 2""","146' 5""","49' 6""","-","124' 0""","88' 1""","42' 7""","-","7' 7""","21' 9""","18' 2""","51' 6""","55' 4""","41' 11""","67' 3""","-","-","-","146' 5""","146' 5""","27' 2""","146' 5""","-","-","-","26' 10""","-","26' 10""","-","-","-"
"6/10/2018","FedEx St. Jude Classic","T6","-.032","59.72","75.00","33.33","33.33","30' 6""","42' 4""","50' 11""","37' 3""","26' 4""","-","-","57' 2""","36' 7""","-","13' 2""","22' 4""","19' 3""","22' 8""","20' 6""","23' 10""","42' 2""","-","-","-","-","43' 2""","30' 8""","-","47' 6""","53' 5""","21' 10""","37' 11""","41' 6""","30' 8""","-","-","-"
"5/27/2018","Fort Worth Invitational","CUT","-.432","63.89","50.00",".00","50.00","32' 6""","51' 2""","49' 9""","52' 2""","29' 10""","-","76' 3""","48' 0""","59' 0""","-","14' 1""","4' 2""","8' 2""","15' 7""","31' 1""","33' 7""","58' 2""","-","-","-","74' 11""","51' 2""","-","74' 11""","54' 4""","67' 1""","29' 10""","-","-","-","-","-","-"
"5/13/2018","THE PLAYERS Championship","T30",".432","66.67","55.00","27.27","54.55","36' 4""","42' 3""","39' 0""","46' 5""","31' 5""","61' 0""","-","61' 4""","40' 5""","-","12' 8""","24' 11""","19' 8""","23' 7""","31' 4""","24' 6""","51' 8""","24' 5""","-","-","60' 6""","43' 4""","33' 11""","48' 5""","43' 5""","47' 8""","-","33' 7""","33' 5""","-","33' 11""","1","14"
"4/29/2018","Zurich Classic of New Orl","T22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","53","-","59.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/1/2018","Houston Open","CUT","-.172","66.67","25.00",".00",".00","33' 10""","18' 8""","13' 10""","37' 10""","33' 0""","120' 4""","-","120' 6""","35' 5""","-","2' 11""","22' 7""","16' 0""","20' 8""","24' 5""","37' 1""","69' 5""","-","-","-","-","21' 2""","8' 9""","-","37' 10""","-","14' 1""","13' 9""","16' 4""","8' 9""","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT","-.033","50.00","37.50",".00","33.33","42' 11""","44' 0""","31' 0""","46' 7""","42' 9""","154' 7""","90' 3""","35' 4""","42' 9""","-","13' 0""","22' 4""","18' 7""","39' 2""","39' 0""","32' 0""","80' 5""","-","-","-","-","44' 0""","-","-","66' 5""","37' 10""","68' 10""","15' 3""","15' 3""","-","-","1","9"
