"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/20/2019","Desert Classic","T28",".423","50.00","26' 3""","90.00","100.00","85.71","100.00","-","66.67","100.00"
"1/13/2019","Sony Open in Hawaii","T3",".662","33.33","16' 10""","56.25","66.67","100.00","100.00","33.33","50.00","75.00"
"11/11/2018","Mayakoba Golf Classic","T26","-","60.00","-","69.57","-","69.23","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T35","-","55.56","-","37.50","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","66.67","-","58.33","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T43","-","66.67","-","42.86","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T33",".117","40.00","9' 4""","61.11","100.00","75.00",".00","100.00","37.50","83.33"
"9/9/2018","BMW Championship","T38","-.315","66.67","26' 7""","61.54","100.00","50.00",".00","66.67","57.14","100.00"
"9/3/2018","Dell Technologies Champ","CUT","-.710","62.50","8' 2""","61.11","100.00","66.67",".00","80.00","60.00","80.00"
"8/26/2018","THE NORTHERN TRUST","T20","-.061","40.00","8' 3""","55.00","100.00","20.00","33.33",".00","63.64","100.00"
"8/12/2018","PGA Championship","T12",".112","25.00","8' 9""","58.82","-","83.33","66.67","100.00","45.45","100.00"
"7/29/2018","RBC Canadian Open","CUT","-.604","50.00","13' 7""","64.29","-","83.33",".00","-","66.67","83.33"
"7/22/2018","The Open Championship","CUT","-","33.33","-","56.25","-","-","-","-","-","-"
"7/15/2018","John Deere Classic","CUT","-1.102",".00","-","14.29","-",".00",".00",".00","25.00","-"
"6/24/2018","Travelers Championship","CUT",".497",".00","4' 5""","60.00","-","75.00","50.00","100.00","33.33","75.00"
"6/17/2018","U.S. Open","CUT",".778","50.00","16' 1""","55.00","50.00","25.00","55.56","66.67","66.67",".00"
"6/10/2018","FedEx St. Jude Classic","T6","-.464","66.67","6' 4""","75.86","100.00","58.33",".00","100.00","70.59","100.00"
"5/27/2018","Fort Worth Invitational","CUT","-.473","37.50","11' 11""","38.46",".00","33.33",".00","50.00","44.44","-"
"5/13/2018","THE PLAYERS Championship","T30","-1.216","50.00","8' 11""","62.50","-","33.33","20.00","50.00","55.56","100.00"
"4/29/2018","Zurich Classic of New Orl","T22","-","-","-","-","-","-","-","-","-","-"
