"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/20/2019","Desert Classic","T28","1.625",".581","282.4","272.3","298","80.36","19' 4""","3.57","14.29","62","-","-"
"1/13/2019","Sony Open in Hawaii","T3","3.248",".534","308.3","290.2","343","66.07","12' 1""","8.93","17.86","38","108.94","52"
"11/11/2018","Mayakoba Golf Classic","T26","-","-","286.1","-","294","78.57","-","-","-","45","-","-"
"10/28/2018","WGC-HSBC Champions","T35","-","-","-","-","301","73.21","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","-","-","-","-","82.14","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T43","-","-","-","-","-","75.00","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T33",".674","-.377","300.0","279.7","334","60.71","22' 0""","12.73","18.18","70","106.75","13"
"9/9/2018","BMW Championship","T38","-.098","-.294","274.9","279.1","320","80.36","21' 5""","12.73","1.82","69","110.00","125"
"9/3/2018","Dell Technologies Champ","CUT","-4.758","-.048","289.3","279.4","330","75.00","9' 3""","3.57","14.29","1,998","109.88","1,998"
"8/26/2018","THE NORTHERN TRUST","T20",".829","-.075","269.5","271.0","320","85.71","13' 3""","5.36","7.14","76","110.71","109"
"8/12/2018","PGA Championship","T12","1.679","-.211","287.1","279.7","318","69.64","16' 1""","8.93","12.50","106","-","-"
"7/29/2018","RBC Canadian Open","CUT","-.936","-.148","285.8","291.6","333","64.29","18' 6""","14.29","7.14","1,998","110.89","1,998"
"7/22/2018","The Open Championship","CUT","-","-","301.0","-","332","76.67","-","-","-","1,998","-","-"
"7/15/2018","John Deere Classic","CUT",".700","-.027","277.0","277.2","315","67.86","18' 11""","10.71","14.29","1,998","108.90","1,998"
"6/24/2018","Travelers Championship","CUT",".809","-.562","291.5","278.9","331","53.57","12' 9""","17.86","14.29","1,998","107.29","1,998"
"6/17/2018","U.S. Open","CUT","-.474","-.303","282.0","278.3","321","78.57","-","3.57","10.71","1,998","-","-"
"6/10/2018","FedEx St. Jude Classic","T6",".379",".876","293.9","290.8","340","60.71","15' 10""","12.50","16.07","58","110.69","84"
"5/27/2018","Fort Worth Invitational","CUT","-.092",".814","285.0","275.7","316","75.00","23' 2""","7.14","10.71","1,998","112.16","1,998"
"5/13/2018","THE PLAYERS Championship","T30","-.648",".136","282.9","280.0","312","73.21","20' 6""","5.36","8.93","73","107.49","44"
"4/29/2018","Zurich Classic of New Orl","T22","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","53","-","-","276.8","-","291","76.79","-","-","-","55","-","-"
"4/1/2018","Houston Open","CUT",".171",".430","274.3","266.4","287","78.57","16' 8""","10.71","3.57","1,998","108.89","1,998"
"3/25/2018","WGC-Dell Tech Match Play","T29","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT","-.283",".473","275.5","265.4","303","65.38","15' 3""","7.69","19.23","1,998","-","-"
"3/4/2018","WGC-Mexico Championship","T52","-1.330","-.759","296.9","286.5","356","66.07","28' 2""","16.07","14.29","63","106.85","65"
"2/18/2018","Genesis Open","T73","-.928",".311","294.5","281.4","321","71.43","15' 2""","7.14","10.71","43","108.05","126"
"2/11/2018","AT&T Pebble Beach","T2","1.954",".811","291.6","270.3","338","74.55","51' 6""","3.57","3.57","64","107.27","7"
"2/4/2018","Waste Management Phoenix","2","3.067","1.271","295.3","297.8","329","64.29","19' 6""","14.29","17.86","67","108.70","26"
"1/21/2018","CareerBuilder Challenge","T36","3.394",".042","280.5","270.7","306","67.86","14' 2""","10.71","17.86","87","111.42","82"
"1/14/2018","Sony Open in Hawaii","T18","2.648",".488","302.1","288.5","329","67.86","21' 7""","14.29","5.36","59","107.30","90"
"11/12/2017","OHL Classic at Mayakoba","T14","-","-","275.9","-","293","76.79","-","-","-","68","-","-"
"10/29/2017","WGC-HSBC Champions","T24","-","-","-","-","284","58.93","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T15","-","-","-","-","-","78.57","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T17","-","-","-","-","-","92.86","-","-","-","-","-","-"
"10/8/2017","Safeway Open","T13","1.399",".256","297.9","283.6","335","69.64","22' 8""","8.93","10.71","52","107.80","7"
"9/17/2017","BMW Championship","T12","-.119","-.435","300.6","279.0","328","69.64","16' 4""","12.50","12.50","58","109.23","27"
"9/4/2017","Dell Technologies Champ","T61","-2.240","-.143","273.9","271.5","306","69.64","12' 6""","12.50","10.71","95","107.98","51"
"8/27/2017","THE NORTHERN TRUST","T10",".619",".071","292.5","281.4","332","75.00","11' 10""","8.93","7.14","48","112.12","69"
"8/20/2017","Wyndham Championship","T37",".095",".559","299.6","282.0","349","66.07","17' 6""","17.86","16.07","92","107.03","25"
"8/13/2017","PGA Championship","T22","2.843",".517","287.9","285.7","306","76.79","28' 9""","8.93","7.14","65","-","-"
"7/30/2017","RBC Canadian Open","T23",".642","-.437","295.1","286.7","342","58.93","25' 5""","14.55","14.55","79","111.58","108"
"7/16/2017","John Deere Classic","T39",".877",".648","287.8","279.9","319","91.07","17' 10""","3.57","5.36","56","108.36","35"
"6/25/2017","Travelers Championship","T43",".832",".447","283.6","278.3","350","73.21","19' 4""","7.14","7.14","81","107.36","34"
"6/18/2017","U.S. Open","T16","1.460","-.706","294.0","281.7","332","91.07","-","1.79","5.36","60","-","-"
"6/11/2017","FedEx St. Jude Classic","T4","2.104",".423","286.4","286.0","326","69.64","16' 4""","9.09","16.36","51","110.34","58"
"5/28/2017","DEAN & DELUCA Invt'l","T48",".656",".354","286.1","273.2","335","64.29","19' 1""","12.50","8.93","66","108.81","95"
"5/21/2017","AT&T Byron Nelson","CUT","-2.252","-1.023","275.3","282.2","338","53.57","20' 4""","10.71","28.57","1,998","109.02","1,998"
"5/14/2017","THE PLAYERS Championship","T56","-.704","-.408","282.6","267.5","320","73.21","20' 8""","1.79","10.71","61","108.24","33"
"5/7/2017","Wells Fargo Championship","T42",".746",".587","278.0","276.0","331","82.14","17' 9""","5.36","7.14","59","107.92","61"
"4/30/2017","Zurich Classic of New Orl","T39","-","-","-","-","-","-","-","-","-","-","-","-"
"4/16/2017","RBC Heritage","CUT","-.753","-.856","268.5","270.3","305","67.86","26' 7""","7.41",".00","1,998","107.33","1,998"
"4/2/2017","Shell Houston Open","CUT","-.492","-.378","270.8","266.0","306","60.71","11' 9""","10.71","21.43","1,998","110.24","1,998"
"3/19/2017","Arnold Palmer Invt'l","CUT","-.981",".777","270.5","267.3","310","78.57","18' 4""","7.14","7.14","1,998","108.23","1,998"
"3/12/2017","Valspar Championship","T27",".702",".098","273.6","271.1","323","67.31","23' 0""","11.54","11.54","79","109.40","131"
"2/19/2017","Genesis Open","CUT","-3.656","-.596","282.3","261.9","298","71.43","25' 3""","10.71","17.86","1,998","108.03","1,998"
"2/12/2017","AT&T Pebble Beach","CUT","1.732","1.295","264.7","261.1","308","78.05","2' 9""","7.14",".00","1,998","-","-"
"2/5/2017","Waste Management Phoenix","CUT","-.338","1.085","295.3","292.5","311","75.00","12' 2""","10.71","7.14","1,998","106.56","1,998"
"1/22/2017","CareerBuilder Challenge","T12",".199",".447","277.6","263.8","288","78.57","19' 8""","3.57","10.71","69","112.10","122"
"1/15/2017","Sony Open in Hawaii","T8","2.065",".555","305.5","289.1","334","71.43","9' 5""","14.29","5.36","49","109.50","80"
"11/13/2016","OHL Classic at Mayakoba","T4","-","-","276.5","-","300","71.43","-","-","-","81","-","-"
"11/6/2016","Shriners Hospitals","T24",".986",".066","298.8","289.9","317","58.93","19' 3""","10.71","21.43","81","109.02","105"
"10/23/2016","CIMB Classic","T60","-","-","-","-","-","64.29","-","-","-","-","-","-"
"10/16/2016","Safeway Open","T22",".924",".265","278.3","271.2","321","60.71","18' 0""","16.07","16.07","70","106.94","42"
"9/5/2016","Deutsche Bank Champ","CUT","-2.275",".198","282.3","275.4","327","78.57","24' 1""","7.14","10.71","1,998","108.34","1,998"
"8/28/2016","The Barclays","T31",".151",".151","289.1","279.7","317","76.79","19' 8""","8.93","12.50","57","108.34","20"
"8/21/2016","Wyndham Championship","CUT","-.392","-.214","302.5","280.6","325","50.00","17' 0""","25.00","21.43","1,998","107.96","1,998"
"8/7/2016","Travelers Championship","T47",".964","-.088","283.5","276.7","338","71.43","20' 7""","7.14","8.93","80","108.62","48"
"7/24/2016","RBC Canadian Open","T14","1.061","-.212","308.4","302.1","367","51.79","24' 10""","26.79","8.93","72","108.09","21"
"7/3/2016","Barracuda Championship","T44","-","-","-","-","-","-","-","-","-","-","-","-"
"6/26/2016","Quicken Loans National","T44",".214","-.596","284.0","281.8","344","62.50","21' 10""","14.29","16.07","84","109.74","91"
"6/5/2016","the Memorial Tournament","CUT","1.566","-.096","290.3","279.2","313","75.00","19' 7""","10.71","7.14","1,998","109.22","1,998"
"5/29/2016","DEAN & DELUCA Invt'l","CUT","-.502",".723","286.0","272.5","311","71.43","23' 1""","7.14","21.43","1,998","110.70","1,998"
"5/22/2016","AT&T Byron Nelson","T18","1.199",".713","276.0","275.2","303","71.43","20' 11""","8.93","16.07","64","108.98","36"
"5/15/2016","THE PLAYERS Championship","CUT",".565",".632","291.5","279.2","309","67.86","25' 11""","10.71","10.71","1,998","108.37","1,998"
"5/1/2016","Zurich Classic of New Orl","CUT","-1.925",".186","284.8","271.0","317","67.86","21' 1""","3.57","10.71","1,998","108.58","1,998"
"4/24/2016","Valero Texas Open","CUT","2.208",".700","285.0","277.2","317","64.29","12' 3""","10.71","17.86","1,998","109.31","1,998"
"4/17/2016","RBC Heritage","T33","1.655",".667","283.6","269.8","317","64.29","23' 11""","16.07","7.14","37","108.15","70"
"4/3/2016","Shell Houston Open","T7","1.284",".618","278.3","272.5","311","78.57","25' 3""","5.36","5.36","68","108.73","49"
"3/20/2016","Arnold Palmer Invt'l","T60",".184",".322","275.3","272.6","308","78.57","21' 6""","8.93","5.36","77","108.92","78"
"3/13/2016","Valspar Championship","T22","1.303",".107","282.0","271.7","321","57.69","25' 2""","13.73","13.73","80","109.38","63"
"2/21/2016","Northern Trust Open","7","1.749",".608","282.0","280.6","316","64.29","14' 1""","12.50","17.86","57","107.39","25"
"2/14/2016","AT&T Pebble Beach","T26",".286",".236","289.6","270.0","342","78.18","17' 0""","7.14","3.57","53","106.14","14"
"2/7/2016","Waste Management Phoenix","CUT",".177","-.129","288.3","281.9","310","57.14","26' 1""","21.43","7.14","1,998","107.04","1,998"
"1/31/2016","Farmers Insurance Open","CUT","2.857",".058","285.8","280.7","299","60.71","29' 6""","7.14","21.43","1,998","110.19","1,998"
"1/24/2016","CareerBuilder Challenge","T17","2.222",".539","290.4","271.2","310","78.57","29' 5""","7.14","7.14","49","108.59","64"
