"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/20/2019","Desert Classic","T28","-.656","48.5","1.712","1.514","43.06",".00","27.25","28.00","27.00","28.00","26.00","100.00","100.00","100.00","100.00","50.00",".00","-","-","66.67","94.12","20.00","33.33",".00",".00","15' 5""","2' 1""","49' 9""","28.85"
"1/13/2019","Sony Open in Hawaii","T3","-.236","82.1","1.607","1.542","33.33","1.39","27.75","26.00","27.00","27.00","31.00","100.00","91.67","60.00","100.00","50.00","100.00","33.33",".00","66.67","88.41","33.33","28.57",".00","4.55","30' 3""","2' 4""","65' 4""","33.96"
"11/11/2018","Mayakoba Golf Classic","T26","-","-","1.694","1.528","48.61","4.17","27.50","30.00","27.00","25.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","40.82"
"10/28/2018","WGC-HSBC Champions","T35","-","-","1.813","1.708","33.33","4.17","30.75","30.00","29.00","31.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.25"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T7","-","-","1.767","1.694","33.33","2.78","30.50","30.00","33.00","29.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.00"
"10/14/2018","CIMB Classic","T43","-","-","1.707","1.639","38.89","2.78","29.50","30.00","31.00","28.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.21"
"10/7/2018","Safeway Open","T33",".183","76.3","1.741","1.639","38.89","2.78","29.50","29.00","30.00","27.00","32.00","100.00","100.00","80.00","33.33","63.64","60.00",".00","50.00","62.50","85.90","11.11","11.11","33.33","10.53","36' 0""","2' 2""","77' 10""","33.33"
"9/9/2018","BMW Championship","T38","-.268","83.8","1.780","1.722","31.94","4.17","31.00","29.00","32.00","33.00","30.00","100.00","83.33","100.00","100.00","60.00","50.00","25.00","50.00","81.25","89.04","25.00","33.33",".00","5.00","25' 3""","2' 3""","73' 9""","25.42"
"9/3/2018","Dell Technologies Champ","CUT","1.246","-","1.833","1.583","41.67",".00","28.50","24.00","33.00","-","-","100.00","100.00","100.00",".00","100.00",".00",".00","100.00","60.00","91.43","60.00",".00","33.33",".00","23' 8""","2' 4""","83' 2""","16.67"
"8/26/2018","THE NORTHERN TRUST","T20",".564","63.3","1.673","1.528","47.22",".00","27.50","30.00","25.00","28.00","27.00","100.00","100.00","100.00","50.00","100.00","33.33",".00","50.00","66.67","91.55","33.33",".00","16.67","11.76","42' 5""","1' 10""","80' 8""","32.69"
"8/12/2018","PGA Championship","T12",".274","62.4","1.727","1.639","37.50","1.39","29.50","31.00","31.00","29.00","27.00","97.62","88.89","85.71","66.67","66.67","100.00","40.00","66.67","81.25","88.00","25.00","23.08","33.33",".00","21' 2""","1' 11""","73' 4""","29.09"
"7/29/2018","RBC Canadian Open","CUT","-.461","-","1.864","1.583","38.89","2.78","28.50","31.00","26.00","-","-","100.00","83.33","100.00","50.00","-","-","-","66.67","66.67","91.67","33.33",".00",".00",".00","13' 1""","2' 2""","55' 0""","22.73"
"7/22/2018","The Open Championship","CUT","-","-","1.850","1.694","36.11","5.56","30.50","29.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.00"
"7/15/2018","John Deere Classic","CUT","-1.450","-","1.793","1.750","30.56","5.56","31.50","31.00","32.00","-","-","93.10","100.00","-","100.00",".00","66.67",".00","-","66.67","84.21","28.57","33.33",".00",".00","19' 0""","1' 9""","61' 11""","27.59"
"6/24/2018","Travelers Championship","CUT","-.424","-","1.769","1.667","38.89","5.56","30.00","27.00","33.00","-","-","95.24","100.00","33.33","66.67","100.00",".00","25.00","100.00","55.56","80.95","50.00",".00","50.00",".00","24' 3""","2' 7""","73' 6""","30.77"
"6/17/2018","U.S. Open","CUT","1.009","-","1.938","1.694","36.11","5.56","30.50","31.00","30.00","-","-","94.74","100.00","50.00","80.00","66.67","50.00","-","100.00","66.67","86.49","60.00","20.00","-",".00","19' 11""","2' 9""","78' 4""","12.50"
"6/10/2018","FedEx St. Jude Classic","T6","1.816","50.0","1.698","1.486","52.78","1.39","26.75","25.00","28.00","27.00","27.00","97.30","100.00","100.00","87.50","75.00","60.00","66.67","33.33","78.95","88.41","33.33","40.00",".00","30.77","34' 7""","1' 11""","105' 2""","37.21"
"5/27/2018","Fort Worth Invitational","CUT","-1.291","-","1.826","1.694","38.89","8.33","30.50","28.00","33.00","-","-","96.15","50.00","25.00",".00","100.00","66.67","33.33","33.33","44.44","74.42","25.00","25.00","20.00","20.00","25' 10""","1' 10""","83' 7""","30.43"
"5/13/2018","THE PLAYERS Championship","T30","1.923","34.5","1.688","1.528","47.22","2.78","27.50","28.00","26.00","29.00","27.00","97.56","100.00","100.00","40.00","100.00","100.00","60.00","75.00","75.00","89.71","44.44","42.86","33.33","8.70","31' 1""","2' 3""","93' 0""","37.50"
"4/29/2018","Zurich Classic of New Orl","T22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","53","-","-","1.837","1.653","38.89","4.17","29.75","30.00","28.00","32.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.58"
"4/1/2018","Houston Open","CUT","-.761","-","1.750","1.611","38.89",".00","29.00","27.00","31.00","-","-","100.00","80.00","100.00","100.00","50.00","-",".00","100.00","83.33","89.19","20.00",".00",".00","12.50","35' 11""","1' 11""","72' 5""","25.00"
