"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT","-1.984","77.78","25.00","100.00","100.00","38' 8""","57' 8""","62' 8""","47' 8""","33' 5""","50' 0""","-","61' 8""","43' 10""","-","24' 6""","16' 0""","20' 3""","10' 8""","22' 10""","41' 1""","48' 8""","-","-","-","-","62' 8""","47' 8""","-","68' 1""","-","57' 2""","-","-","-","-","-","-"
"1/20/2019","Desert Classic","T12","1.644","70.83","50.00","25.00","75.00","26' 0""","36' 7""","23' 4""","69' 10""","23' 5""","80' 8""","59' 11""","22' 3""","31' 3""","-","18' 4""","15' 6""","16' 9""","17' 7""","21' 0""","14' 1""","42' 9""","-","46' 3""","-","-","41' 3""","8' 7""","46' 3""","55' 9""","9' 6""","24' 8""","8' 7""","-","-","8' 7""","1","-"
"9/9/2018","BMW Championship","DNS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T35","1.482","73.61","75.00","25.00","50.00","34' 10""","40' 6""","13' 5""","49' 7""","31' 4""","-","65' 5""","38' 10""","44' 5""","42' 4""","18' 9""","16' 10""","19' 11""","17' 10""","26' 9""","32' 0""","47' 1""","-","-","123' 0""","29' 2""","40' 6""","-","60' 5""","19' 8""","41' 5""","20' 3""","-","-","-","-","2","103"
"8/26/2018","THE NORTHERN TRUST","T15",".185","70.83","31.25",".00","40.00","36' 7""","55' 9""","60' 7""","52' 5""","27' 10""","88' 4""","72' 3""","26' 10""","31' 11""","9' 3""","18' 11""","12' 11""","16' 8""","29' 5""","20' 9""","29' 2""","38' 5""","-","-","-","29' 4""","61' 6""","28' 10""","29' 4""","68' 4""","59' 0""","68' 6""","31' 5""","39' 2""","28' 10""","-","1","24"
"8/19/2018","Wyndham Championship","CUT","-.639","63.89","75.00","100.00","100.00","37' 11""","58' 0""","103' 6""","44' 4""","27' 0""","-","-","35' 7""","29' 6""","-","17' 0""","22' 8""","20' 5""","17' 1""","25' 2""","34' 3""","33' 7""","-","-","96' 2""","53' 1""","58' 0""","-","63' 10""","56' 7""","58' 11""","78' 0""","12' 7""","12' 7""","-","-","-","-"
"8/12/2018","PGA Championship","T12","2.123","75.00","80.00","12.50","50.00","33' 3""","78' 0""","98' 0""","73' 1""","29' 6""","102' 0""","69' 0""","46' 6""","27' 3""","22' 8""","6' 0""","15' 4""","15' 2""","16' 1""","27' 0""","21' 3""","50' 10""","-","-","-","75' 3""","78' 0""","-","75' 3""","66' 6""","-","98' 0""","-","-","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T48",".267","59.72","50.00","75.00","75.00","32' 3""","38' 4""","46' 3""","36' 7""","26' 5""","-","-","67' 6""","30' 10""","13' 6""","10' 5""","18' 1""","14' 6""","29' 11""","23' 10""","27' 5""","36' 11""","-","-","49' 7""","-","38' 4""","-","49' 7""","63' 1""","46' 11""","26' 6""","19' 8""","19' 8""","-","-","-","-"
"7/22/2018","The Open Championship","CUT","-","52.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T67",".033","63.89","83.33",".00","30.00","37' 5""","54' 10""","43' 3""","77' 11""","30' 0""","-","45' 0""","54' 4""","29' 10""","10' 7""","15' 9""","16' 10""","16' 2""","22' 9""","25' 4""","48' 4""","42' 7""","-","-","128' 2""","-","62' 10""","26' 7""","128' 2""","70' 0""","43' 0""","-","26' 7""","-","18' 1""","35' 1""","1","7"
