"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT","-.107","33.33","6' 8""","50.00",".00","100.00","-",".00","25.00","100.00"
"1/20/2019","Desert Classic","T12","-.365","50.00","13' 7""","71.43","100.00","81.25","-","100.00","33.33","100.00"
"9/9/2018","BMW Championship","DNS","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T35","-.422","40.00","12' 11""","57.89","100.00","50.00","33.33","50.00","63.64","100.00"
"8/26/2018","THE NORTHERN TRUST","T15","-.304","57.14","4' 9""","71.43","100.00","100.00","66.67","75.00","66.67","80.00"
"8/19/2018","Wyndham Championship","CUT",".048","-","-","61.54","-","50.00","33.33","66.67","66.67","100.00"
"8/12/2018","PGA Championship","T12","-.499","62.50","5' 1""","66.67","100.00","50.00","60.00","50.00","66.67","80.00"
"8/5/2018","WGC-Bridgestone Invit'l","T48","-.679","20.00","14' 1""","58.62","100.00","66.67","25.00","60.00","36.36","100.00"
"7/22/2018","The Open Championship","CUT","-","60.00","-","52.94","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T67","-.835","25.00","13' 8""","57.69","100.00","50.00","20.00","25.00","72.73","83.33"
"6/17/2018","U.S. Open","T6",".156","33.33","13' 9""","51.61","100.00","75.00","50.00","64.29","33.33","-"
"6/10/2018","FedEx St. Jude Classic","CUT",".067",".00","21' 3""","50.00","100.00","66.67",".00","100.00","50.00","100.00"
"5/13/2018","THE PLAYERS Championship","T57","-.285","28.57","15' 7""","41.18","100.00","50.00","16.67","100.00","33.33","100.00"
"5/6/2018","Wells Fargo Championship","T55","-.311","50.00","15' 8""","56.52","-","50.00","33.33","60.00","55.56","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T32","-","12.50","-","50.00","-","-","-","-","-","-"
"4/1/2018","Houston Open","T18",".477","88.89","11' 7""","87.50","100.00","100.00",".00","66.67","100.00","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T14",".704","75.00","10' 7""","68.00","100.00","71.43","37.50","75.00","80.00","100.00"
"2/25/2018","The Honda Classic","T29",".062","50.00","6' 5""","64.29",".00","66.67","83.33","75.00","58.33","60.00"
"2/18/2018","Genesis Open","CUT","-1.296","75.00","11' 9""","54.55","-","60.00","50.00","33.33","71.43","60.00"
"2/4/2018","Waste Management Phoenix","T11",".291","80.00","13' 1""","84.21","100.00","66.67","100.00","50.00","66.67","100.00"
"1/14/2018","Sony Open in Hawaii","T14",".192","50.00","14' 4""","55.00","75.00","60.00",".00",".00","66.67","55.56"
"1/7/2018","Sentry T of C","T11","-.204","33.33","12' 2""","60.00","-","100.00","40.00","66.67","80.00","100.00"
"12/10/2017","(*) QBE Shootout","T4","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","T14","-","-","-","-","-","-","-","-","-","-"
