"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-.869","1.222","291.5","295.3","326","71.43","32' 3""","14.29","7.14","1,998","117.15","1,998"
"1/20/2019","Desert Classic","T12","1.723",".444","297.3","272.6","319","73.21","37' 6""","14.29","7.14","23","118.46","20"
"9/9/2018","BMW Championship","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T35","1.053","-.007","298.3","287.0","330","66.07","27' 1""","5.36","14.29","74","115.86","101"
"8/26/2018","THE NORTHERN TRUST","T15","-.166","-.047","282.5","279.2","317","62.50","35' 1""","14.55","21.82","84","113.16","135"
"8/19/2018","Wyndham Championship","CUT","-.981","-.391","299.3","281.2","329","46.43","13' 11""","7.14","35.71","1,998","115.68","1,998"
"8/12/2018","PGA Championship","T12","1.970",".345","301.5","286.7","334","76.79","22' 11""","7.14","7.14","45","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T48",".052",".464","315.3","302.7","384","50.00","15' 1""","8.93","35.71","69","117.17","105"
"7/22/2018","The Open Championship","CUT","-","-","327.0","-","364","60.00","-","-","-","1,998","-","-"
"6/24/2018","Travelers Championship","T67","-.798",".003","294.9","278.3","357","71.43","29' 1""","8.93","7.14","59","115.70","51"
"6/17/2018","U.S. Open","T6",".561","-.617","293.1","277.5","341","75.00","-","3.57","14.29","83","-","-"
"6/10/2018","FedEx St. Jude Classic","CUT",".448","-.049","287.5","285.8","317","67.86","20' 2""","7.14","14.29","1,998","114.46","1,998"
"5/13/2018","THE PLAYERS Championship","T57",".747","-.854","290.5","281.0","330","62.50","34' 7""","10.91","7.27","84","115.87","104"
"5/6/2018","Wells Fargo Championship","T55",".750",".108","307.6","301.6","366","55.36","27' 1""","20.00","12.73","64","115.97","49"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T32","-","-","288.1","-","313","76.79","-","-","-","38","-","-"
"4/1/2018","Houston Open","T18","1.260",".859","291.0","281.9","329","75.00","39' 8""","5.36","10.71","36","114.57","25"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T14","-.122","-.648","300.0","291.9","357","60.71","30' 8""","10.91","21.82","67","114.43","71"
"2/25/2018","The Honda Classic","T29",".701",".098","304.0","278.5","343","66.07","40' 1""","19.64","8.93","37","114.61","29"
"2/18/2018","Genesis Open","CUT","-2.816","-.598","300.5","284.6","337","46.43","37' 5""","18.52","22.22","1,998","114.74","1,998"
"2/4/2018","Waste Management Phoenix","T11","1.663","1.040","315.4","306.4","334","66.07","16' 4""","12.50","12.50","22","116.15","50"
"1/14/2018","Sony Open in Hawaii","T14","1.252",".576","303.3","294.0","352","55.36","24' 5""","17.86","21.43","92","114.24","100"
"1/7/2018","Sentry T of C","T11",".458",".743","268.8","299.1","410","76.67","23' 5""","5.00","11.67","26","114.73","60"
"12/10/2017","(*) QBE Shootout","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","T14","-","-","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T24","-","-","-","-","345","51.79","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T54","-","-","-","-","-","67.86","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","15",".469",".770","304.1","299.2","352","58.93","26' 4""","23.21","12.50","23","115.79","47"
"9/17/2017","BMW Championship","T33","1.020",".394","312.8","294.4","357","57.14","25' 6""","14.29","7.14","57","118.65","79"
"9/4/2017","Dell Technologies Champ","T61",".631",".228","282.8","280.0","323","75.00","23' 8""","5.36","5.36","65","115.76","114"
"8/27/2017","THE NORTHERN TRUST","33","-.390","-.465","299.8","290.0","347","51.79","25' 11""","17.86","21.43","92","116.94","-"
"8/13/2017","PGA Championship","CUT",".409","-.610","287.5","286.8","325","46.43","37' 5""","7.41","22.22","1,998","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T17","1.771","-.166","304.0","297.3","373","44.64","27' 9""","18.18","29.09","108","115.96","111"
"7/23/2017","The Open Championship","T27","-","-","294.0","-","337","62.50","-","-","-","50","-","-"
"7/16/2017","John Deere Classic","T5","1.243",".469","301.5","291.0","386","64.29","32' 9""","3.70","25.93","85","117.76","5"
"6/25/2017","Travelers Championship","2","1.966",".054","292.6","280.5","338","62.50","34' 3""","14.29","16.07","87","117.32","116"
"6/18/2017","U.S. Open","CUT","-1.563","-.659","314.0","297.2","346","60.71","-","10.71","21.43","1,998","-","-"
"6/11/2017","FedEx St. Jude Classic","1","3.047","1.150","304.5","293.5","339","55.36","15' 1""","14.29","28.57","50","116.70","15"
"5/14/2017","THE PLAYERS Championship","T65","-.669","-.443","290.0","286.7","340","48.21","31' 3""","7.27","14.55","94","118.69","97"
"5/7/2017","Wells Fargo Championship","T36","1.073",".867","300.0","290.0","357","69.64","21' 4""","7.14","17.86","20","119.73","51"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/9/2017","Masters Tournament","T27","-","-","279.1","-","315","67.86","-","-","-","59","-","-"
"4/2/2017","Shell Houston Open","5","2.804","1.111","299.0","284.3","319","71.43","22' 4""","5.36","10.71","20","121.99","118"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-","-","-"
"3/12/2017","Valspar Championship","CUT","-.647",".522","298.3","273.8","329","61.54","23' 7""","7.69","23.08","1,998","120.58","1,998"
"3/5/2017","WGC-Mexico Championship","T16","1.408",".586","290.3","289.1","343","64.29","17' 11""","14.29","17.86","78","120.97","138"
"2/26/2017","The Honda Classic","CUT","-2.477",".061","288.3","279.2","308","64.29","17' 10""","7.14","21.43","1,998","119.77","1,998"
"2/5/2017","Waste Management Phoenix","T7",".209","-.099","310.9","302.3","343","53.57","28' 2""","5.36","17.86","68","120.46","119"
"1/29/2017","Farmers Insurance Open","CUT","-2.394",".202","299.0","284.1","322","32.14","35' 9""","14.29","28.57","1,998","117.78","1,998"
"1/15/2017","Sony Open in Hawaii","T45",".842",".376","302.6","291.6","338","58.93","16' 4""","1.79","28.57","85","119.59","120"
"1/8/2017","SBS Tournament of Champ","T14",".443",".317","278.5","290.3","371","75.00","18' 11""","6.67","15.00","30","120.17","62"
"12/10/2016","(*) Franklin Templeton","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T2","-","-","-","-","303","44.64","-","-","-","-","-","-"
"10/23/2016","CIMB Classic","T51","-","-","-","-","-","71.43","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","T15","-.036",".089","302.6","298.8","350","46.43","21' 3""","23.21","23.21","34","119.48","14"
"9/11/2016","BMW Championship","T10","1.905",".264","294.1","288.6","322","57.14","29' 3""","10.71","25.00","84","116.45","110"
"9/5/2016","Deutsche Bank Champ","T41",".257",".726","291.6","287.1","330","69.64","26' 5""","7.27","10.91","61","114.83","71"
"8/28/2016","The Barclays","T70","-.043",".797","299.0","296.0","338","64.29","22' 6""","14.29","12.50","45","119.03","127"
"8/7/2016","Travelers Championship","T5","1.546",".075","298.0","283.8","325","55.36","22' 5""","8.93","28.57","89","117.98","140"
"7/31/2016","PGA Championship","T73","-.819","-.132","298.3","283.8","341","50.00","26' 2""","9.09","30.91","98","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","W/D","-","-","-","-","-","-","-","-","-","-","-","-"
"6/19/2016","U.S. Open","T37","-","-","287.5","-","309","58.93","-","-","-","61","-","-"
"6/12/2016","FedEx St. Jude Classic","1","3.404","1.141","309.8","293.6","333","60.71","21' 10""","5.36","30.36","17","115.08","46"
"6/5/2016","the Memorial Tournament","67","-1.705","-.922","301.5","287.4","334","50.00","29' 0""","10.71","32.14","86","117.51","127"
"5/15/2016","THE PLAYERS Championship","T9",".951","-.571","292.5","280.4","338","48.21","24' 7""","7.14","28.57","106","118.10","107"
"5/8/2016","Wells Fargo Championship","T17","1.574","1.164","294.3","295.1","340","53.57","30' 3""","17.86","23.21","45","115.43","108"
"5/1/2016","Zurich Classic of New Orl","T20","1.379",".275","299.7","279.2","350","73.81","43' 9""","2.38","19.05","28","115.33","23"
"4/10/2016","Masters Tournament","T10","-","-","273.3","-","303","75.00","-","-","-","50","-","-"
"4/3/2016","Shell Houston Open","T5","1.391","-.438","296.3","281.7","352","62.50","21' 6""","18.18","3.64","61","114.91","52"
"3/27/2016","WGC-Dell Match Play","T61","-","-","-","-","-","-","-","-","-","-","-","-"
"3/13/2016","Valspar Championship","T11","2.087",".494","297.5","280.8","369","53.85","19' 2""","19.23","21.15","58","115.45","74"
"3/6/2016","WGC-Cadillac Championship","T28",".204",".597","302.5","293.4","371","55.36","16' 1""","14.29","14.29","47","115.41","66"
"2/28/2016","The Honda Classic","CUT","1.287","1.600","294.5","279.8","332","78.57","33' 8""","17.86",".00","1,998","114.41","1,998"
"2/21/2016","Northern Trust Open","CUT","-1.013","-.162","290.0","286.8","321","39.29","23' 3""","25.93","18.52","1,998","116.15","1,998"
"2/7/2016","Waste Management Phoenix","T58","-.666",".325","306.8","299.9","353","35.71","24' 4""","26.79","14.29","78","115.93","20"
"1/31/2016","Farmers Insurance Open","CUT","1.283",".053","294.5","293.6","322","35.71","39' 9""","7.14","42.86","1,998","117.13","1,998"
"1/17/2016","Sony Open in Hawaii","T42","1.042",".953","313.5","291.9","357","64.29","23' 6""","3.57","21.43","27","117.92","38"
"12/12/2015","(*) Franklin Templeton","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T11","-","-","-","-","308","57.14","-","-","-","-","-","-"
"11/1/2015","CIMB Classic","T64","-","-","-","-","-","57.14","-","-","-","-","-","-"
"10/18/2015","Frys.com Open","T17",".335",".410","319.0","286.9","370","53.57","28' 11""","21.43","17.86","46","116.90","63"
"9/27/2015","TOUR Championship","T12","2.182",".769","288.0","285.1","330","69.64","24' 8""","10.91","16.36","12","116.44","2"
"9/20/2015","BMW Championship","2","1.310",".095","305.1","289.3","344","48.21","23' 7""","19.64","14.29","73","117.58","4"
