"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT","-2.503","-","1.893","1.806","19.44",".00","32.50","34.00","31.00","-","-","100.00","100.00","75.00","-",".00","100.00","-","-","57.14","85.71",".00",".00",".00",".00","7' 8""","2' 9""","46' 5""","14.29"
"1/20/2019","Desert Classic","T12","-.254","55.1","1.627","1.472","50.00",".00","26.50","24.00","27.00","28.00","27.00","100.00","100.00","100.00","-","100.00","50.00",".00","33.33","85.71","89.47","33.33",".00","20.00",".00","20' 1""","2' 1""","61' 2""","43.14"
"9/9/2018","BMW Championship","DNS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T35","-.706","99.2","1.811","1.653","34.72","5.56","29.75","33.00","31.00","28.00","27.00","97.56","100.00","100.00","33.33","50.00","50.00","100.00","42.86","66.67","85.90","14.29",".00","33.33",".00","24' 8""","2' 10""","67' 0""","26.92"
"8/26/2018","THE NORTHERN TRUST","T15","1.809","24.4","1.686","1.542","43.06",".00","27.75","29.00","27.00","27.00","28.00","100.00","100.00","100.00","66.67","50.00","60.00","100.00","50.00","75.00","92.19","72.73","30.00","12.50",".00","22' 6""","2' 3""","88' 11""","28.00"
"8/19/2018","Wyndham Championship","CUT","-.324","-","1.957","1.750","25.00",".00","31.50","30.00","33.00","-","-","100.00","100.00","100.00","100.00","100.00",".00",".00","-","91.67","94.59",".00","16.67",".00",".00","16' 6""","2' 8""","61' 3""","17.39"
"8/12/2018","PGA Championship","T12","-.017","81.8","1.722","1.611","37.50","1.39","29.00","32.00","30.00","27.00","27.00","100.00","100.00","83.33","75.00","50.00","100.00","66.67",".00","76.92","91.55","44.44","6.25","16.67",".00","20' 3""","1' 11""","61' 11""","31.48"
"8/5/2018","WGC-Bridgestone Invit'l","T48","-.647","80.9","1.814","1.625","40.28","2.78","29.25","32.00","31.00","27.00","27.00","97.83","90.91","100.00","80.00","66.67","40.00",".00",".00","64.29","84.21","46.15","18.18",".00",".00","18' 1""","2' 4""","68' 5""","30.23"
"7/22/2018","The Open Championship","CUT","-","-","1.947","1.722","30.56","2.78","31.00","33.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.32"
"6/24/2018","Travelers Championship","T67",".234","81.3","1.761","1.597","38.89","1.39","28.75","27.00","31.00","30.00","27.00","100.00","100.00","100.00","66.67","33.33",".00","50.00","60.00","66.67","90.14","30.77","11.11","12.50","7.14","26' 1""","2' 0""","69' 1""","26.09"
"6/17/2018","U.S. Open","T6","2.334","46.3","1.805","1.653","37.50","2.78","29.75","33.00","29.00","25.00","32.00","100.00","100.00","83.33","83.33","100.00","33.33","75.00","33.33","77.78","89.86","27.27","23.08","25.00","13.64","31' 3""","2' 5""","95' 9""","26.83"
"6/10/2018","FedEx St. Jude Classic","CUT","-.301","-","1.750","1.639","38.89","2.78","29.50","30.00","29.00","-","-","100.00","88.89","100.00","-",".00",".00",".00","-","57.14","86.49","42.86",".00",".00","10.00","40' 0""","2' 3""","78' 10""","40.00"
"5/13/2018","THE PLAYERS Championship","T57","-.472","93.5","1.745","1.681","34.72","2.78","30.25","30.00","32.00","30.00","29.00","100.00","100.00","87.50","80.00","100.00","50.00","40.00",".00","79.17","88.16","14.29",".00","22.22","5.88","27' 10""","2' 8""","72' 7""","30.91"
"5/6/2018","Wells Fargo Championship","T55","-.331","121.2","1.857","1.694","36.11","5.56","30.50","30.00","28.00","32.00","32.00","100.00","60.00","80.00","66.67","100.00","50.00","50.00","40.00","68.75","84.81","15.38","14.29",".00","11.11","36' 2""","2' 3""","71' 11""","24.49"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
