"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/6/2019","Sentry T of C","T4","-.207","76.39","91.30","13.64","68.18","43' 4""","38' 10""","52' 8""","31' 2""","39' 9""","96' 11""","102' 4""","96' 6""","37' 1""","28' 3""","23' 8""","13' 0""","21' 2""","18' 6""","34' 3""","35' 8""","62' 0""","-","-","99' 5""","-","45' 6""","26' 9""","99' 5""","50' 8""","32' 0""","53' 2""","27' 9""","6' 8""","23' 6""","36' 2""","1","12"
"12/2/2018","(*) Hero World Challenge","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","3","1.117","72.22","100.00","50.00","75.00","31' 4""","41' 7""","42' 8""","40' 3""","26' 4""","-","-","27' 1""","33' 3""","-","9' 10""","19' 9""","17' 4""","21' 8""","22' 0""","35' 5""","31' 0""","-","-","-","42' 9""","41' 9""","38' 3""","42' 9""","26' 3""","52' 10""","49' 1""","27' 11""","25' 4""","38' 3""","-","-","-"
"9/9/2018","BMW Championship","T24",".924","83.33","55.56",".00","33.33","28' 4""","27' 0""","30' 1""","20' 9""","28' 1""","117' 4""","-","62' 5""","34' 2""","5' 11""","26' 4""","18' 3""","21' 0""","12' 8""","28' 8""","26' 7""","49' 2""","-","-","-","-","26' 11""","27' 0""","-","-","35' 6""","38' 3""","23' 10""","17' 6""","24' 11""","31' 4""","-","-"
"9/3/2018","Dell Technologies Champ","T7","1.037","75.00","75.00","25.00","50.00","30' 0""","33' 9""","34' 6""","30' 7""","24' 11""","-","40' 7""","42' 2""","42' 8""","2' 2""","16' 4""","14' 5""","13' 6""","22' 6""","19' 11""","23' 1""","42' 5""","-","-","40' 3""","49' 7""","35' 1""","20' 10""","44' 11""","36' 5""","50' 1""","27' 8""","18' 7""","18' 7""","-","-","1","13"
"8/26/2018","THE NORTHERN TRUST","T11","1.298","66.67","37.50","16.67","33.33","34' 0""","48' 9""","61' 2""","41' 3""","25' 10""","126' 1""","23' 4""","2' 8""","27' 5""","12' 10""","19' 7""","7' 1""","13' 11""","13' 7""","28' 2""","26' 11""","46' 2""","-","-","-","-","52' 2""","24' 9""","-","68' 10""","46' 1""","43' 1""","31' 2""","37' 7""","-","24' 9""","1","10"
"8/12/2018","PGA Championship","T27",".423","65.28","60.00","16.67","83.33","29' 5""","50' 1""","59' 1""","48' 1""","23' 3""","41' 9""","49' 0""","28' 11""","40' 3""","5' 10""","9' 9""","16' 11""","12' 0""","19' 8""","21' 4""","25' 2""","39' 3""","-","-","-","27' 10""","56' 6""","21' 6""","27' 10""","94' 9""","52' 0""","32' 2""","21' 6""","-","21' 6""","-","1","18"
"8/5/2018","WGC-Bridgestone Invit'l","T3",".367","66.67","50.00","50.00","75.00","28' 1""","42' 8""","29' 6""","66' 8""","20' 4""","-","-","32' 10""","32' 3""","10' 3""","15' 9""","10' 9""","12' 7""","15' 8""","18' 4""","24' 3""","32' 5""","-","-","-","92' 3""","49' 7""","20' 1""","92' 3""","-","58' 8""","52' 3""","24' 5""","28' 9""","20' 1""","-","-","-"
"7/29/2018","RBC Canadian Open","1","1.452","79.17","75.00","50.00","66.67","26' 0""","29' 1""","24' 1""","33' 6""","25' 1""","-","-","127' 0""","35' 1""","4' 4""","16' 4""","14' 2""","14' 4""","18' 5""","39' 6""","32' 10""","53' 6""","-","-","-","39' 8""","30' 8""","7' 7""","39' 8""","39' 5""","19' 3""","38' 10""","19' 5""","19' 5""","-","-","2","17"
"7/22/2018","The Open Championship","CUT","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
