"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/6/2019","Sentry T of C","T4","1.102","100.00","6' 6""","64.71","100.00","66.67",".00","66.67","100.00","100.00"
"12/2/2018","(*) Hero World Challenge","7","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","75.00","-","50.00","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","3",".217","50.00","4' 3""","50.00","100.00","40.00","16.67","50.00","85.71","50.00"
"9/9/2018","BMW Championship","T24",".045","66.67","3' 5""","75.00","100.00","66.67","100.00","100.00","71.43","50.00"
"9/3/2018","Dell Technologies Champ","T7",".034","60.00","15' 11""","61.11","-","42.86","50.00","100.00","66.67","57.14"
"8/26/2018","THE NORTHERN TRUST","T11","-.425","25.00","11' 0""","66.67","-","66.67",".00","80.00","69.23","100.00"
"8/12/2018","PGA Championship","T27",".147","60.00","9' 5""","48.00","100.00","40.00","20.00","50.00","50.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T3",".205","75.00","2' 8""","75.00","100.00","64.29","100.00","57.14","66.67","88.89"
"7/29/2018","RBC Canadian Open","1",".220","50.00","6' 11""","66.67",".00","72.73",".00","50.00","75.00","75.00"
"7/22/2018","The Open Championship","CUT","-","33.33","-","40.00","-","-","-","-","-","-"
"6/17/2018","U.S. Open","3","1.476","66.67","6' 5""","54.55","-","50.00","45.45","50.00","80.00","-"
"6/10/2018","FedEx St. Jude Classic","1",".519","100.00","7' 9""","78.26","100.00","85.71","50.00","60.00","85.71","100.00"
"6/3/2018","the Memorial Tournament","T8","-.306","66.67","6' 5""","69.57","100.00","71.43","66.67","100.00","58.33","100.00"
"5/13/2018","THE PLAYERS Championship","T17",".468","40.00","13' 10""","65.00","-","75.00",".00","50.00","66.67","100.00"
"4/15/2018","RBC Heritage","T16","-.354",".00","10' 0""","55.00","100.00","66.67","33.33",".00","60.00","100.00"
"4/8/2018","Masters Tournament","T10","-","50.00","-","65.22","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T7","-.143","42.86","14' 11""","61.11","-","63.64","33.33","60.00","66.67","100.00"
"2/18/2018","Genesis Open","T16",".882","50.00","8' 5""","66.67","66.67","80.00","40.00","40.00","69.23","100.00"
"2/11/2018","AT&T Pebble Beach","T2",".265","57.14","9' 4""","62.50","100.00","72.73","-",".00","50.00","83.33"
"1/7/2018","Sentry T of C","1",".576","60.00","7' 8""","68.75","100.00","40.00","-","75.00","55.56","100.00"
"12/3/2017","(*) Hero World Challenge","T14","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T2","-","60.00","-","55.00","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T17","-.884","50.00","6' 9""","60.00","100.00","41.67","50.00","33.33","75.00","83.33"
"9/17/2017","BMW Championship","T33","-.279",".00","15' 1""","62.96","100.00","61.11",".00",".00","61.54","81.82"
"9/4/2017","Dell Technologies Champ","T18",".278","62.50","6' 9""","60.00","100.00","85.71",".00","100.00","66.67","100.00"
"8/27/2017","THE NORTHERN TRUST","1",".441","100.00","4' 2""","81.25","100.00","57.14","50.00","-","85.71","100.00"
"8/13/2017","PGA Championship","T13",".745","40.00","9' 3""","53.57","100.00","53.85","37.50",".00","72.73","57.14"
"8/6/2017","WGC-Bridgestone Invit'l","T17","-.562","50.00","8' 11""","58.62","100.00","52.63","25.00","25.00","66.67","87.50"
