"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/6/2019","Sentry T of C","T4","1.269",".373","296.8","311.9","401","66.67","23' 0""","11.67","15.00","32","117.60","21"
"12/2/2018","(*) Hero World Challenge","7","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","-","-","-","335","50.00","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","3","1.158","-.176","311.5","303.9","354","53.57","29' 10""","14.29","17.86","23","119.19","8"
"9/9/2018","BMW Championship","T24","1.913",".944","310.4","309.2","358","67.86","29' 0""","18.18","5.45","42","122.00","56"
"9/3/2018","Dell Technologies Champ","T7","1.948",".876","320.5","303.3","350","62.50","18' 3""","14.29","7.14","48","121.19","30"
"8/26/2018","THE NORTHERN TRUST","T11",".817","-.056","297.4","299.3","379","42.86","37' 10""","16.98","24.53","86","120.86","39"
"8/12/2018","PGA Championship","T27","1.537",".965","316.1","302.0","346","69.64","18' 5""","7.14","16.07","42","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T3","1.710","1.137","335.0","320.8","385","51.79","29' 5""","25.45","14.55","33","123.05","110"
"7/29/2018","RBC Canadian Open","1","3.556","1.884","322.8","318.5","392","66.07","29' 11""","14.29","16.07","10","119.43","57"
"7/22/2018","The Open Championship","CUT","-","-","341.8","-","405","50.00","-","-","-","1,998","-","-"
"6/17/2018","U.S. Open","3","2.890",".901","312.4","296.2","366","80.36","-","10.71","5.36","21","-","-"
"6/10/2018","FedEx St. Jude Classic","1","4.231","1.250","320.3","300.9","359","53.57","25' 2""","18.18","25.45","37","122.49","24"
"6/3/2018","the Memorial Tournament","T8","1.225",".518","315.5","302.8","381","50.00","31' 8""","16.07","30.36","74","122.72","57"
"5/13/2018","THE PLAYERS Championship","T17","1.320",".951","313.3","297.9","359","64.29","25' 6""","5.45","12.73","36","121.32","11"
"4/15/2018","RBC Heritage","T16","2.095","1.152","299.4","291.8","356","62.50","28' 8""","7.27","5.45","42","121.95","76"
"4/8/2018","Masters Tournament","T10","-","-","304.9","-","357","66.07","-","-","-","31","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T7",".959",".824","327.3","319.5","389","50.00","26' 2""","14.29","26.79","50","120.43","61"
"2/18/2018","Genesis Open","T16","1.323",".249","307.8","307.3","360","41.07","25' 6""","29.63","16.67","81","124.41","82"
"2/11/2018","AT&T Pebble Beach","T2","1.236","1.202","312.8","284.2","383","65.45","36' 9""","10.71","10.71","52","121.27","43"
"1/7/2018","Sentry T of C","1","3.497","2.225","296.3","324.7","430","65.00","28' 2""","11.67","21.67","20","120.49","15"
"12/3/2017","(*) Hero World Challenge","T14","-","-","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T2","-","-","-","-","343","62.50","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T17",".977",".903","318.9","308.3","370","57.14","28' 10""","16.07","12.50","16","-","-"
"9/17/2017","BMW Championship","T33",".632","1.294","320.3","304.6","365","71.43","32' 1""","5.45","12.73","10","119.28","85"
"9/4/2017","Dell Technologies Champ","T18","1.905",".711","308.3","296.5","345","64.29","36' 7""","3.64","5.45","41","119.24","57"
"8/27/2017","THE NORTHERN TRUST","1","3.576","1.328","314.3","303.3","363","75.00","28' 8""","3.64","16.36","10","123.16","74"
"8/13/2017","PGA Championship","T13","2.367",".882","311.1","311.1","351","57.14","31' 10""","16.07","12.50","59","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T17","-.116",".685","318.4","317.9","439","39.29","28' 9""","24.53","28.30","93","119.39","138"
"7/30/2017","RBC Canadian Open","T8","2.653",".952","319.5","316.1","390","46.43","39' 0""","25.93","18.52","71","122.35","117"
"7/23/2017","The Open Championship","T54","-","-","322.4","-","360","46.43","-","-","-","43","-","-"
"6/18/2017","U.S. Open","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"6/4/2017","the Memorial Tournament","CUT",".269",".717","314.0","309.2","413","46.43","35' 1""","22.22","18.52","1,998","120.32","1,998"
"5/21/2017","AT&T Byron Nelson","T13","1.791","1.674","310.4","310.2","372","48.21","25' 5""","23.21","16.07","51","122.14","52"
"5/14/2017","THE PLAYERS Championship","T12","1.286",".920","296.0","291.9","361","51.79","24' 4""","14.29","21.43","72","122.60","96"
"5/7/2017","Wells Fargo Championship","T2","2.336","1.065","310.8","307.3","343","57.14","34' 1""","12.50","7.14","50","123.22","18"
"3/26/2017","WGC-Dell Tech Match Play","1","-","-","-","-","-","-","-","-","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","1","3.148",".366","321.8","303.2","393","58.93","41' 8""","16.36","16.36","53","120.64","35"
"2/19/2017","Genesis Open","1","2.284","1.315","315.3","300.6","350","51.79","26' 6""","25.93","20.37","46","120.91","31"
"2/12/2017","AT&T Pebble Beach","3","2.958",".897","308.0","283.1","341","69.09","56' 2""","14.29","3.57","39","118.29","66"
"1/29/2017","Farmers Insurance Open","CUT","1.581","1.269","316.8","301.0","329","35.71","39' 3""","7.14","21.43","1,998","122.93","1,998"
"1/8/2017","SBS Tournament of Champ","T6","1.830","1.562","319.6","314.6","428","61.67","19' 9""","16.67","18.33","29","122.02","4"
"12/4/2016","(*) Hero World Challenge","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T35","-","-","-","-","333","62.50","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","T6","1.060",".806","302.1","308.8","369","50.00","28' 4""","21.43","19.64","31","122.67","10"
"9/11/2016","BMW Championship","1","2.749","1.562","319.3","308.6","343","64.29","16' 6""","16.07","17.86","29","122.85","56"
