"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/6/2019","Sentry T of C","T4",".406","32.0","1.655","1.542","44.44","1.39","27.75","26.00","30.00","25.00","30.00","100.00","100.00","85.71","60.00","100.00",".00",".00",".00","66.67","89.19","33.33","12.50",".00","5.88","53' 5""","2' 0""","68' 1""","40.00"
"12/2/2018","(*) Hero World Challenge","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","-","1.804","1.611","40.28","1.39","29.00","26.00","31.00","27.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.09"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","3",".208","12.9","1.731","1.653","34.72",".00","29.75","30.00","29.00","28.00","32.00","100.00","100.00","100.00","70.00","100.00",".00","33.33","33.33","78.95","89.04","57.14","16.67",".00","4.35","28' 0""","2' 6""","74' 9""","32.69"
"9/9/2018","BMW Championship","T24","-1.279","98.5","1.767","1.667","36.11","2.78","30.00","29.00","32.00","28.00","31.00","100.00","87.50","28.57","80.00","50.00","16.67","-","100.00","40.91","82.28","25.00",".00","33.33","6.25","29' 2""","2' 4""","80' 3""","26.67"
"9/3/2018","Dell Technologies Champ","T7","-.101","109.3","1.722","1.625","40.28","5.56","29.25","26.00","31.00","32.00","28.00","100.00","66.67","66.67","80.00","50.00","50.00","33.33","33.33","66.67","82.67","40.00","25.00","60.00",".00","23' 7""","2' 6""","82' 3""","38.89"
"8/26/2018","THE NORTHERN TRUST","T11","1.076","59.0","1.563","1.472","50.00",".00","26.50","26.00","28.00","27.00","25.00","100.00","83.33","100.00","33.33","100.00","33.33","33.33","50.00","66.67","88.06","42.86","33.33","33.33","15.38","29' 5""","1' 8""","91' 2""","45.83"
"8/12/2018","PGA Championship","T27","-.084","89.3","1.617","1.556","41.67",".00","28.00","29.00","28.00","29.00","26.00","100.00","85.71","75.00","100.00","20.00","20.00","50.00",".00","43.75","82.19","31.25","27.27","25.00","25.00","27' 4""","1' 10""","83' 8""","40.43"
"8/5/2018","WGC-Bridgestone Invit'l","T3",".695","44.3","1.708","1.556","44.44",".00","28.00","30.00","29.00","28.00","25.00","100.00","100.00","80.00","66.67","100.00","100.00","33.33","20.00","87.50","89.04","40.00","20.00",".00",".00","16' 1""","1' 11""","71' 4""","33.33"
"7/29/2018","RBC Canadian Open","1",".557","105.4","1.632","1.542","44.44","4.17","27.75","23.00","32.00","26.00","30.00","100.00","75.00","100.00","100.00","50.00","50.00","66.67","66.67","73.68","87.32","37.50",".00","25.00",".00","23' 3""","2' 3""","82' 9""","44.64"
"7/22/2018","The Open Championship","CUT","-","-","1.810","1.667","33.33",".00","30.00","33.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.57"
"6/17/2018","U.S. Open","3",".755","94.2","1.880","1.750","30.56","8.33","31.50","26.00","27.00","38.00","35.00","100.00","83.33","60.00","100.00","66.67","44.44","100.00",".00","55.56","86.11","41.67","6.25","33.33","5.00","45' 5""","2' 7""","84' 2""","24.00"
"6/10/2018","FedEx St. Jude Classic","1",".964","36.6","1.592","1.444","44.44",".00","26.00","26.00","24.00","27.00","27.00","100.00","100.00","100.00","100.00","100.00",".00","60.00","100.00","86.67","94.03","18.18","20.00","20.00",".00","20' 7""","1' 9""","68' 0""","40.43"
"6/3/2018","the Memorial Tournament","T8",".891","54.2","1.673","1.542","48.61","2.78","27.75","28.00","26.00","29.00","28.00","100.00","100.00","80.00","100.00","100.00","50.00","50.00","66.67","82.35","92.86","16.67","20.00","16.67","15.38","39' 6""","1' 10""","87' 3""","40.82"
"5/13/2018","THE PLAYERS Championship","T17",".456","94.5","1.769","1.639","37.50","4.17","29.50","31.00","29.00","27.00","31.00","100.00","100.00","100.00","50.00","28.57","100.00",".00","60.00","66.67","86.11","25.00",".00","75.00","14.29","48' 11""","2' 9""","96' 10""","34.62"
"4/15/2018","RBC Heritage","T16","-.515","107.6","1.712","1.611","41.67","2.78","29.00","28.00","30.00","30.00","28.00","100.00","100.00","75.00","50.00",".00","50.00","33.33",".00","46.67","84.42","37.50",".00",".00","6.25","27' 7""","2' 4""","66' 3""","34.62"
"4/8/2018","Masters Tournament","T10","-","-","1.878","1.667","31.94","4.17","30.00","34.00","26.00","32.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.65"
