"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"11/25/2018","(*) ISPS Handa World Cup","T13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/12/2018","PGA Championship","W/D",".909","61.11","50.00",".00",".00","32' 0""","53' 9""","53' 9""","-","26' 1""","80' 5""","-","35' 8""","19' 8""","34' 0""","29' 6""","8' 11""","16' 6""","-","20' 5""","35' 1""","38' 10""","-","-","-","-","59' 2""","48' 4""","-","-","-","-","53' 9""","59' 2""","48' 4""","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T39",".069","58.33","37.50","66.67","66.67","32' 1""","43' 4""","51' 10""","33' 3""","23' 8""","-","-","33' 6""","22' 6""","8' 3""","57' 0""","9' 0""","14' 11""","20' 8""","27' 10""","27' 4""","25' 3""","-","-","-","-","44' 10""","26' 11""","-","78' 4""","42' 7""","34' 5""","33' 5""","35' 7""","26' 11""","-","1","10"
"7/22/2018","The Open Championship","T39","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T16","1.993","70.83","44.44","50.00","50.00","35' 10""","53' 3""","55' 1""","51' 11""","33' 0""","48' 5""","88' 10""","57' 5""","41' 3""","19' 5""","13' 11""","22' 7""","21' 1""","25' 6""","26' 5""","29' 4""","63' 7""","-","57' 5""","-","-","54' 8""","37' 4""","57' 5""","32' 1""","65' 1""","71' 6""","-","-","-","-","-","-"
"5/13/2018","THE PLAYERS Championship","CUT","-2.494","61.11","80.00","12.50","12.50","42' 11""","49' 11""","55' 2""","42' 11""","38' 3""","-","98' 11""","91' 7""","78' 11""","4' 5""","-","20' 6""","12' 6""","32' 1""","23' 7""","32' 6""","90' 3""","-","80' 10""","38' 8""","-","49' 11""","-","59' 9""","87' 3""","42' 11""","13' 11""","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T32","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T54",".658","73.61","81.25","23.08","46.15","38' 5""","58' 2""","68' 0""","28' 7""","33' 7""","103' 8""","62' 4""","53' 11""","47' 1""","-","12' 6""","16' 8""","14' 7""","18' 4""","27' 1""","21' 11""","55' 2""","-","-","-","-","58' 2""","-","-","72' 9""","19' 9""","51' 5""","-","-","-","-","2","6"
"3/4/2018","WGC-Mexico Championship","63","-1.366","59.72","56.52","7.69","23.08","40' 6""","52' 1""","42' 7""","57' 3""","31' 10""","80' 11""","83' 5""","37' 9""","41' 1""","11' 6""","14' 0""","26' 9""","18' 6""","19' 5""","26' 8""","29' 1""","51' 2""","84' 8""","43' 2""","-","-","55' 7""","45' 8""","57' 0""","-","33' 3""","48' 7""","58' 10""","69' 3""","107' 10""","28' 6""","-","-"
"2/18/2018","Genesis Open","T53","1.184","56.94","81.25","7.69","38.46","41' 10""","44' 1""","45' 4""","42' 6""","33' 9""","102' 11""","80' 9""","33' 8""","84' 7""","-","14' 6""","36' 0""","21' 8""","15' 6""","23' 10""","30' 4""","68' 11""","-","-","-","46' 11""","44' 5""","37' 3""","46' 11""","54' 7""","30' 4""","38' 0""","37' 3""","-","37' 3""","-","2","190"
"10/29/2017","WGC-HSBC Champions","T50","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T48","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/20/2017","Wyndham Championship","CUT",".652","80.56","75.00","66.67","66.67","29' 3""","24' 9""","34' 1""","21' 7""","27' 5""","-","-","86' 1""","29' 6""","25' 7""","5' 0""","12' 2""","11' 3""","22' 4""","31' 8""","31' 3""","45' 8""","-","-","-","-","24' 9""","-","-","18' 4""","23' 3""","34' 1""","-","-","-","-","-","-"
"8/13/2017","PGA Championship","CUT",".159","52.78","44.44","25.00","50.00","36' 8""","58' 0""","30' 6""","63' 6""","32' 6""","-","28' 7""","45' 6""","58' 1""","-","-","11' 10""","11' 10""","21' 10""","22' 5""","35' 3""","46' 0""","-","-","72' 5""","118' 11""","72' 10""","28' 3""","95' 8""","-","89' 7""","10' 6""","28' 3""","-","28' 3""","-","-","-"
"7/23/2017","The Open Championship","3","-","59.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/18/2017","U.S. Open","68","-1.839","63.89","33.33",".00","42.86","44' 7""","62' 7""","72' 4""","52' 10""","41' 1""","104' 7""","69' 1""","62' 7""","51' 3""","14' 8""","23' 0""","30' 0""","26' 1""","17' 5""","25' 0""","42' 2""","69' 10""","-","-","-","81' 2""","55' 8""","83' 5""","81' 2""","-","65' 6""","35' 4""","62' 7""","20' 11""","-","83' 5""","-","-"
"11/27/2016","(*) ISPS HANDA World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T63","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/14/2016","(*) Olympic Men's Golf","T50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
