"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"11/25/2018","(*) ISPS Handa World Cup","T13","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","60.00","-","52.00","-","-","-","-","-","-"
"8/12/2018","PGA Championship","W/D","-.488",".00","3' 1""","42.86","-",".00","25.00",".00","100.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T39","-.705","50.00","5' 5""","50.00","100.00","60.00","16.67","42.86","61.54","75.00"
"7/22/2018","The Open Championship","T39","-","40.00","-","46.15","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T16",".424","25.00","9' 7""","33.33","-","33.33","18.18","25.00","66.67","-"
"5/13/2018","THE PLAYERS Championship","CUT","-1.858","25.00","8' 8""","28.57","-",".00",".00",".00","40.00","66.67"
"4/8/2018","Masters Tournament","T32","-",".00","-","56.00","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T54","-.302",".00","13' 6""","57.89","-","83.33",".00","100.00","83.33","75.00"
"3/4/2018","WGC-Mexico Championship","63","-1.708","11.11","18' 7""","44.83","-","53.85","30.00","66.67","40.00","80.00"
"2/18/2018","Genesis Open","T53","-.434","25.00","7' 7""","54.84","80.00","40.00","50.00","25.00","50.00","72.73"
"10/29/2017","WGC-HSBC Champions","T50","-","40.00","-","42.31","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T48","-","55.56","-","43.75","-","-","-","-","-","-"
"8/20/2017","Wyndham Championship","CUT",".076",".00","9' 10""","57.14","100.00",".00","50.00",".00","100.00","100.00"
"8/13/2017","PGA Championship","CUT",".192","50.00","9' 3""","52.94","100.00","45.45",".00","33.33","62.50","100.00"
"7/23/2017","The Open Championship","3","-","62.50","-","68.97","-","-","-","-","-","-"
"6/18/2017","U.S. Open","68","-1.197","57.14","18' 11""","34.62","75.00","14.29",".00","16.67","44.44","100.00"
"11/27/2016","(*) ISPS HANDA World Cup","T2","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T63","-","25.00","-","50.00","-","-","-","-","-","-"
"8/14/2016","(*) Olympic Men's Golf","T50","-","-","-","-","-","-","-","-","-","-"
"3/27/2016","Puerto Rico Open","CUT","-","50.00","-","53.85","100.00","40.00","-","-","-","-"
"1/17/2016","Sony Open in Hawaii","CUT",".203","66.67","6' 10""","40.00","100.00","40.00",".00",".00","50.00","100.00"
"11/8/2015","WGC-HSBC Champions","T7","-","33.33","-","50.00","-","-","-","-","-","-"
"11/9/2014","WGC-HSBC Champions","T35","-","50.00","-","57.14","-","-","-","-","-","-"
"11/3/2013","WGC-HSBC Champions","T39","-","100.00","-","63.33","-","-","-","-","-","-"
