"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"11/25/2018","(*) ISPS Handa World Cup","T13","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","-","-","-","349","58.93","-","-","-","-","-","-"
"8/12/2018","PGA Championship","W/D","-.748","-1.168","295.0","297.3","320","42.86","13' 8""","14.29","7.14","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T39","-1.290","-.654","309.0","303.4","386","41.07","36' 7""","25.93","24.07","116","121.31","136"
"7/22/2018","The Open Championship","T39","-","-","313.5","-","379","56.67","-","-","-","49","-","-"
"6/17/2018","U.S. Open","T16","2.361","-.056","310.5","291.7","352","64.29","-","14.29","14.29","62","-","-"
"5/13/2018","THE PLAYERS Championship","CUT","-3.878",".475","294.5","291.2","326","57.14","14' 11""","14.29","14.29","1,998","117.05","1,998"
"4/8/2018","Masters Tournament","T32","-","-","292.1","-","314","66.07","-","-","-","46","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T54","1.019",".663","299.0","285.6","341","69.64","22' 6""","12.50","5.36","51","117.74","124"
"3/4/2018","WGC-Mexico Championship","63","-3.331","-.257","321.5","308.5","366","50.00","41' 1""","18.52","25.93","53","112.42","4"
"2/18/2018","Genesis Open","T53",".671","-.080","300.1","292.2","332","48.21","25' 4""","25.45","18.18","82","116.05","70"
"10/29/2017","WGC-HSBC Champions","T50","-","-","-","-","316","60.71","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T48","-","-","-","-","-","78.57","-","-","-","-","-","-"
"8/20/2017","Wyndham Championship","CUT","-.326","-1.054","318.5","289.8","339","71.43","36' 11""","7.41","11.11","1,998","115.72","1,998"
"8/13/2017","PGA Championship","CUT",".518",".167","304.8","298.6","329","64.29","24' 2""","7.14","10.71","1,998","-","-"
"7/23/2017","The Open Championship","3","-","-","300.8","-","351","37.50","-","-","-","97","-","-"
"6/18/2017","U.S. Open","68","-3.036",".001","312.8","294.7","346","76.79","-","12.50","7.14","57","-","-"
"11/27/2016","(*) ISPS HANDA World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T63","-","-","-","-","320","58.93","-","-","-","-","-","-"
"8/14/2016","(*) Olympic Men's Golf","T50","-","-","-","-","-","-","-","-","-","-","-","-"
"3/27/2016","Puerto Rico Open","CUT","-","-","302.8","-","366","53.57","-","-","-","1,998","-","-"
"1/17/2016","Sony Open in Hawaii","CUT","-.821","-.016","296.3","289.1","342","50.00","20' 1""","14.29","32.14","1,998","115.79","1,998"
"11/8/2015","WGC-HSBC Champions","T7","-","-","-","-","280","64.29","-","-","-","-","-","-"
"11/9/2014","WGC-HSBC Champions","T35","-","-","-","-","324","64.29","-","-","-","-","-","-"
"11/3/2013","WGC-HSBC Champions","T39","-","-","-","-","321","51.79","-","-","-","-","-","-"
