"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"11/25/2018","(*) ISPS Handa World Cup","T13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","-","1.681","1.569","50.00","5.56","28.25","27.00","31.00","28.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","46.81"
"8/12/2018","PGA Championship","W/D","1.126","-","1.727","1.611","38.89",".00","29.00","29.00","-","-","-","100.00","100.00","100.00",".00","-","-","50.00","-","75.00","89.47",".00","-",".00","12.50","36' 6""","2' 7""","90' 4""","27.27"
"8/5/2018","WGC-Bridgestone Invit'l","T39",".945","55.6","1.690","1.514","47.22","1.39","27.25","27.00","28.00","27.00","27.00","100.00","100.00","100.00","100.00","60.00","75.00","60.00",".00","85.71","91.67","20.00",".00","22.22","8.33","29' 9""","2' 5""","80' 8""","35.71"
"7/22/2018","The Open Championship","T39","-","-","1.761","1.681","34.72","1.39","30.25","31.00","30.00","28.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.61"
"6/17/2018","U.S. Open","T16","-.467","78.0","1.902","1.819","23.61","5.56","32.75","34.00","33.00","31.00","33.00","95.74","100.00","50.00","25.00","50.00","66.67","75.00","50.00","46.67","84.62","22.22","13.33","20.00","4.17","41' 6""","2' 8""","76' 4""","17.65"
"5/13/2018","THE PLAYERS Championship","CUT","-2.479","-","2.045","1.861","22.22","8.33","33.50","35.00","32.00","-","-","100.00","100.00","60.00","100.00",".00","100.00",".00",".00","45.45","76.74",".00","20.00","25.00","10.00","31' 4""","2' 9""","72' 10""","9.09"
"4/8/2018","Masters Tournament","T32","-","-","1.851","1.597","37.50","5.56","28.75","27.00","25.00","34.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27.66"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T54","-1.026","86.3","1.868","1.708","25.00","1.39","30.75","32.00","30.00","33.00","28.00","100.00","100.00","66.67","60.00","50.00","20.00","50.00",".00","47.06","85.90","25.00","12.50",".00",".00","18' 0""","2' 2""","52' 11""","20.75"
"3/4/2018","WGC-Mexico Championship","63","-.821","74.6","1.930","1.722","38.89","9.72","31.00","30.00","33.00","30.00","31.00","97.73","84.62","66.67","20.00","66.67",".00",".00",".00","46.67","81.33","50.00","20.00",".00","16.67","40' 2""","3' 2""","89' 11""","27.91"
"2/18/2018","Genesis Open","T53","-.589","111.1","1.707","1.556","41.67","2.78","28.00","29.00","27.00","27.00","29.00","100.00","66.67","50.00","60.00","25.00","33.33",".00","50.00","43.75","81.58","66.67",".00","25.00",".00","23' 4""","2' 3""","69' 5""","32.50"
"10/29/2017","WGC-HSBC Champions","T50","-","-","1.761","1.667","33.33","2.78","30.00","29.00","30.00","29.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.61"
"10/15/2017","CIMB Classic","T48","-","-","1.786","1.694","30.56","2.78","30.50","33.00","28.00","29.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.14"
"8/20/2017","Wyndham Championship","CUT","-.928","-","1.862","1.778","30.56","8.33","32.00","35.00","29.00","-","-","100.00","85.71","75.00",".00","-","100.00","100.00","25.00","62.50","82.50","20.00",".00","-","12.50","33' 8""","3' 3""","84' 9""","31.03"
"8/13/2017","PGA Championship","CUT","-.349","-","1.947","1.694","36.11","5.56","30.50","31.00","30.00","-","-","100.00","100.00","100.00","50.00",".00","50.00","100.00","50.00","66.67","89.47",".00","16.67","50.00",".00","20' 6""","2' 3""","62' 0""","21.05"
"7/23/2017","The Open Championship","3","-","-","1.698","1.486","48.61",".00","26.75","28.00","27.00","27.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.56"
"6/18/2017","U.S. Open","68","-1.326","90.8","1.913","1.875","25.00","11.11","33.75","30.00","31.00","35.00","39.00","100.00","100.00","100.00","60.00","50.00","40.00",".00","50.00","65.00","83.78","23.53","30.77",".00","7.41","54' 5""","4' 10""","95' 11""","19.57"
"11/27/2016","(*) ISPS HANDA World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T63","-","-","1.891","1.722","30.56","2.78","31.00","32.00","30.00","29.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.39"
"8/14/2016","(*) Olympic Men's Golf","T50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/27/2016","Puerto Rico Open","CUT","-","-","1.783","1.639","38.89","2.78","29.50","30.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","30.43"
"1/17/2016","Sony Open in Hawaii","CUT",".470","-","1.769","1.722","27.78",".00","31.00","31.00","31.00","-","-","95.45","100.00","100.00","50.00","100.00","66.67","-","-","77.78","91.67","60.00",".00",".00",".00","13' 1""","2' 3""","64' 5""","30.77"
"11/8/2015","WGC-HSBC Champions","T7","-","-","1.609","1.181","33.33","1.39","28.33","29.00","28.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","43.48"
"11/9/2014","WGC-HSBC Champions","T35","-","-","1.863","1.722","37.50","9.72","31.00","32.00","30.00","31.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.41"
"11/3/2013","WGC-HSBC Champions","T39","-","-","1.690","1.486","54.17","2.78","26.75","26.00","27.00","30.00","24.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40.48"
