"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","T3","1.747","75.00","66.67","37.50","62.50","35' 11""","39' 2""","43' 6""","38' 1""","34' 0""","100' 6""","27' 0""","36' 9""","44' 2""","-","7' 8""","44' 5""","26' 1""","21' 4""","29' 3""","19' 4""","53' 6""","-","-","-","101' 4""","39' 2""","-","101' 4""","39' 7""","51' 10""","27' 9""","17' 8""","17' 8""","-","-","2","14"
"1/13/2019","Sony Open in Hawaii","T51",".669","75.00","100.00","30.00","50.00","35' 5""","46' 10""","46' 7""","46' 11""","27' 3""","-","87' 1""","-","29' 9""","-","-","28' 8""","28' 8""","26' 8""","23' 11""","28' 9""","44' 1""","-","-","62' 4""","47' 7""","46' 4""","55' 1""","50' 1""","57' 11""","30' 6""","21' 7""","40' 9""","26' 5""","55' 1""","-","1","7"
"12/2/2018","(*) Hero World Challenge","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","62.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T4","2.917","73.61","75.00","50.00","66.67","23' 5""","37' 6""","36' 5""","38' 10""","19' 11""","-","-","32' 9""","31' 3""","4' 1""","16' 11""","12' 5""","12' 6""","11' 4""","19' 1""","20' 6""","31' 11""","-","25' 10""","-","41' 3""","39' 2""","17' 9""","37' 5""","71' 8""","36' 7""","26' 2""","34' 1""","50' 5""","-","17' 9""","-","-"
"9/9/2018","BMW Championship","15","1.017","87.50","77.78","28.57","57.14","32' 1""","50' 0""","53' 11""","45' 6""","28' 1""","-","72' 10""","45' 6""","29' 3""","-","10' 10""","16' 9""","15' 11""","16' 8""","38' 6""","29' 5""","39' 6""","-","-","78' 5""","-","52' 11""","16' 0""","78' 5""","-","41' 0""","63' 10""","37' 3""","47' 11""","16' 0""","-","-","-"
"9/3/2018","Dell Technologies Champ","T4",".217","68.06","62.50","10.00","70.00","38' 11""","41' 6""","41' 5""","41' 9""","30' 11""","-","112' 0""","50' 0""","33' 1""","16' 6""","14' 5""","19' 7""","17' 4""","19' 11""","26' 2""","29' 3""","48' 0""","47' 7""","-","-","-","41' 6""","-","47' 7""","44' 1""","36' 6""","46' 11""","47' 3""","47' 3""","-","-","2","16"
"8/26/2018","THE NORTHERN TRUST","T15","1.898","73.61","25.00","25.00","50.00","28' 6""","43' 4""","40' 1""","44' 8""","20' 3""","29' 5""","-","13' 11""","36' 11""","12' 10""","17' 5""","11' 10""","14' 6""","18' 1""","16' 7""","15' 10""","34' 1""","-","-","-","53' 6""","51' 0""","12' 7""","53' 6""","63' 3""","65' 7""","25' 3""","17' 1""","26' 1""","10' 3""","13' 4""","-","-"
"8/19/2018","Wyndham Championship","T11","1.840","83.33","87.50","85.71","85.71","24' 6""","29' 1""","30' 5""","26' 11""","21' 7""","-","-","47' 2""","32' 0""","26' 9""","14' 2""","11' 9""","15' 8""","18' 9""","17' 7""","22' 11""","37' 0""","-","-","-","17' 10""","30' 3""","11' 11""","17' 10""","37' 6""","33' 3""","31' 7""","10' 10""","9' 9""","11' 11""","-","-","-"
