"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","T3",".761","66.67","5' 3""","83.33","-","83.33","100.00","60.00","100.00","80.00"
"1/13/2019","Sony Open in Hawaii","T51","-.248","60.00","8' 2""","66.67","100.00","66.67","100.00","60.00","60.00","71.43"
"12/2/2018","(*) Hero World Challenge","18","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","50.00","-","62.96","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","71.43","-","66.67","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T4","-.635","50.00","8' 9""","57.89","100.00","54.55","25.00","100.00","42.86","83.33"
"9/9/2018","BMW Championship","15","-.229",".00","20' 6""","55.56","-","100.00",".00","33.33","66.67","100.00"
"9/3/2018","Dell Technologies Champ","T4",".542","100.00","8' 10""","69.57","100.00","57.14","33.33","-","71.43","100.00"
"8/26/2018","THE NORTHERN TRUST","T15","-.641","60.00","11' 7""","63.16","100.00","57.14","33.33","100.00","62.50","60.00"
"8/19/2018","Wyndham Championship","T11","-.179","-","-","50.00","-",".00","33.33","50.00","66.67",".00"
"8/12/2018","PGA Championship","T35","-.453","50.00","9' 4""","52.17","100.00","42.86","28.57","66.67","50.00","80.00"
"8/5/2018","WGC-Bridgestone Invit'l","T39",".402","71.43","11' 8""","61.76","75.00","52.63","40.00",".00","57.14","91.67"
"7/22/2018","The Open Championship","CUT","-",".00","-","57.14","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T16","-.024","40.00","12' 0""","57.14","50.00","50.00","57.14","55.56","70.00",".00"
"6/3/2018","the Memorial Tournament","T13",".733","28.57","8' 4""","45.83","66.67","58.33","20.00","100.00","45.45","66.67"
"5/20/2018","AT&T Byron Nelson","T16",".115","25.00","7' 5""","72.22","100.00",".00","100.00","42.86","87.50","100.00"
"5/13/2018","THE PLAYERS Championship","CUT","-.743","62.50","5' 1""","66.67","-","100.00","-","100.00","75.00","100.00"
"5/6/2018","Wells Fargo Championship","T76",".865","66.67","9' 6""","47.37","-","50.00",".00","60.00","66.67","100.00"
"4/8/2018","Masters Tournament","19","-","62.50","-","72.00","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T49","1.530","80.00","6' 7""","69.70","100.00","57.14","25.00","75.00","81.25","100.00"
"3/4/2018","WGC-Mexico Championship","DNS","-","-","-","-","-","-","-","-","-","-"
"2/4/2018","Waste Management Phoenix","W/D",".202","100.00","2' 4""","25.00","-",".00","-",".00","33.33","-"
"1/28/2018","Farmers Insurance Open","T12",".375","37.50","8' 1""","70.97","100.00","66.67","33.33","33.33","77.78","100.00"
"1/7/2018","Sentry T of C","T4",".268",".00","32' 1""","62.50","50.00","60.00","100.00","25.00","71.43","75.00"
"12/3/2017","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T50","-",".00","-","52.00","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T5","-","50.00","-","70.00","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T26","-.240",".00","12' 5""","46.15","100.00","46.67","28.57","60.00","42.86","57.14"
"9/17/2017","BMW Championship","T47",".190","28.57","12' 3""","62.96","-","64.29",".00","50.00","63.64","88.89"
"9/4/2017","Dell Technologies Champ","T23",".026","40.00","13' 1""","63.16","-","100.00","50.00","100.00","62.50","66.67"
"8/27/2017","THE NORTHERN TRUST","CUT","-.839","50.00","27' 0""","63.64","100.00","-","50.00","50.00","100.00","50.00"
"8/13/2017","PGA Championship","T5",".450","66.67","9' 6""","51.85",".00","53.33","25.00","40.00","61.54","60.00"
