"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","T3","2.854",".346","311.6","297.4","338","44.64","31' 6""","7.14","28.57","66","115.50","5"
"1/13/2019","Sony Open in Hawaii","T51",".536",".115","305.1","286.0","353","55.36","29' 1""","12.50","21.43","84","117.39","49"
"12/2/2018","(*) Hero World Challenge","18","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","-","-","-","325","64.29","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","-","-","-","64.29","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T4","2.082","-.200","302.6","298.4","346","64.29","27' 3""","16.07","12.50","18","117.96","40"
"9/9/2018","BMW Championship","15","1.115",".326","295.0","293.4","345","71.43","28' 7""","12.73","10.91","67","114.60","51"
"9/3/2018","Dell Technologies Champ","T4",".769",".009","304.3","287.6","334","57.14","37' 11""","18.52","7.41","96","113.89","14"
"8/26/2018","THE NORTHERN TRUST","T15","1.446",".190","286.6","283.3","343","58.93","34' 6""","12.50","26.79","87","115.84","34"
"8/19/2018","Wyndham Championship","T11","2.410",".749","316.4","286.8","355","66.07","17' 0""","17.86","14.29","43","116.18","86"
"8/12/2018","PGA Championship","T35","-.349",".134","303.0","285.5","347","60.71","25' 3""","14.29","21.43","97","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T39",".394","-.409","312.5","302.6","373","33.93","27' 11""","30.91","29.09","115","116.95","47"
"7/22/2018","The Open Championship","CUT","-","-","323.3","-","407","50.00","-","-","-","1,998","-","-"
"6/17/2018","U.S. Open","T16","1.536",".801","301.5","292.6","357","82.14","-","5.36","10.71","41","-","-"
"6/3/2018","the Memorial Tournament","T13","1.941","-.024","288.0","286.0","341","71.43","23' 6""","5.36","16.07","69","115.29","20"
"5/20/2018","AT&T Byron Nelson","T16","-.030","-.004","315.1","296.5","379","73.21","17' 8""","5.36","1.79","69","116.20","100"
"5/13/2018","THE PLAYERS Championship","CUT","-1.755","2.124","298.3","292.7","339","85.71","55' 1""","7.14","3.57","1,998","117.32","1,998"
"5/6/2018","Wells Fargo Championship","T76","1.091",".461","325.2","310.7","345","54.76","25' 11""","21.95","7.32","1,998","118.42","1,998"
"4/8/2018","Masters Tournament","19","-","-","294.0","-","314","71.43","-","-","-","29","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-"
