"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","T3",".240","98.3","1.741","1.556","43.06","4.17","28.00","28.00","23.00","29.00","32.00","100.00","80.00","75.00","100.00","100.00",".00",".00","33.33","70.00","85.45","33.33","33.33","25.00",".00","23' 0""","2' 6""","68' 4""","35.85"
"1/13/2019","Sony Open in Hawaii","T51","-.274","91.8","1.833","1.694","34.72","6.94","30.50","32.00","29.00","28.00","33.00","95.83","80.00","25.00","66.67","66.67","50.00","100.00","50.00","50.00","82.43","66.67","37.50",".00","3.57","34' 3""","2' 3""","81' 0""","31.48"
"12/2/2018","(*) Hero World Challenge","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T30","-","-","1.911","1.667","37.50","6.94","30.00","32.00","28.00","34.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.67"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","1.759","1.639","40.28","4.17","29.50","29.00","32.00","30.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.48"
"9/23/2018","TOUR Championship","T4","-.966","39.5","1.792","1.653","37.50","2.78","29.75","32.00","26.00","31.00","30.00","97.73","100.00","87.50","50.00","100.00","40.00","80.00","28.57","73.68","85.00","8.33","42.86",".00",".00","17' 9""","2' 4""","68' 4""","28.30"
"9/9/2018","BMW Championship","15",".269","63.8","1.746","1.694","34.72","4.17","30.50","31.00","29.00","32.00","30.00","100.00","100.00","100.00","75.00","50.00","80.00","100.00","50.00","75.00","91.67","20.00","27.27",".00","4.00","38' 3""","2' 7""","75' 4""","31.75"
"9/3/2018","Dell Technologies Champ","T4","1.328","86.3","1.633","1.500","50.00","5.56","27.00","29.00","30.00","24.00","25.00","97.44","100.00","66.67","57.14","66.67","75.00","50.00",".00","65.00","85.07","36.36","44.44","28.57","21.43","64' 2""","2' 10""","119' 11""","43.75"
"8/26/2018","THE NORTHERN TRUST","T15",".197","96.3","1.698","1.597","41.67","1.39","28.75","29.00","33.00","26.00","27.00","100.00","100.00","75.00","50.00","-","100.00","60.00","40.00","61.54","86.30","37.50","16.67","22.22",".00","21' 0""","1' 10""","78' 11""","33.96"
"8/19/2018","Wyndham Championship","T11","-.510","105.7","1.767","1.708","31.94","2.78","30.75","33.00","32.00","28.00","30.00","100.00","76.92","100.00","75.00","66.67","100.00","100.00",".00","80.00","88.00","23.53",".00",".00","11.11","36' 11""","2' 3""","76' 2""","35.00"
