"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/6/2019","Sentry T of C","13","-.981","75.00","69.57","43.75","68.75","36' 7""","36' 3""","39' 6""","35' 6""","34' 8""","146' 11""","48' 6""","43' 6""","52' 7""","12' 6""","12' 10""","22' 7""","14' 5""","31' 8""","28' 9""","37' 10""","56' 7""","-","-","-","85' 0""","43' 0""","20' 7""","85' 0""","-","39' 7""","29' 4""","22' 7""","28' 7""","13' 10""","24' 0""","2","16"
"12/2/2018","(*) Hero World Challenge","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","61.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T5","-","79.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","18",".114","65.28","50.00","25.00","75.00","35' 4""","46' 5""","52' 3""","24' 9""","26' 3""","70' 2""","-","40' 6""","37' 5""","12' 0""","11""","12' 8""","11' 4""","23' 4""","25' 5""","16' 0""","40' 7""","-","-","65' 8""","8' 1""","55' 11""","25' 11""","36' 11""","46' 3""","59' 11""","49' 8""","38' 3""","112' 1""","29' 8""","7' 4""","1","5"
"9/9/2018","BMW Championship","T24",".407","77.78","77.78","42.86","100.00","32' 6""","40' 0""","40' 7""","39' 3""","29' 11""","119' 4""","35' 2""","38' 4""","47' 7""","12' 8""","6' 3""","20' 11""","16' 3""","20' 9""","28' 8""","33' 1""","48' 4""","-","-","-","21' 9""","40' 0""","-","21' 9""","48' 9""","36' 11""","46' 8""","33' 1""","33' 1""","-","-","-","-"
"9/3/2018","Dell Technologies Champ","CUT","-1.347","50.00","50.00",".00","25.00","42' 2""","47' 8""","57' 5""","46' 1""","33' 7""","-","-","52' 9""","43' 9""","-","35' 5""","27' 6""","28' 10""","22' 4""","26' 10""","39' 1""","48' 3""","-","-","81' 5""","-","47' 8""","-","81' 5""","65' 3""","31' 5""","-","27' 7""","27' 7""","-","-","1","8"
"8/26/2018","THE NORTHERN TRUST","T20","-.375","68.06","25.00",".00","50.00","35' 1""","53' 1""","119' 11""","49' 4""","28' 6""","91' 0""","58' 11""","35' 11""","39' 8""","5' 11""","11' 2""","19' 9""","14' 7""","19' 2""","32' 1""","25' 1""","52' 10""","-","98' 2""","-","94' 10""","60' 5""","32' 7""","96' 6""","78' 2""","33' 1""","32' 0""","42' 8""","59' 6""","60' 1""","14' 3""","1","12"
"8/12/2018","PGA Championship","T19",".075","73.61","50.00","40.00","60.00","33' 10""","65' 2""","73' 10""","56' 5""","27' 0""","53' 10""","75' 9""","26' 4""","37' 2""","16' 10""","-","18' 4""","17' 9""","19' 9""","23' 5""","27' 7""","42' 4""","-","-","114' 5""","79' 9""","67' 8""","37' 3""","88' 5""","22' 3""","114' 3""","50' 10""","-","-","-","-","2","14"
"8/5/2018","WGC-Bridgestone Invit'l","T10","1.177","68.06","37.50","33.33","66.67","30' 8""","45' 2""","38' 9""","48' 4""","22' 1""","-","-","20' 0""","24' 3""","-","23' 11""","16' 11""","18' 4""","20' 2""","22' 8""","30' 11""","23' 3""","-","-","130' 8""","73' 6""","45' 2""","-","102' 1""","55' 0""","48' 7""","43' 1""","11' 1""","11' 1""","-","-","1","11"
"7/22/2018","The Open Championship","T17","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T12",".518","65.28","58.33",".00","85.71","32' 7""","50' 7""","56' 10""","39' 7""","25' 10""","-","-","49' 10""","26' 9""","6' 0""","24' 5""","12' 7""","14' 1""","18' 0""","27' 9""","30' 6""","39' 4""","-","-","64' 2""","-","58' 2""","16' 4""","64' 2""","63' 2""","61' 9""","49' 9""","16' 4""","-","16' 4""","-","1","13"
"6/17/2018","U.S. Open","CUT","-1.893","41.67","60.00",".00","33.33","51' 3""","68' 7""","47' 8""","72' 9""","47' 9""","69' 6""","89' 7""","81' 4""","31' 1""","16' 3""","-","36' 7""","26' 5""","53' 8""","32' 5""","47' 11""","73' 9""","-","115' 2""","-","-","78' 11""","47' 11""","115' 2""","71' 8""","64' 5""","-","75' 5""","-","-","75' 5""","1","17"
