"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/6/2019","Sentry T of C","13",".787","66.67","15' 0""","50.00","100.00","75.00",".00","100.00","70.00","50.00"
"12/2/2018","(*) Hero World Challenge","16","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","37.50","-","60.71","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T5","-","25.00","-","60.00","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","18","-.833",".00","11' 1""","52.00","100.00","50.00","42.86","33.33","50.00","100.00"
"9/9/2018","BMW Championship","T24","-.181","50.00","14' 0""","56.25","-","54.55","-","16.67","75.00","100.00"
"9/3/2018","Dell Technologies Champ","CUT",".073","50.00","11' 3""","50.00","-","57.14",".00","80.00","50.00","-"
"8/26/2018","THE NORTHERN TRUST","T20",".754","62.50","10' 10""","65.22","100.00","62.50","33.33",".00","76.92","100.00"
"8/12/2018","PGA Championship","T19","1.102","81.82","4' 11""","68.42","100.00","50.00","42.86","100.00","77.78","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T10",".233","50.00","9' 2""","52.17","100.00","50.00",".00","33.33","66.67","100.00"
"7/22/2018","The Open Championship","T17","-","42.86","-","66.67","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T12",".854","77.78","7' 7""","60.00","100.00","60.00","66.67","85.71","50.00","33.33"
"6/17/2018","U.S. Open","CUT","1.507","87.50","8' 7""","42.86","-","20.00","12.50","40.00","75.00","-"
"6/3/2018","the Memorial Tournament","T44",".431","36.36","6' 8""","64.00","100.00","88.89","50.00","100.00","50.00","77.78"
"5/13/2018","THE PLAYERS Championship","T5",".764","70.00","7' 5""","77.27","100.00","50.00","66.67","100.00","69.23","100.00"
"5/6/2018","Wells Fargo Championship","1","1.240","93.75","5' 4""","77.42","100.00","63.64","50.00","57.14","88.89","75.00"
"4/29/2018","Zurich Classic of New Orl","T34","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T20","-","83.33","-","68.00","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T22",".336","50.00","8' 8""","69.57","-","75.00","50.00","62.50","87.50","100.00"
"2/11/2018","AT&T Pebble Beach","T2",".224","100.00","7' 8""","69.23","100.00","57.14","100.00",".00","60.00","100.00"
"1/28/2018","Farmers Insurance Open","1",".361","66.67","8' 11""","65.22","-","57.14","50.00","50.00","60.00","100.00"
"10/29/2017","WGC-HSBC Champions","T11","-","25.00","-","59.26","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","33.33","-","47.83","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T17","-.212","54.55","7' 9""","50.00","100.00","43.75","11.11","57.14","71.43","100.00"
"9/17/2017","BMW Championship","4","-.451","14.29","17' 7""","73.33","100.00","70.00","66.67",".00","69.23","91.67"
"9/4/2017","Dell Technologies Champ","T25",".028","40.00","8' 0""","39.13","-","55.56","14.29","100.00","45.45","50.00"
"8/27/2017","THE NORTHERN TRUST","T6",".315","66.67","7' 11""","75.00","-","57.14","16.67","100.00","100.00","100.00"
"8/13/2017","PGA Championship","T9",".454","80.00","5' 6""","53.13","100.00","38.46","40.00","33.33","60.00","80.00"
"8/6/2017","WGC-Bridgestone Invit'l","T24","-.389","33.33","6' 7""","60.71","83.33","61.54","16.67","50.00","88.89","75.00"
"7/23/2017","The Open Championship","T27","-",".00","-","60.71","-","-","-","-","-","-"
"6/25/2017","Travelers Championship","CUT","-.204",".00","6' 8""","38.46","50.00","100.00",".00","50.00","25.00","100.00"
"6/18/2017","U.S. Open","CUT","-1.378","33.33","5' 0""","25.00","100.00",".00","14.29","33.33","40.00",".00"
"6/4/2017","the Memorial Tournament","T15","1.652","63.64","5' 5""","53.57","-","60.00",".00","33.33","50.00","85.71"
"5/21/2017","AT&T Byron Nelson","2",".933","66.67","4' 4""","73.08","100.00","50.00","50.00","66.67","73.33","83.33"
"5/14/2017","THE PLAYERS Championship","T60",".200","62.50","10' 5""","51.85","100.00","57.14","25.00","50.00","55.56","100.00"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/9/2017","Masters Tournament","T22","-","80.00","-","51.85","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","58","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T23",".964","72.73","6' 6""","70.97","100.00","100.00","66.67","71.43","80.00","100.00"
"3/5/2017","WGC-Mexico Championship","DNS","-","-","-","-","-","-","-","-","-","-"
"2/19/2017","Genesis Open","T64",".260","100.00","3' 11""","62.50","83.33","72.73","28.57","60.00","66.67","100.00"
"2/12/2017","AT&T Pebble Beach","T5",".797","60.00","4' 9""","63.64","-","44.44",".00",".00","80.00","100.00"
"1/29/2017","Farmers Insurance Open","CUT","-.353","60.00","4' 11""","44.44","-","66.67","-",".00","66.67","-"
"1/8/2017","SBS Tournament of Champ","T12",".486",".00","6' 11""","61.54","-","83.33",".00","83.33","60.00",".00"
"9/25/2016","TOUR Championship","W/D","-.726","-","-","83.33","-","100.00","66.67","100.00","100.00","100.00"
"9/11/2016","BMW Championship","W/D",".037","66.67","5' 4""","55.00","100.00","60.00","100.00",".00","50.00","60.00"
"9/5/2016","Deutsche Bank Champ","T15",".556","75.00","3' 9""","61.11","100.00","60.00",".00","75.00","100.00","100.00"
"8/28/2016","The Barclays","T4",".721","66.67","7' 11""","60.87","-","60.00","50.00","50.00","83.33","100.00"
"7/31/2016","PGA Championship","2","-.071","33.33","7' 6""","70.00","100.00","50.00","50.00","50.00","100.00","100.00"
"7/24/2016","RBC Canadian Open","T14","1.002","42.86","6' 9""","62.07","80.00","61.11",".00","80.00","55.56","100.00"
"7/17/2016","The Open Championship","T22","-",".00","-","54.84","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T3","1.273","100.00","7' 8""","75.00","100.00","72.73","40.00","83.33","100.00","71.43"
"6/19/2016","U.S. Open","T8","-","50.00","-","53.57","-","-","-","-","-","-"
"6/5/2016","the Memorial Tournament","T27","-.350","84.62","7' 1""","50.00","-","33.33",".00","50.00","77.78","50.00"
"5/15/2016","THE PLAYERS Championship","1",".909","85.71","5' 3""","85.00","100.00","80.00","100.00","71.43","100.00","85.71"
"5/1/2016","Zurich Classic of New Orl","T5","-.068","50.00","12' 3""","75.00","-","66.67",".00","-","75.00","100.00"
"4/17/2016","RBC Heritage","T23","-.456","50.00","7' 9""","62.07","100.00","44.44","40.00","50.00","60.00","100.00"
"4/10/2016","Masters Tournament","T10","-","33.33","-","53.85","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","1","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","1","1.047","77.78","6' 5""","73.08","100.00","75.00","60.00","80.00","77.78","83.33"
"3/6/2016","WGC-Cadillac Championship","T23",".007","85.71","9' 1""","51.72","66.67","38.46","37.50","83.33","50.00","50.00"
"2/14/2016","AT&T Pebble Beach","T11","1.244","33.33","5' 4""","68.00","100.00","57.14","100.00","100.00","60.00","50.00"
"1/31/2016","Farmers Insurance Open","CUT","-.378","75.00","9' 10""","44.44","100.00","40.00",".00","50.00","66.67","-"
"1/10/2016","Hyundai T of C","T10",".096",".00","7' 4""","57.14","100.00","20.00",".00","50.00","75.00","100.00"
"10/11/2015","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/27/2015","TOUR Championship","T10",".025","100.00","7' 5""","64.00","100.00","40.00","25.00","50.00","100.00","100.00"
"9/20/2015","BMW Championship","1",".730","50.00","8' 4""","77.78","100.00","85.71","50.00","100.00","66.67","100.00"
"9/7/2015","Deutsche Bank Champ","T12","-.334","71.43","7' 3""","50.00","50.00","33.33",".00","50.00","62.50","33.33"
"8/30/2015","The Barclays","1",".491","55.56","9' 11""","75.00","100.00","75.00",".00","100.00","66.67","100.00"
