"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/6/2019","Sentry T of C","13",".156",".350","302.6","303.1","387","80.00","33' 11""","1.69","11.86","12","116.85","2"
"12/2/2018","(*) Hero World Challenge","16","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","-","-","-","325","46.43","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T5","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","18","-1.256","-.537","298.5","298.7","368","44.64","34' 3""","33.33","3.70","44","116.33","16"
"9/9/2018","BMW Championship","T24",".438",".212","309.1","296.9","347","58.93","26' 11""","20.00","14.55","71","117.29","15"
"9/3/2018","Dell Technologies Champ","CUT","-2.969","-1.695","319.5","295.6","347","39.29","39' 2""","7.14","17.86","1,998","116.65","1,998"
"8/26/2018","THE NORTHERN TRUST","T20",".514",".135","296.1","292.7","337","57.14","33' 5""","3.64","29.09","73","118.88","13"
"8/12/2018","PGA Championship","T19","1.452",".274","322.3","289.9","349","64.29","21' 1""","10.71","12.50","54","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T10","1.310","-.100","323.0","310.9","393","44.64","40' 11""","14.55","29.09","74","117.27","25"
"7/22/2018","The Open Championship","T17","-","-","306.4","-","363","46.67","-","-","-","106","-","-"
"6/24/2018","Travelers Championship","T12",".977","-.395","312.0","285.6","355","66.07","28' 9""","16.07","7.14","44","116.46","29"
"6/17/2018","U.S. Open","CUT",".127",".512","317.3","290.3","336","64.29","-","10.71","21.43","1,998","-","-"
"6/3/2018","the Memorial Tournament","T44",".128",".754","301.8","292.3","365","55.36","32' 11""","10.71","25.00","79","115.65","8"
"5/13/2018","THE PLAYERS Championship","T5","1.697",".761","308.3","291.6","335","58.93","27' 0""","7.14","17.86","58","117.99","26"
"5/6/2018","Wells Fargo Championship","1","1.857",".589","325.6","316.3","380","48.21","32' 1""","25.00","10.71","63","118.46","46"
"4/29/2018","Zurich Classic of New Orl","T34","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T20","-","-","292.1","-","325","64.29","-","-","-","53","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T22",".451",".346","305.0","283.3","347","67.86","18' 8""","16.07","3.57","42","116.14","49"
"2/11/2018","AT&T Pebble Beach","T2","-.936",".118","311.0","276.4","355","63.64","30' 7""","10.71","14.29","59","116.46","121"
"1/28/2018","Farmers Insurance Open","1",".843",".870","319.9","314.1","350","53.57","29' 6""","11.90","28.57","28","118.25","48"
"10/29/2017","WGC-HSBC Champions","T11","-","-","-","-","338","75.00","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","-","-","-","-","71.43","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T17","-.267","-.122","318.8","299.7","359","44.64","41' 6""","20.37","18.52","32","121.34","37"
"9/17/2017","BMW Championship","4","1.182",".174","316.4","296.3","367","58.93","30' 2""","5.45","21.82","44","122.38","17"
"9/4/2017","Dell Technologies Champ","T25",".799",".560","305.3","291.3","336","58.93","41' 5""","5.56","14.81","63","118.76","24"
"8/27/2017","THE NORTHERN TRUST","T6","1.467",".190","309.1","297.4","348","60.71","42' 11""","7.41","20.37","53","120.51","58"
"8/13/2017","PGA Championship","T9","1.830","1.085","325.0","311.3","343","41.07","34' 4""","30.36","14.29","77","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T24",".262",".629","336.9","319.2","384","41.07","37' 11""","22.22","25.93","61","122.44","84"
"7/23/2017","The Open Championship","T27","-","-","297.3","-","363","35.71","-","-","-","110","-","-"
"6/25/2017","Travelers Championship","CUT",".051","-.350","300.5","282.2","342","60.71","25' 4""","18.52","18.52","1,998","119.56","1,998"
"6/18/2017","U.S. Open","CUT","-4.304","-.588","304.5","296.6","345","60.71","-","7.14","25.00","1,998","-","-"
"6/4/2017","the Memorial Tournament","T15","1.369",".343","306.4","301.0","376","64.29","26' 4""","16.36","10.91","39","118.45","39"
"5/21/2017","AT&T Byron Nelson","2","1.658",".815","298.9","301.1","371","58.93","57' 9""","18.87","15.09","29","118.96","83"
"5/14/2017","THE PLAYERS Championship","T60","-.341","-.190","285.0","279.9","333","62.50","37' 5""","8.93","5.36","88","116.38","47"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/9/2017","Masters Tournament","T22","-","-","300.3","-","346","73.21","-","-","-","10","-","-"
"3/26/2017","WGC-Dell Tech Match Play","58","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T23",".560",".300","302.4","287.8","361","50.00","31' 7""","21.43","23.21","74","117.70","39"
"3/5/2017","WGC-Mexico Championship","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
