"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/6/2019","Sentry T of C","13",".518","32.1","1.722","1.611","37.50","4.17","29.00","27.00","28.00","32.00","29.00","95.35","72.73","100.00","75.00","50.00","75.00","40.00",".00","75.00","83.33","50.00","16.67","12.50","15.00","50' 11""","2' 0""","88' 4""","41.51"
"12/2/2018","(*) Hero World Challenge","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T11","-","-","1.659","1.514","43.06",".00","27.25","28.00","26.00","26.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.09"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T5","-","-","1.719","1.611","44.44","5.56","29.00","34.00","29.00","23.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.84"
"9/23/2018","TOUR Championship","18","1.372","27.0","1.660","1.542","43.06","2.78","27.75","28.00","29.00","28.00","26.00","100.00","100.00","100.00","100.00","50.00","66.67","42.86",".00","83.33","89.23","33.33","50.00","12.50","16.67","29' 1""","2' 4""","98' 2""","38.30"
"9/9/2018","BMW Championship","T24",".196","48.5","1.732","1.667","36.11","2.78","30.00","29.00","30.00","29.00","32.00","97.83","100.00","100.00","100.00",".00","50.00","100.00","50.00","72.73","92.75","35.71","28.57","12.50",".00","24' 3""","2' 0""","71' 2""","33.93"
"9/3/2018","Dell Technologies Champ","CUT","-1.043","-","1.833","1.639","30.56",".00","29.50","30.00","29.00","-","-","100.00","100.00","100.00","100.00",".00","100.00","25.00",".00","90.00","82.93","20.00",".00",".00",".00","10' 6""","2' 1""","54' 0""","16.67"
"8/26/2018","THE NORTHERN TRUST","T20",".879","38.4","1.673","1.528","44.44",".00","27.50","30.00","25.00","29.00","26.00","100.00","91.67","100.00","100.00","-","80.00","40.00","100.00","92.86","92.86","38.46","25.00",".00",".00","18' 10""","1' 9""","68' 8""","32.65"
"8/12/2018","PGA Championship","T19",".251","86.6","1.811","1.639","34.72","4.17","29.50","32.00","30.00","26.00","30.00","100.00","100.00","100.00","75.00","40.00",".00","100.00","100.00","61.54","92.65","33.33","10.00","21.43",".00","24' 10""","2' 1""","71' 4""","26.42"
"8/5/2018","WGC-Bridgestone Invit'l","T10",".345","67.9","1.673","1.556","40.28","1.39","28.00","30.00","28.00","27.00","27.00","100.00","75.00","100.00","62.50","66.67","40.00","50.00","50.00","61.11","86.30","40.00","16.67","40.00",".00","23' 5""","1' 8""","68' 6""","36.73"
