"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/20/2019","Desert Classic","6",".215","80.56","100.00","12.50","37.50","33' 11""","42' 5""","38' 2""","53' 0""","29' 2""","136' 6""","99' 4""","69' 9""","16' 9""","10' 6""","25' 8""","13' 0""","17' 7""","15' 2""","26' 4""","36' 11""","53' 3""","85' 0""","98' 7""","-","-","44' 5""","30' 7""","91' 10""","-","7' 5""","37' 6""","22' 10""","18' 11""","30' 7""","-","4","4"
"1/6/2019","Sentry T of C","T8","1.006","81.94","82.61","26.32","63.16","33' 5""","27' 10""","28' 9""","26' 7""","30' 10""","102' 7""","37' 2""","69' 0""","30' 7""","12' 3""","15' 11""","19' 1""","15' 11""","15' 7""","22' 3""","28' 1""","51' 0""","-","-","-","-","31' 8""","20' 3""","-","-","34' 1""","22' 0""","34' 1""","62' 10""","22' 7""","28' 3""","-","-"
"12/2/2018","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11","-.231","70.83","75.00",".00","66.67","30' 4""","46' 1""","41' 2""","52' 2""","24' 0""","-","32' 2""","45' 2""","28' 5""","-","7' 5""","16' 5""","11' 11""","18' 6""","24' 10""","24' 3""","34' 3""","-","-","56' 0""","-","48' 1""","11' 4""","56' 0""","36' 0""","59' 1""","48' 4""","37' 5""","42' 8""","11' 4""","-","-","-"
"9/9/2018","BMW Championship","T24",".226","70.83","55.56","20.00","80.00","33' 7""","49' 6""","48' 1""","51' 3""","26' 5""","-","29' 5""","59' 5""","32' 1""","10""","19' 0""","13' 10""","14' 10""","26' 2""","20' 3""","30' 2""","42' 2""","-","-","-","-","50' 4""","43' 8""","-","63' 2""","67' 8""","48' 9""","36' 2""","33' 2""","43' 8""","-","1","8"
"9/3/2018","Dell Technologies Champ","T43",".514","72.22","81.25","15.38","38.46","35' 1""","35' 5""","26' 7""","41' 9""","30' 7""","-","65' 3""","41' 5""","31' 4""","-","15' 11""","25' 0""","23' 6""","15' 0""","26' 0""","35' 5""","41' 6""","-","-","-","93' 2""","35' 5""","-","93' 2""","81' 9""","20' 4""","34' 0""","30' 1""","30' 1""","-","-","1","20"
"8/26/2018","THE NORTHERN TRUST","CUT","-1.649","61.11","50.00",".00","50.00","42' 2""","58' 8""","135' 8""","39' 5""","36' 2""","38' 9""","82' 5""","57' 6""","41' 5""","9' 1""","9' 4""","99' 4""","27' 4""","36' 3""","26' 11""","34' 11""","50' 6""","-","-","135' 8""","-","65' 1""","32' 10""","135' 8""","85' 5""","33' 6""","5' 9""","32' 10""","-","32' 10""","-","-","-"
"8/12/2018","PGA Championship","T4","1.048","75.00","50.00","60.00","80.00","30' 1""","47' 11""","32' 6""","60' 10""","26' 6""","35' 7""","58' 10""","26' 7""","26' 2""","7' 11""","15' 1""","14' 1""","14' 3""","19' 4""","27' 4""","37' 6""","33' 11""","-","-","-","123' 3""","55' 9""","12' 8""","123' 3""","50' 11""","50' 5""","34' 0""","24' 10""","40' 11""","-","8' 8""","-","-"
