"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/20/2019","Desert Classic","6",".078","33.33","23' 6""","71.43","100.00","75.00",".00","100.00",".00","100.00"
"1/6/2019","Sentry T of C","T8","-.082","100.00","4' 5""","61.54","100.00","57.14",".00","-","60.00","100.00"
"12/2/2018","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","58.33","-","60.00","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".171","57.14","8' 5""","47.62","50.00","63.64",".00",".00","66.67","100.00"
"9/9/2018","BMW Championship","T24","-.134","60.00","6' 6""","57.14","100.00","50.00",".00","50.00","66.67","75.00"
"9/3/2018","Dell Technologies Champ","T43","-.357","60.00","13' 6""","70.00","100.00","85.71","40.00","66.67","100.00","71.43"
"8/26/2018","THE NORTHERN TRUST","CUT","-.147","28.57","8' 5""","42.86","100.00","40.00","50.00",".00","55.56","-"
"8/12/2018","PGA Championship","T4",".148","60.00","12' 0""","77.78","100.00","75.00","60.00","100.00","77.78","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T17","1.056","33.33","9' 5""","66.67","100.00","80.00",".00","-","66.67","100.00"
"7/22/2018","The Open Championship","CUT","-",".00","-","27.27","-","-","-","-","-","-"
"6/17/2018","U.S. Open","CUT",".257","75.00","8' 10""","36.84","50.00","20.00","33.33","20.00","50.00","-"
"5/27/2018","Fort Worth Invitational","T5",".522","50.00","8' 2""","43.75","100.00","50.00",".00",".00","71.43","100.00"
"5/13/2018","THE PLAYERS Championship","T63",".350","37.50","13' 2""","50.00","66.67","40.00",".00","40.00","33.33","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","4","-","75.00","-","60.87","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T52","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T20",".113","42.86","13' 7""","50.00","50.00","70.00","20.00","66.67","62.50","50.00"
"2/11/2018","AT&T Pebble Beach","T26",".035","54.55","8' 8""","57.14",".00","100.00",".00",".00","77.78","50.00"
"2/4/2018","Waste Management Phoenix","T11","-.228","50.00","21' 8""","68.18","100.00","50.00","33.33","40.00","80.00","100.00"
"1/28/2018","Farmers Insurance Open","T29",".599","25.00","6' 7""","53.85",".00","60.00","50.00",".00","42.86","75.00"
"1/21/2018","CareerBuilder Challenge","1","-.561","50.00","-","75.00","100.00","81.82","-","75.00","50.00","100.00"
"1/7/2018","Sentry T of C","2",".360","25.00","11' 6""","72.22","-","90.91",".00","50.00","85.71","83.33"
"10/29/2017","WGC-HSBC Champions","T36","-","53.85","-","55.17","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T7",".511","66.67","5' 10""","64.29","100.00","50.00",".00","50.00","80.00","100.00"
"9/17/2017","BMW Championship","T5",".299","50.00","8' 2""","86.67","-","90.00","50.00","-","88.89","100.00"
"9/4/2017","Dell Technologies Champ","T4",".056","100.00","7' 4""","74.07","-","61.54","50.00","80.00","81.82","83.33"
"8/27/2017","THE NORTHERN TRUST","T3","-.121","87.50","7' 8""","61.11","100.00",".00","33.33","75.00","62.50","66.67"
"8/13/2017","PGA Championship","T58","-.075","40.00","8' 0""","56.67","-","53.85","33.33","71.43","50.00","80.00"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".433","71.43","7' 5""","64.52","100.00","50.00","25.00","50.00","76.92","87.50"
"7/23/2017","The Open Championship","T44","-","50.00","-","48.28","-","-","-","-","-","-"
"6/18/2017","U.S. Open","CUT","-.418",".00","-","50.00","100.00",".00","25.00","50.00","57.14","100.00"
"6/4/2017","the Memorial Tournament","CUT",".104","60.00","4' 5""","52.94","100.00","40.00",".00","33.33","63.64","100.00"
"5/28/2017","DEAN & DELUCA Invt'l","T2","-.106","83.33","5' 2""","68.18","100.00","70.00",".00","66.67","88.89","100.00"
"5/14/2017","THE PLAYERS Championship","T72","-.757","66.67","8' 0""","57.89","100.00",".00",".00","66.67","50.00","75.00"
"5/7/2017","Wells Fargo Championship","4",".253","42.86","15' 7""","61.54","-","55.56","50.00","33.33","64.29","100.00"
"4/9/2017","Masters Tournament","T27","-","57.14","-","62.50","-","-","-","-","-","-"
"4/2/2017","Shell Houston Open","T10","-.273","58.33","10' 8""","65.00","100.00","66.67","33.33","100.00","72.73","100.00"
"3/26/2017","WGC-Dell Tech Match Play","2","-","-","-","-","-","-","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T3","-.229","33.33","14' 2""","86.21","100.00","86.67","100.00","33.33","77.78","100.00"
"2/12/2017","AT&T Pebble Beach","T5",".970","80.00","-","73.68","100.00","71.43","-","-","75.00","100.00"
"2/5/2017","Waste Management Phoenix","T16",".283","40.00","4' 4""","70.00","100.00","75.00","-","66.67","50.00","88.89"
"1/29/2017","Farmers Insurance Open","1",".101","60.00","7' 5""","68.42","100.00","44.44",".00","50.00","100.00","66.67"
"1/22/2017","CareerBuilder Challenge","T34","-1.335","55.56","14' 0""","60.00","-","44.44",".00",".00","50.00","50.00"
"11/27/2016","(*) ISPS HANDA World Cup","T8","-","-","-","-","-","-","-","-","-","-"
"11/13/2016","OHL Classic at Mayakoba","T50","-","33.33","-","58.33","-","50.00","-","-","-","-"
"11/6/2016","Shriners Hospitals","T15","-.160","25.00","14' 2""","43.75","50.00","50.00","25.00","100.00","40.00","-"
"10/16/2016","Safeway Open","T15",".902","50.00","4' 4""","50.00","100.00","33.33",".00","33.33","71.43","50.00"
"8/21/2016","Wyndham Championship","CUT","-.618","100.00","2' 1""","37.50","100.00","25.00",".00","-","75.00","-"
"8/14/2016","John Deere Classic","T14",".720","100.00","4' 6""","76.19","100.00","66.67",".00","100.00","83.33","100.00"
"8/7/2016","Travelers Championship","T25",".156","66.67","8' 11""","55.00","75.00","20.00",".00","100.00","55.56","100.00"
"7/24/2016","RBC Canadian Open","T2",".440","42.86","9' 6""","66.67","100.00","73.33","33.33","50.00","76.47","75.00"
"7/17/2016","The Open Championship","T59","-","71.43","-","52.00","-","-","-","-","-","-"
"7/3/2016","Barracuda Championship","T72","-","-","-","-","-","-","-","-","-","-"
"6/26/2016","Quicken Loans National","T3",".554","71.43","11' 9""","72.73","66.67","80.00","40.00","100.00","72.73","100.00"
"6/19/2016","U.S. Open","T23","-","33.33","-","40.74","-","-","-","-","-","-"
"11/15/2015","OHL Classic at Mayakoba","T10","-","83.33","-","63.64","100.00","50.00","-","-","-","-"
"6/28/2015","Travelers Championship","T64",".714","44.44","7' 3""","64.00","100.00","71.43","33.33","75.00","61.54","80.00"
"2/1/2015","Waste Management Phoenix","T5",".607","100.00","6' 0""","71.43","100.00","66.67","50.00","50.00","100.00","100.00"
"11/16/2014","OHL Classic at Mayakoba","CUT","-","33.33","-","69.23","100.00","85.71","-","-","-","-"
