"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/20/2019","Desert Classic","6","1.822","1.528","304.4","286.5","325","67.86","28' 11""","17.86","7.14","21","120.11","11"
"1/6/2019","Sentry T of C","T8","1.763",".839","283.6","302.5","421","76.67","18' 4""","11.67","6.67","28","116.70","20"
"12/2/2018","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","-","-","-","332","57.14","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".781",".842","307.8","303.6","354","57.14","24' 10""","20.00","14.55","16","118.41","33"
"9/9/2018","BMW Championship","T24",".296",".204","297.0","299.6","339","62.50","31' 3""","18.18","12.73","86","119.36","104"
"9/3/2018","Dell Technologies Champ","T43",".651",".494","323.8","296.1","343","66.07","22' 5""","5.36","17.86","26","117.55","42"
"8/26/2018","THE NORTHERN TRUST","CUT","-.629","1.168","279.0","296.7","316","60.71","26' 7""","7.14","21.43","1,998","117.86","1,998"
"8/12/2018","PGA Championship","T4","1.928",".730","315.0","300.7","333","67.86","23' 8""","10.71","12.50","53","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T17","2.587",".491","334.5","323.3","383","44.64","38' 1""","23.08","19.23","56","118.02","60"
"7/22/2018","The Open Championship","CUT","-","-","319.3","-","337","46.67","-","-","-","1,998","-","-"
"6/17/2018","U.S. Open","CUT","-.750",".860","291.0","297.7","349","60.71","-","17.86","14.29","1,998","-","-"
"5/27/2018","Fort Worth Invitational","T5","1.545","1.086","325.1","301.5","352","58.93","35' 11""","14.81","12.96","36","120.87","20"
"5/13/2018","THE PLAYERS Championship","T63","1.563",".631","304.1","292.6","346","62.50","19' 11""","3.57","12.50","49","117.34","58"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","4","-","-","295.4","-","323","73.21","-","-","-","21","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T52","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T20",".259",".321","302.1","316.6","418","57.14","48' 7""","11.54","21.15","68","116.73","50"
"2/11/2018","AT&T Pebble Beach","T26",".171",".323","301.6","282.7","344","56.36","30' 1""","10.71","10.71","91","116.12","15"
"2/4/2018","Waste Management Phoenix","T11",".400","1.618","328.9","324.0","354","62.50","23' 3""","10.71","12.50","16","120.30","27"
"1/28/2018","Farmers Insurance Open","T29",".789","1.457","313.5","312.8","356","57.14","29' 9""","9.52","19.05","26","118.82","15"
"1/21/2018","CareerBuilder Challenge","1","2.431","1.203","309.8","292.7","346","64.29","19' 7""","3.57","35.71","33","120.14","101"
"1/7/2018","Sentry T of C","2","2.039","1.128","284.1","318.5","410","60.00","14' 7""","13.33","23.33","33","117.35","31"
"10/29/2017","WGC-HSBC Champions","T36","-","-","-","-","330","42.86","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T7","2.281",".804","310.6","310.0","363","50.00","23' 9""","14.29","23.21","29","119.35","21"
"9/17/2017","BMW Championship","T5","2.288","1.146","322.9","307.0","356","58.93","20' 10""","7.14","19.64","33","116.57","16"
"9/4/2017","Dell Technologies Champ","T4",".373","1.038","299.8","294.4","340","69.64","27' 9""","9.09","5.45","35","117.47","2"
