"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/20/2019","Desert Classic","6",".647","48.3","1.672","1.514","36.11","1.39","27.25","29.00","27.00","26.00","27.00","100.00","100.00","100.00","66.67","-",".00",".00","100.00","66.67","85.29","33.33","25.00","25.00","20.00","32' 5""","2' 2""","92' 5""","39.66"
"1/6/2019","Sentry T of C","T8","-.589","27.8","1.780","1.708","30.56","1.39","30.75","31.00","33.00","30.00","29.00","100.00","100.00","100.00","50.00","40.00","50.00","75.00","50.00","50.00","89.74",".00",".00",".00","11.11","62' 10""","2' 4""","68' 7""","32.20"
"12/2/2018","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","-","1.738","1.542","41.67","1.39","27.75","26.00","28.00","30.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.95"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11","-.165","40.1","1.667","1.625","37.50","2.78","29.25","27.00","26.00","32.00","32.00","100.00","75.00","88.89","100.00","50.00","66.67",".00","-","78.95","90.00","25.00","50.00","18.18",".00","21' 11""","1' 10""","71' 1""","35.29"
"9/9/2018","BMW Championship","T24",".338","63.0","1.627","1.556","44.44","2.78","28.00","27.00","29.00","31.00","25.00","100.00","100.00","100.00","50.00","40.00","100.00",".00","50.00","63.16","87.50","36.36","25.00","40.00","5.00","65' 4""","2' 2""","86' 1""","43.14"
"9/3/2018","Dell Technologies Champ","T43","-.554","101.0","1.827","1.681","34.72","5.56","30.25","29.00","28.00","32.00","32.00","100.00","100.00","80.00","57.14","33.33","66.67","50.00","-","65.22","86.49","38.46","10.00",".00","5.00","35' 0""","2' 11""","78' 3""","25.49"
"8/26/2018","THE NORTHERN TRUST","CUT","-2.810","-","1.864","1.750","30.56","5.56","31.50","34.00","29.00","-","-","100.00","66.67",".00","50.00","100.00","50.00","33.33","25.00","44.44","76.09","25.00",".00",".00",".00","10' 3""","1' 11""","48' 3""","22.73"
"8/12/2018","PGA Championship","T4",".775","77.8","1.759","1.639","40.28","4.17","29.50","31.00","28.00","32.00","27.00","100.00","100.00","71.43","80.00","100.00","50.00","100.00",".00","75.00","91.43","25.00","37.50",".00","9.09","33' 8""","2' 1""","81' 5""","31.48"
