"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","CUT","-.557","61.11","80.00",".00","75.00","38' 2""","41' 4""","46' 9""","35' 0""","33' 9""","-","-","-","21' 3""","-","-","20' 10""","20' 10""","19' 9""","13' 9""","56' 4""","21' 3""","-","-","-","58' 1""","42' 5""","28' 8""","58' 1""","50' 11""","25' 4""","67' 8""","17' 3""","5' 10""","28' 8""","-","-","-"
"11/11/2018","Mayakoba Golf Classic","CUT","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T55",".488","73.61","62.50","10.00","50.00","36' 2""","45' 3""","29' 9""","56' 1""","28' 11""","137' 11""","63' 11""","13' 10""","43' 8""","12' 5""","23' 8""","10' 8""","17' 11""","20' 7""","20' 7""","47' 10""","58' 8""","-","51' 6""","64' 4""","31' 3""","45' 3""","-","44' 7""","73' 6""","48' 11""","26' 7""","16' 10""","16' 10""","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T55",".518","79.17","77.78",".00","42.86","37' 0""","46' 3""","49' 1""","35' 1""","32' 5""","-","79' 9""","46' 4""","39' 9""","10' 1""","18' 7""","14' 4""","15' 5""","21' 10""","24' 9""","36' 8""","51' 8""","-","-","-","51' 9""","46' 3""","-","51' 9""","87' 10""","29' 9""","36' 7""","42' 7""","42' 7""","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T12",".106","65.28","81.25","15.38","69.23","38' 3""","52' 7""","64' 10""","37' 3""","31' 11""","-","60' 3""","47' 6""","41' 9""","-","24' 3""","24' 0""","24' 1""","13' 7""","30' 1""","32' 9""","45' 11""","-","-","82' 3""","36' 6""","52' 7""","-","67' 0""","55' 2""","38' 7""","59' 4""","25' 2""","25' 2""","-","-","1","7"
"8/26/2018","THE NORTHERN TRUST","T25","1.133","76.39","31.25",".00","60.00","30' 2""","35' 3""","38' 8""","29' 5""","27' 4""","111' 1""","-","48' 9""","34' 4""","15' 1""","14' 10""","18' 2""","16' 0""","14' 5""","20' 8""","28' 9""","49' 6""","-","-","-","-","36' 7""","25' 4""","-","-","36' 7""","-","31' 3""","37' 1""","25' 4""","-","-","-"
"8/12/2018","PGA Championship","T12",".366","72.22","40.00",".00","75.00","31' 11""","27' 5""","16' 10""","30' 4""","31' 2""","81' 10""","-","62' 7""","43' 8""","-","9' 9""","18' 3""","14' 0""","20' 10""","27' 0""","30' 6""","57' 3""","-","-","36' 4""","14' 3""","29' 0""","18' 2""","29' 0""","35' 10""","13' 10""","49' 1""","-","-","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T60","-.972","55.56","50.00","25.00","75.00","31' 1""","40' 9""","40' 11""","40' 8""","23' 11""","-","-","44' 10""","31' 5""","12' 0""","11' 8""","16' 6""","15' 0""","17' 1""","19' 9""","27' 9""","35' 11""","-","-","-","26' 1""","43' 8""","30' 8""","26' 1""","70' 7""","40' 3""","30' 11""","30' 6""","23' 4""","71' 11""","10' 0""","-","-"
"7/22/2018","The Open Championship","T9","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
