"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","CUT",".041","25.00","14' 5""","57.14","100.00","50.00","33.33","50.00","40.00","100.00"
"11/11/2018","Mayakoba Golf Classic","CUT","-","25.00","-","75.00","-","70.00","-","-","-","-"
"11/4/2018","Shriners Hospitals","T55","-.228","20.00","10' 1""","47.37","-","75.00","40.00","33.33","55.56","50.00"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T55","-.449",".00","17' 4""","53.33","-","57.14","33.33","100.00","33.33","66.67"
"9/3/2018","Dell Technologies Champ","T12",".720","77.78","6' 5""","60.00","-","87.50","66.67","40.00","58.33","80.00"
"8/26/2018","THE NORTHERN TRUST","T25",".033","25.00","10' 4""","47.06","100.00","50.00",".00","75.00","37.50","66.67"
"8/12/2018","PGA Championship","T12","-.201","87.50","8' 6""","75.00","100.00","33.33","66.67","66.67","85.71","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T60","-.272","40.00","14' 0""","59.38","-","50.00","30.00","33.33","100.00","88.89"
"7/22/2018","The Open Championship","T9","-","60.00","-","69.23","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T42",".099","50.00","22' 6""","52.17","100.00","66.67",".00","85.71","50.00","80.00"
"6/17/2018","U.S. Open","CUT","-1.060","33.33","22' 4""","28.57",".00","-","20.00","20.00","50.00","-"
"6/3/2018","the Memorial Tournament","CUT","-.717",".00","22' 9""","25.00","100.00","28.57",".00",".00",".00","75.00"
"5/27/2018","Fort Worth Invitational","T32",".795","80.00","4' 11""","62.50","100.00","61.54","16.67","60.00","85.71","83.33"
"5/20/2018","AT&T Byron Nelson","T21",".098","-","-","50.00","100.00","-","50.00","50.00","50.00","50.00"
"5/13/2018","THE PLAYERS Championship","T41",".456","60.00","8' 9""","55.00","100.00","80.00",".00","100.00","77.78","60.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","3","-","66.67","-","70.00","-","-","-","-","-","-"
"4/1/2018","Houston Open","T3",".537","100.00","3' 9""","78.57","100.00",".00","100.00","100.00","57.14","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT","-1.471","33.33","12' 2""","62.50","50.00","62.50","-","50.00","60.00","75.00"
"3/4/2018","WGC-Mexico Championship","T14",".535","50.00","13' 9""","73.08","80.00","76.92",".00","66.67","83.33","83.33"
"2/18/2018","Genesis Open","T9",".661","33.33","13' 5""","80.65","85.71","90.91","75.00","87.50","78.57","80.00"
"2/11/2018","AT&T Pebble Beach","T20",".545","33.33","8' 6""","70.83","100.00","77.78",".00",".00","66.67","100.00"
"2/4/2018","Waste Management Phoenix","CUT",".565","100.00","4' 5""","66.67","-","-",".00","50.00","100.00","-"
"1/14/2018","Sony Open in Hawaii","T18","-.059","40.00","13' 6""","54.55","-","50.00",".00",".00","80.00","50.00"
