"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","CUT","-.040",".476","290.8","293.3","337","50.00","19' 7""","25.00","21.43","1,998","110.86","1,998"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","278.8","-","297","42.86","-","-","-","1,998","-","-"
"11/4/2018","Shriners Hospitals","T55","-.712","-.971","302.9","296.1","335","48.21","25' 8""","16.36","18.18","126","112.32","119"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T55","-.422","-.491","296.5","285.2","327","66.07","20' 8""","21.43","5.36","83","111.80","17"
"9/3/2018","Dell Technologies Champ","T12","1.413",".588","306.0","292.2","337","64.29","28' 8""","14.55","7.27","54","112.84","24"
"8/26/2018","THE NORTHERN TRUST","T25",".554","-.612","288.0","284.9","322","64.29","44' 9""","16.67","7.41","69","112.72","53"
"8/12/2018","PGA Championship","T12",".223",".057","302.0","288.8","324","69.64","30' 7""","1.82","20.00","70","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T60","-2.005","-.762","316.0","302.6","365","37.50","27' 7""","26.42","30.19","105","113.10","37"
"7/22/2018","The Open Championship","T9","-","-","312.1","-","386","50.00","-","-","-","79","-","-"
"6/24/2018","Travelers Championship","T42","-.376","-.228","299.4","286.8","338","73.21","14' 4""","5.45","5.45","43","112.18","70"
"6/17/2018","U.S. Open","CUT","-1.163",".800","302.8","292.0","333","71.43","-","7.14","21.43","1,998","-","-"
"6/3/2018","the Memorial Tournament","CUT","-2.913","-.118","288.5","289.8","324","67.86","22' 9""","17.86","7.14","1,998","114.04","1,998"
"5/27/2018","Fort Worth Invitational","T32","1.770",".365","306.3","287.5","338","50.00","24' 8""","23.64","16.36","83","112.72","60"
"5/20/2018","AT&T Byron Nelson","T21","2.100",".880","305.1","300.4","352","78.57","16' 11""","3.57","3.57","61","113.49","28"
"5/13/2018","THE PLAYERS Championship","T41","1.135",".571","296.5","291.5","334","64.29","28' 5""","7.14","17.86","62","113.90","45"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","3","-","-","287.1","-","320","67.86","-","-","-","61","-","-"
"4/1/2018","Houston Open","T3","3.455",".755","294.8","287.4","353","64.29","43' 6""","9.09","16.36","61","114.48","9"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT","-.289",".999","284.3","283.0","325","46.15","30' 6""","23.08","23.08","1,998","113.84","-"
"3/4/2018","WGC-Mexico Championship","T14","1.690",".993","303.8","307.7","399","53.57","24' 5""","19.64","21.43","74","115.13","29"
"2/18/2018","Genesis Open","T9","1.430",".009","293.1","289.1","337","48.21","23' 2""","21.43","17.86","98","113.91","39"
