"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","CUT","-.189","-","1.682","1.583","44.44","2.78","28.50","30.00","27.00","-","-","100.00","100.00",".00","100.00","50.00",".00","100.00","100.00","42.86","88.89","37.50","33.33",".00",".00","16' 10""","2' 2""","68' 1""","36.36"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","1.700","1.500","55.56","5.56","27.00","28.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","40.00"
"11/4/2018","Shriners Hospitals","T55",".686","55.7","1.679","1.611","40.28","1.39","29.00","28.00","28.00","30.00","30.00","100.00","80.00","100.00","85.71","66.67","80.00","-",".00","80.95","89.86","36.84","11.11",".00","12.50","36' 1""","1' 9""","84' 7""","35.85"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T55","-.945","91.9","1.807","1.736","30.56","4.17","31.25","31.00","30.00","30.00","34.00","100.00","100.00",".00","50.00","50.00","50.00","20.00","50.00","46.15","84.62","50.00","12.50","33.33",".00","21' 1""","2' 1""","61' 8""","24.56"
"9/3/2018","Dell Technologies Champ","T12",".184","81.1","1.638","1.500","48.61","1.39","27.00","26.00","28.00","27.00","27.00","100.00","100.00","66.67","50.00","50.00","75.00","66.67","66.67","61.11","87.84","22.22","33.33",".00","11.11","40' 2""","2' 7""","82' 10""","42.55"
"8/26/2018","THE NORTHERN TRUST","T25",".589","117.1","1.655","1.625","41.67","4.17","29.25","32.00","30.00","25.00","30.00","97.87","100.00","66.67","100.00","60.00","66.67","50.00","25.00","68.75","85.92","27.27","25.00","10.00","30.77","41' 9""","1' 11""","101' 1""","38.18"
"8/12/2018","PGA Championship","T12","1.730","47.0","1.673","1.556","45.83","1.39","28.00","29.00","29.00","26.00","28.00","100.00","100.00","80.00","100.00","100.00","75.00","100.00","-","88.24","96.92","54.55","18.18","16.67",".00","20' 4""","2' 3""","77' 4""","32.69"
"8/5/2018","WGC-Bridgestone Invit'l","T60",".660","61.3","1.775","1.569","45.83","2.78","28.25","28.00","29.00","27.00","29.00","100.00","100.00","100.00","80.00","50.00","50.00","50.00","50.00","80.00","87.84","38.46",".00","14.29","7.69","28' 6""","1' 11""","74' 6""","30.00"
"7/22/2018","The Open Championship","T9","-","-","1.804","1.597","37.50","2.78","28.75","28.00","25.00","29.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.09"
"6/24/2018","Travelers Championship","T42",".812","43.2","1.694","1.597","37.50",".00","28.75","27.00","32.00","28.00","28.00","100.00","100.00","100.00","71.43","100.00","66.67",".00",".00","81.25","91.30","38.46","14.29","12.50","5.56","32' 10""","1' 10""","73' 5""","29.17"
"6/17/2018","U.S. Open","CUT","1.698","-","1.773","1.667","41.67","8.33","30.00","33.00","27.00","-","-","100.00","100.00","100.00","33.33","100.00",".00","100.00",".00","66.67","86.11","66.67","100.00",".00","7.14","45' 5""","3' 7""","101' 11""","31.82"
"6/3/2018","the Memorial Tournament","CUT",".921","-","1.667","1.639","36.11",".00","29.50","30.00","29.00","-","-","100.00","100.00","100.00","66.67","100.00",".00","-","66.67","71.43","91.67","50.00",".00",".00","7.14","57' 1""","2' 8""","90' 3""","33.33"
"5/27/2018","Fort Worth Invitational","T32","-.891","65.6","1.729","1.583","40.28","1.39","28.50","28.00","29.00","28.00","29.00","97.92","90.00","100.00","66.67","66.67","50.00",".00","-","71.43","90.41","40.00","5.00",".00",".00","18' 7""","1' 9""","56' 5""","29.17"
"5/20/2018","AT&T Byron Nelson","T21","-.915","90.5","1.850","1.792","27.78","5.56","32.25","33.00","32.00","33.00","31.00","95.92","90.91","85.71","50.00","100.00","66.67","20.00","-","76.92","87.18","28.57",".00",".00",".00","12' 11""","2' 9""","54' 7""","33.33"
"5/13/2018","THE PLAYERS Championship","T41","-.360","81.4","1.654","1.583","47.22","5.56","28.50","31.00","28.00","24.00","31.00","100.00","88.89","83.33","40.00","75.00","66.67","66.67","75.00","70.37","86.42","16.67","12.50",".00",".00","17' 1""","2' 10""","67' 9""","40.38"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","3","-","-","1.808","1.625","40.28","5.56","29.25","24.00","33.00","33.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40.38"
"4/1/2018","Houston Open","T3","-.809","110.8","1.776","1.639","37.50","6.94","29.50","30.00","28.00","34.00","26.00","95.65","88.89","100.00","100.00",".00","75.00",".00","33.33","85.71","87.84","22.22","11.11",".00","11.76","31' 11""","2' 4""","66' 11""","34.48"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT","-.638","-","1.950","1.639","41.67","5.56","29.50","30.00","29.00","-","-","95.45","100.00","100.00","50.00","100.00","33.33",".00",".00","72.73","82.50","20.00",".00","50.00",".00","24' 2""","2' 4""","69' 10""","15.00"
