"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","T16","1.426","76.39","77.78","25.00","87.50","29' 11""","37' 7""","42' 0""","32' 3""","25' 10""","-","-","-","47' 8""","-","15' 7""","12' 9""","13' 2""","15' 6""","25' 3""","35' 2""","47' 8""","-","85' 9""","115' 9""","39' 4""","41' 9""","23' 4""","63' 11""","57' 4""","18' 11""","36' 2""","22' 2""","19' 1""","44' 11""","9' 0""","1","27"
"1/6/2019","Sentry T of C","3","2.715","84.72","69.57","43.75","87.50","29' 6""","18' 4""","18' 5""","18' 3""","29' 6""","91' 6""","31' 6""","51' 4""","40' 4""","9' 5""","12' 9""","18' 8""","14' 0""","11' 4""","21' 5""","26' 5""","48' 8""","-","-","-","-","19' 11""","15' 3""","-","-","7' 4""","31' 1""","17' 11""","20' 8""","16' 5""","14' 1""","-","-"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".321","70.83","75.00",".00","83.33","37' 3""","52' 1""","40' 6""","65' 1""","27' 10""","-","-","49' 5""","29' 4""","-","18' 8""","30' 5""","25' 9""","17' 5""","27' 8""","34' 10""","38' 9""","-","-","-","75' 0""","52' 1""","-","75' 0""","59' 8""","53' 10""","56' 0""","23' 0""","23' 0""","-","-","1","27"
"9/9/2018","BMW Championship","T12",".215","73.61","55.56","20.00","80.00","35' 3""","43' 11""","60' 0""","38' 1""","32' 6""","-","89' 5""","71' 6""","47' 7""","10' 8""","9' 11""","13' 9""","11' 11""","25' 9""","26' 3""","37' 2""","60' 0""","133' 6""","-","-","29' 7""","40' 6""","57' 9""","81' 7""","51' 9""","72' 1""","30' 11""","32' 7""","13' 8""","57' 9""","-","1","52"
"9/3/2018","Dell Technologies Champ","T24",".607","59.72","75.00","41.67","75.00","33' 3""","42' 7""","27' 9""","57' 5""","30' 3""","-","62' 5""","27' 4""","39' 7""","1' 10""","41' 5""","19' 2""","19' 10""","18' 9""","23' 0""","36' 4""","42' 6""","-","-","-","7' 5""","42' 7""","-","7' 5""","82' 10""","32' 2""","26' 4""","47' 6""","47' 6""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T8",".893","70.83","81.25","15.38","84.62","36' 11""","42' 0""","50' 4""","39' 8""","34' 3""","87' 11""","80' 2""","6' 4""","27' 4""","-","12' 4""","25' 9""","20' 0""","26' 2""","16' 4""","30' 10""","56' 8""","-","49' 5""","-","21' 1""","46' 8""","18' 11""","35' 3""","56' 0""","40' 1""","55' 0""","20' 7""","-","24' 8""","16' 6""","-","-"
