"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","T16",".215","55.56","8' 3""","47.06","66.67","20.00","33.33","40.00","50.00","66.67"
"1/6/2019","Sentry T of C","3",".013","-","-","63.64","100.00","66.67",".00","-","66.67","100.00"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","55.56","-","50.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","57.14","-","77.78","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".576","54.55","5' 3""","57.14","-","50.00","60.00","57.14","50.00","75.00"
"9/9/2018","BMW Championship","T12","1.329","75.00","6' 5""","68.42","100.00","42.86","66.67","50.00","66.67","100.00"
"9/3/2018","Dell Technologies Champ","T24","-.180","40.00","6' 9""","68.97","100.00","75.00","25.00","75.00","70.00","81.82"
"8/26/2018","THE NORTHERN TRUST","T8",".796","57.14","8' 6""","61.90","-","80.00",".00","33.33","80.00","100.00"
"8/12/2018","PGA Championship","T6","-.172","66.67","10' 6""","70.59","100.00","60.00","33.33","50.00","66.67","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","1",".442","25.00","11' 9""","66.67","100.00","83.33",".00","50.00","70.00","100.00"
"7/22/2018","The Open Championship","CUT","-","33.33","-","38.46","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T56",".037","40.00","9' 8""","46.15","100.00","40.00",".00","80.00","50.00","50.00"
"6/17/2018","U.S. Open","T25",".366","55.56","11' 9""","54.55","100.00","33.33","20.00","64.29","75.00","100.00"
"6/3/2018","the Memorial Tournament","T8","-.180","50.00","10' 5""","50.00","100.00","50.00",".00","50.00","50.00","100.00"
"5/13/2018","THE PLAYERS Championship","T11","1.086","50.00","8' 3""","69.23","100.00","57.14","33.33","100.00","58.33","85.71"
"5/6/2018","Wells Fargo Championship","T21",".106","66.67","8' 8""","72.00","-","72.73","40.00","33.33","83.33","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T17","-","60.00","-","57.89","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","4","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","2",".986","42.86","8' 4""","80.00","50.00","92.31",".00","100.00","75.00","100.00"
"2/25/2018","The Honda Classic","1",".535","100.00","4' 10""","84.00","100.00","81.25","50.00",".00","85.71","100.00"
"2/18/2018","Genesis Open","T9","-.215","25.00","9' 6""","58.33","100.00","66.67","14.29","25.00","100.00","87.50"
"2/4/2018","Waste Management Phoenix","T17","-.105","66.67","5' 6""","72.73","100.00","66.67","40.00","75.00","80.00","100.00"
"1/14/2018","Sony Open in Hawaii","T14","-.075","66.67","6' 2""","77.27","100.00","50.00","33.33","33.33","90.91","100.00"
"1/7/2018","Sentry T of C","T22","-.048","66.67","6' 3""","41.18","-","33.33","14.29","50.00","50.00","75.00"
"12/3/2017","(*) Hero World Challenge","11","-","-","-","-","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","1","-","46.67","-","52.17","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T17","-","66.67","-","52.63","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","2","-.094","42.86","10' 7""","61.90","100.00","62.50","60.00","50.00","70.00","50.00"
"9/17/2017","BMW Championship","T47","-.333","25.00","17' 0""","52.00","100.00","57.14",".00",".00","75.00","80.00"
"9/4/2017","Dell Technologies Champ","1",".940","100.00","4' 2""","95.24","100.00","90.91","-","100.00","87.50","100.00"
"8/27/2017","THE NORTHERN TRUST","T6","1.695","57.14","8' 2""","72.41","50.00","80.00","57.14","33.33","92.31","80.00"
"8/13/2017","PGA Championship","1",".574","50.00","9' 5""","55.56","50.00","44.44","50.00","80.00","50.00","50.00"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".124","50.00","11' 4""","60.87","100.00","60.00","33.33","50.00","80.00","66.67"
"7/23/2017","The Open Championship","CUT","-","100.00","-","50.00","-","-","-","-","-","-"
"7/2/2017","Quicken Loans National","CUT",".370",".00","22' 4""","50.00","100.00","100.00","20.00",".00","75.00","100.00"
"6/25/2017","Travelers Championship","CUT","-1.356","66.67","9' 10""","58.82","100.00","40.00","66.67","50.00","62.50","66.67"
"6/18/2017","U.S. Open","T9",".613","20.00","13' 6""","57.69","100.00","25.00","50.00","50.00","50.00","75.00"
"6/4/2017","the Memorial Tournament","T4","-.176","44.44","10' 1""","75.00","100.00","88.89","75.00","75.00","69.23","100.00"
"5/14/2017","THE PLAYERS Championship","T75",".371","28.57","7' 9""","25.00","-","20.00",".00","40.00","14.29","100.00"
"4/30/2017","Zurich Classic of New Orl","T5","-","-","-","-","-","-","-","-","-","-"
"4/9/2017","Masters Tournament","T22","-","33.33","-","52.38","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-"
"3/12/2017","Valspar Championship","CUT",".190","25.00","10' 5""","50.00","100.00","55.56",".00",".00","66.67","66.67"
"3/5/2017","WGC-Mexico Championship","T5",".087","20.00","8' 4""","46.15","50.00","61.54","66.67",".00","50.00","100.00"
"2/26/2017","The Honda Classic","CUT",".414","55.56","10' 8""","64.29","100.00","50.00",".00","66.67","100.00","33.33"
"2/19/2017","Genesis Open","T39",".744","100.00","2' 9""","70.83","66.67","78.57","40.00","75.00","77.78","83.33"
"2/5/2017","Waste Management Phoenix","CUT","-.126",".00","19' 8""","50.00","-","50.00",".00","66.67","75.00",".00"
"1/15/2017","Sony Open in Hawaii","1",".305","62.50","9' 9""","75.00","75.00","100.00","50.00","100.00","57.14","100.00"
"1/8/2017","SBS Tournament of Champ","1",".253","100.00","8' 3""","66.67","100.00","25.00","66.67","33.33","100.00","100.00"
