"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","T16","1.698",".057","311.8","298.2","354","48.21","27' 8""","21.43","19.64","75","116.31","103"
"1/6/2019","Sentry T of C","3","2.615","-.114","282.4","296.7","400","86.67","26' 0""","3.39","3.39","13","119.16","49"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","-","-","-","-","69.64","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","-","-","-","-","67.86","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7","1.238",".341","304.0","300.5","339","55.36","35' 2""","16.67","16.67","27","117.98","36"
"9/9/2018","BMW Championship","T12","1.061","-.483","304.3","297.2","340","57.14","29' 11""","9.09","23.64","80","115.25","11"
"9/3/2018","Dell Technologies Champ","T24",".710",".284","318.5","297.5","354","58.93","28' 6""","10.71","12.50","63","115.57","45"
"8/26/2018","THE NORTHERN TRUST","T8","1.903",".214","292.8","293.1","326","53.57","35' 7""","7.27","27.27","91","117.42","91"
"8/12/2018","PGA Championship","T6","2.402",".904","317.1","297.6","338","64.29","26' 0""","10.71","12.50","59","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","1","2.481",".127","329.3","306.2","394","58.93","31' 3""","14.81","14.81","23","117.93","84"
"7/22/2018","The Open Championship","CUT","-","-","323.0","-","356","60.00","-","-","-","1,998","-","-"
"6/24/2018","Travelers Championship","T56",".761","-.233","318.1","294.4","350","50.00","24' 3""","18.18","14.55","75","115.53","43"
"6/17/2018","U.S. Open","T25","1.128",".483","310.4","303.6","407","69.64","-","17.86","7.14","52","-","-"
"6/3/2018","the Memorial Tournament","T8","1.557",".475","300.0","293.5","343","64.29","27' 4""","10.71","17.86","70","118.49","35"
"5/13/2018","THE PLAYERS Championship","T11","1.782",".255","298.1","291.2","344","55.36","22' 5""","3.57","14.29","86","117.41","75"
"5/6/2018","Wells Fargo Championship","T21","1.540","1.429","338.0","320.9","363","46.43","23' 3""","17.86","17.86","60","117.27","3"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T17","-","-","302.3","-","341","60.71","-","-","-","47","-","-"
"3/25/2018","WGC-Dell Tech Match Play","4","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","2","2.149","1.454","301.9","315.1","381","66.07","13' 0""","16.07","17.86","52","115.21","20"
"2/25/2018","The Honda Classic","1","3.524",".615","320.9","290.1","363","55.36","34' 11""","16.36","14.55","61","118.64","86"
"2/18/2018","Genesis Open","T9","1.257","-.020","318.9","294.0","348","46.43","27' 7""","21.82","20.00","58","117.60","72"
"2/4/2018","Waste Management Phoenix","T17","1.243",".053","324.4","307.8","342","44.64","34' 8""","10.71","25.00","66","118.31","37"
"1/14/2018","Sony Open in Hawaii","T14","1.714",".652","310.8","302.3","369","57.14","28' 3""","18.18","12.73","63","116.96","73"
"1/7/2018","Sentry T of C","T22",".117",".382","298.1","311.2","411","60.00","19' 1""","15.52","18.97","27","117.58","26"
"12/3/2017","(*) Hero World Challenge","11","-","-","-","-","-","-","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","1","-","-","-","-","-","71.43","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T17","-","-","-","-","-","71.43","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","2","1.798",".623","311.1","306.4","358","62.50","32' 10""","10.71","14.29","12","119.61","18"
