"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","T16",".064","103.5","1.673","1.625","34.72","2.78","29.25","32.00","27.00","28.00","30.00","100.00","100.00","83.33","50.00","66.67","100.00","50.00",".00","75.00","86.76","43.75","16.67",".00","15.38","35' 0""","2' 4""","83' 2""","35.19"
"1/6/2019","Sentry T of C","3","-.190","29.3","1.754","1.667","33.33","2.78","30.00","30.00","33.00","31.00","26.00","100.00","100.00","87.50","100.00","50.00","33.33","50.00","66.67","68.75","90.41","27.78",".00",".00",".00","14' 3""","2' 7""","60' 10""","39.34"
"12/2/2018","(*) Hero World Challenge","T12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T36","-","-","1.786","1.708","34.72","4.17","30.75","34.00","33.00","29.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.14"
"10/14/2018","CIMB Classic","T5","-","-","1.667","1.514","50.00","4.17","27.25","29.00","27.00","27.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42.59"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7","-.371","27.4","1.706","1.556","43.06","1.39","28.00","30.00","27.00","25.00","30.00","97.67","100.00","100.00","100.00","57.14","100.00","40.00","-","83.33","90.67","18.18",".00",".00","5.88","35' 8""","2' 2""","63' 9""","31.37"
"9/9/2018","BMW Championship","T12",".573","68.2","1.623","1.528","43.06","1.39","27.50","30.00","30.00","26.00","24.00","100.00","100.00","100.00","-","71.43","100.00","25.00","71.43","84.62","90.28","11.11","12.50","33.33",".00","23' 11""","2' 3""","78' 7""","38.46"
"9/3/2018","Dell Technologies Champ","T24",".137","52.2","1.721","1.514","50.00","1.39","27.25","27.00","29.00","26.00","27.00","97.87","100.00","100.00","60.00","50.00","100.00",".00","50.00","64.29","89.19","28.57","28.57",".00","11.11","29' 8""","2' 0""","72' 11""","37.21"
"8/26/2018","THE NORTHERN TRUST","T8",".240","70.3","1.667","1.583","41.67",".00","28.50","29.00","29.00","28.00","28.00","100.00","100.00","75.00","75.00","100.00","66.67","25.00","60.00","75.00","89.19","9.09","25.00","22.22","8.33","33' 4""","1' 9""","77' 0""","37.25"
