"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"11/11/2018","Mayakoba Golf Classic","T41","-","72.22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T10","-","84.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T35",".820","70.83","62.50","30.00","60.00","32' 10""","38' 2""","40' 6""","33' 6""","30' 2""","-","-","39' 0""","44' 3""","21' 5""","11' 4""","24' 0""","22' 9""","16' 0""","21' 2""","36' 2""","42' 8""","-","-","-","-","38' 2""","-","-","-","44' 5""","31' 7""","52' 2""","52' 2""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","CUT","-1.586","61.11","50.00",".00","50.00","37' 3""","43' 0""","33' 9""","58' 5""","35' 2""","96' 6""","-","21' 0""","46' 3""","-","19' 3""","24' 2""","21' 9""","35' 11""","25' 9""","29' 10""","58' 9""","-","-","-","51' 5""","43' 4""","41' 0""","51' 5""","60' 5""","30' 7""","34' 11""","41' 0""","-","41' 0""","-","-","-"
"8/12/2018","PGA Championship","T65","-.504","63.89","30.00","25.00","50.00","33' 7""","32' 10""","34' 8""","30' 7""","30' 3""","100' 2""","34' 3""","55' 3""","45' 3""","-","20' 8""","21' 10""","21' 3""","33' 4""","20' 1""","17' 9""","49' 9""","-","-","-","-","33' 10""","24' 11""","-","29' 7""","30' 10""","39' 7""","24' 11""","-","24' 11""","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T39","1.531","73.61","62.50","40.00","80.00","27' 7""","37' 6""","39' 10""","32' 9""","22' 7""","-","-","44' 1""","28' 4""","27' 6""","15' 7""","14' 0""","15' 3""","16' 9""","22' 6""","30' 2""","31' 0""","-","-","45' 4""","-","39' 5""","16' 7""","45' 4""","39' 6""","40' 11""","46' 3""","18' 1""","19' 1""","18' 1""","15' 0""","-","-"
"7/22/2018","The Open Championship","T6","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T30",".378","80.56","87.50","28.57","57.14","30' 8""","39' 4""","41' 1""","34' 10""","29' 1""","74' 2""","51' 1""","66' 10""","27' 10""","18' 7""","31' 1""","14' 5""","17' 9""","20' 1""","26' 11""","35' 5""","52' 10""","-","-","-","37' 9""","40' 1""","36' 3""","37' 9""","42' 7""","16' 0""","46' 2""","38' 2""","42' 0""","24' 9""","47' 8""","-","-"
"6/17/2018","U.S. Open","65","-1.069","52.78","66.67",".00","33.33","44' 8""","54' 11""","48' 3""","66' 10""","43' 2""","92' 4""","66' 11""","62' 4""","33' 11""","23' 1""","33' 8""","27' 5""","29' 0""","20' 3""","38' 8""","51' 1""","69' 1""","-","-","-","62' 7""","58' 2""","35' 0""","62' 7""","-","70' 6""","46' 11""","42' 2""","56' 6""","22' 0""","48' 0""","-","-"
