"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"11/11/2018","Mayakoba Golf Classic","T41","-","-","-","60.00","-","50.00","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","11.11","-","37.50","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T10","-","100.00","-","81.82","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T35",".205",".00","-","71.43","100.00","70.00",".00","50.00","66.67","100.00"
"8/26/2018","THE NORTHERN TRUST","CUT","-1.155","33.33","15' 2""","50.00","100.00","60.00",".00","100.00","37.50","66.67"
"8/12/2018","PGA Championship","T65","-.475","44.44","8' 11""","50.00","100.00","50.00","20.00",".00","46.15","85.71"
"8/5/2018","WGC-Bridgestone Invit'l","T39","-.060","60.00","7' 8""","42.11","100.00","12.50","25.00",".00","60.00","33.33"
"7/22/2018","The Open Championship","T6","-","50.00","-","68.00","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T30","-.336",".00","15' 11""","50.00","100.00","50.00",".00","66.67","33.33","66.67"
"6/17/2018","U.S. Open","65","-.893","37.50","9' 6""","29.41","100.00","44.44","23.08","33.33","33.33","-"
"6/10/2018","FedEx St. Jude Classic","CUT","-1.041",".00","9' 6""","33.33","33.33","25.00",".00",".00","50.00","50.00"
"6/3/2018","the Memorial Tournament","CUT","-.581","57.14","9' 0""","60.00","100.00","66.67","50.00","50.00","50.00","83.33"
"5/13/2018","THE PLAYERS Championship","CUT",".619","50.00","19' 3""","45.45","100.00","100.00",".00","25.00","75.00","100.00"
"4/22/2018","Valero Texas Open","T30","-.773","53.85","8' 2""","55.17","100.00","50.00","25.00",".00","55.00","100.00"
"4/15/2018","RBC Heritage","CUT","-1.439","40.00","18' 6""","60.00","-","50.00","40.00",".00","83.33","100.00"
"4/8/2018","Masters Tournament","CUT","-",".00","-","43.75","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7",".752","33.33","13' 0""","64.00","100.00","33.33","75.00","75.00","60.00","80.00"
"3/4/2018","WGC-Mexico Championship","T30","-.917","57.14","11' 5""","54.17","100.00","58.82","25.00","50.00","42.86","72.73"
"2/18/2018","Genesis Open","T20",".761","40.00","13' 3""","70.97","100.00","85.71","25.00","100.00","66.67","87.50"
"2/11/2018","AT&T Pebble Beach","T8",".688","16.67","10' 6""","69.23","100.00","90.91","-","50.00","60.00","100.00"
"2/4/2018","Waste Management Phoenix","T31","-.434","66.67","7' 10""","70.00",".00","66.67","57.14","50.00","80.00","100.00"
"1/21/2018","CareerBuilder Challenge","T6",".358","100.00","9' 2""","85.71","100.00","75.00","-","100.00","100.00","100.00"
"1/7/2018","Sentry T of C","21","-.953",".00","7' 2""","70.00","-","66.67","100.00","33.33","66.67","100.00"
"12/10/2017","(*) QBE Shootout","T11","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","T14","-","-","-","-","-","-","-","-","-","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","-","33.33","-",".00","-","-","-","-"
"11/5/2017","Shriners Hospitals","T20",".733","66.67","9' 5""","50.00","60.00","75.00",".00","25.00","58.33","100.00"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T28","-1.111","22.22","17' 4""","51.61","100.00","42.86","37.50","60.00","42.86","100.00"
"9/17/2017","BMW Championship","T12","-.164","33.33","3' 8""","59.09","100.00","63.64","50.00","50.00","28.57","100.00"
"9/4/2017","Dell Technologies Champ","T35",".528","100.00","4' 1""","61.54","100.00","64.29","50.00","44.44","50.00","88.89"
"8/27/2017","THE NORTHERN TRUST","T6",".056","75.00","9' 10""","69.23","100.00","42.86",".00","66.67","80.00","100.00"
"8/13/2017","PGA Championship","T33",".323","75.00","4' 11""","55.17","66.67","50.00","50.00","57.14","57.14","60.00"
"8/6/2017","WGC-Bridgestone Invit'l","T13","1.230","75.00","7' 10""","66.67","100.00","46.67","14.29","66.67","81.82","100.00"
"7/30/2017","RBC Canadian Open","T8",".567","40.00","7' 11""","47.62","100.00","50.00",".00","33.33","50.00","100.00"
"7/23/2017","The Open Championship","CUT","-",".00","-","31.25","-","-","-","-","-","-"
"7/2/2017","Quicken Loans National","CUT","-.595","50.00","5' 8""","40.00","100.00","28.57",".00","100.00","60.00","66.67"
"6/18/2017","U.S. Open","T23",".365","100.00","8' 7""","63.64","75.00","50.00","57.14","75.00","50.00","100.00"
"6/11/2017","FedEx St. Jude Classic","T4","-.109","40.00","12' 9""","73.68","100.00","83.33","66.67","100.00","83.33","100.00"
"6/4/2017","the Memorial Tournament","T52",".085","27.27","7' 4""","46.88","100.00","56.25",".00",".00","50.00","64.29"
"5/14/2017","THE PLAYERS Championship","T35","-.095","33.33","12' 6""","60.00","100.00","75.00","33.33","75.00","55.56","100.00"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","1",".189","28.57","13' 5""","65.00","100.00","57.14","33.33",".00","70.00","100.00"
"4/9/2017","Masters Tournament","T7","-","20.00","-","42.86","-","-","-","-","-","-"
"4/2/2017","Shell Houston Open","T44",".071","44.44","10' 2""","65.00","100.00","33.33","20.00","-","66.67","100.00"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T49",".650","50.00","5' 2""","54.17","100.00","33.33","25.00","50.00","70.00","50.00"
"3/5/2017","WGC-Mexico Championship","T55","-.243","42.86","13' 11""","67.57","100.00","75.00","20.00","50.00","80.00","88.89"
"2/19/2017","Genesis Open","CUT",".174","50.00","9' 4""","63.64","100.00","60.00","20.00","66.67","71.43","100.00"
"2/12/2017","AT&T Pebble Beach","T48",".386","50.00","4' 9""","47.83","-","57.14","20.00","50.00","33.33","50.00"
"2/5/2017","Waste Management Phoenix","75","-.651","12.50","19' 9""","36.84","100.00","16.67",".00","50.00","37.50","100.00"
"1/29/2017","Farmers Insurance Open","CUT","-.078",".00","-","45.45","-","20.00","100.00",".00","66.67",".00"
"12/10/2016","(*) Franklin Templeton","T4","-","-","-","-","-","-","-","-","-","-"
"11/20/2016","The RSM Classic","CUT","1.000","66.67","-","50.00","-","33.33","-","-","100.00","-"
