"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"11/11/2018","Mayakoba Golf Classic","T41","-","-","287.4","-","313","53.57","-","-","-","108","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","-","-","-","-","66.07","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T10","-","-","-","-","-","57.14","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T35","1.727",".702","304.0","295.7","337","69.64","25' 7""","12.50","3.57","50","118.56","84"
"8/26/2018","THE NORTHERN TRUST","CUT","-2.324",".417","295.5","295.9","314","53.57","33' 2""","25.93","14.81","1,998","119.62","1,998"
"8/12/2018","PGA Championship","T65","-.636",".344","307.1","297.9","370","58.93","37' 9""","10.91","7.27","93","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T39","1.671",".199","328.3","316.7","406","44.64","24' 10""","34.55","12.73","65","118.84","4"
"7/22/2018","The Open Championship","T6","-","-","319.5","-","386","55.00","-","-","-","49","-","-"
"7/8/2018","The Greenbrier","T30","1.279","1.237","333.0","307.0","364","78.57","29' 1""","14.29","5.36","8","119.54","83"
"6/17/2018","U.S. Open","65","-1.654",".308","304.4","297.8","354","64.29","-","21.43","14.29","79","-","-"
"6/10/2018","FedEx St. Jude Classic","CUT","-1.495",".547","304.8","292.3","359","46.43","28' 5""","17.86","28.57","1,998","119.11","1,998"
"6/3/2018","the Memorial Tournament","CUT","-1.783",".076","283.3","289.5","326","60.71","25' 8""",".00","25.00","1,998","122.91","1,998"
"5/13/2018","THE PLAYERS Championship","CUT",".733",".177","292.5","286.7","328","71.43","33' 2""","10.71","10.71","1,998","116.99","1,998"
"4/22/2018","Valero Texas Open","T30",".636","-.084","311.6","297.9","356","55.36","32' 2""","16.67","7.41","52","118.78","63"
