"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"11/11/2018","Mayakoba Golf Classic","T41","-","-","1.731","1.625","38.89","1.39","29.25","28.00","31.00","29.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","32.69"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","-","1.804","1.750","30.56","5.56","31.50","36.00","31.00","30.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.14"
"10/14/2018","CIMB Classic","T10","-","-","1.770","1.681","34.72","2.78","30.25","29.00","30.00","34.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.43"
"9/3/2018","Dell Technologies Champ","T35","-1.380","121.0","1.843","1.681","41.67","9.72","30.25","28.00","31.00","34.00","28.00","100.00","100.00","75.00","42.86","-","33.33",".00",".00","55.56","80.77","25.00","44.44","14.29","10.53","38' 0""","3' 2""","84' 1""","33.33"
"8/26/2018","THE NORTHERN TRUST","CUT","-1.115","-","1.864","1.750","33.33","8.33","31.50","31.00","32.00","-","-","95.83","100.00","75.00","100.00","100.00","50.00",".00","50.00","75.00","87.18","33.33",".00",".00",".00","13' 3""","3' 9""","56' 7""","22.73"
"8/12/2018","PGA Championship","T65",".338","96.1","1.761","1.625","41.67","4.17","29.25","26.00","28.00","31.00","32.00","100.00","100.00","66.67","100.00","50.00","50.00","-","33.33","72.73","92.86","20.00","18.18","28.57","5.26","26' 5""","2' 5""","72' 8""","30.43"
"8/5/2018","WGC-Bridgestone Invit'l","T39","-2.016","107.5","1.849","1.764","26.39","2.78","31.75","32.00","33.00","29.00","33.00","100.00","100.00","87.50","25.00","33.33","100.00",".00","50.00","59.09","86.08","7.14","7.69","16.67","6.67","27' 6""","2' 6""","64' 2""","22.64"
"7/22/2018","The Open Championship","T6","-","-","1.745","1.597","43.06","2.78","28.75","32.00","26.00","28.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.91"
"7/8/2018","The Greenbrier","T30","-.308","105.3","1.793","1.722","31.94","4.17","31.00","28.00","32.00","31.00","33.00","100.00","100.00","85.71","100.00",".00","33.33","50.00","50.00","61.11","85.71","27.27","16.67",".00","8.33","32' 1""","2' 5""","75' 11""","29.31"
"6/17/2018","U.S. Open","65",".549","50.2","1.711","1.708","29.17",".00","30.75","28.00","30.00","33.00","32.00","100.00","100.00","100.00","50.00","33.33","100.00","50.00","25.00","66.67","84.00","23.53","50.00",".00",".00","18' 3""","2' 8""","80' 5""","28.95"
"6/10/2018","FedEx St. Jude Classic","CUT","-3.358","-","2.000","1.861","22.22","8.33","33.50","33.00","34.00","-","-","96.00","66.67","85.71","25.00","-","100.00",".00",".00","71.43","78.26",".00",".00",".00",".00","7' 9""","2' 7""","51' 4""","19.05"
"6/3/2018","the Memorial Tournament","CUT",".291","-","1.857","1.611","47.22","8.33","29.00","33.00","25.00","-","-","100.00","75.00","100.00","60.00","100.00",".00","100.00",".00","60.00","83.78","25.00","40.00",".00","16.67","36' 1""","2' 6""","93' 9""","33.33"
"5/13/2018","THE PLAYERS Championship","CUT","-1.089","-","1.840","1.694","27.78","2.78","30.50","33.00","28.00","-","-","100.00","100.00","100.00","100.00","100.00",".00",".00","-","71.43","86.49","50.00",".00",".00","16.67","33' 0""","2' 6""","64' 1""","24.00"
"4/22/2018","Valero Texas Open","T30",".272","79.3","1.698","1.583","44.44","2.78","28.50","27.00","30.00","30.00","27.00","100.00","100.00","85.71","100.00",".00","50.00","28.57","100.00","76.47","88.16","42.86","11.11",".00","6.25","25' 3""","2' 5""","69' 2""","44.19"
"4/15/2018","RBC Heritage","CUT","2.164","-","1.667","1.472","47.22",".00","26.50","29.00","24.00","-","-","100.00","100.00","100.00","100.00","50.00","100.00",".00","-","85.71","93.55","33.33","33.33",".00","40.00","30' 8""","1' 9""","95' 2""","38.10"
"4/8/2018","Masters Tournament","CUT","-","-","1.900","1.778","30.56","8.33","32.00","32.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20.00"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7","-.206","98.1","1.702","1.528","40.28","1.39","27.50","27.00","30.00","31.00","22.00","97.67","90.00","50.00","80.00","50.00","33.33","33.33",".00","57.14","82.43","14.29","36.36","42.86",".00","21' 11""","2' 0""","74' 3""","38.30"
"3/4/2018","WGC-Mexico Championship","T30",".326","79.6","1.771","1.639","36.11","5.56","29.50","31.00","28.00","31.00","28.00","100.00","100.00","50.00","100.00",".00","33.33","50.00","66.67","53.33","87.50","25.00","40.00","10.00",".00","21' 1""","2' 5""","70' 8""","31.25"
"2/18/2018","Genesis Open","T20","-.007","69.5","1.780","1.542","44.44","1.39","27.75","26.00","28.00","29.00","28.00","97.44","94.12","80.00","100.00","50.00",".00","100.00","-","66.67","90.41","30.00","9.09",".00","8.33","42' 7""","2' 6""","71' 10""","24.39"
"2/11/2018","AT&T Pebble Beach","T8","1.016","61.5","1.674","1.500","51.39","4.17","27.00","25.00","30.00","29.00","24.00","100.00","100.00","100.00","100.00","40.00","100.00","66.67",".00","66.67","86.49","42.86","-",".00",".00","12' 8""","2' 3""","67' 6""","45.65"
"2/4/2018","Waste Management Phoenix","T31",".308","87.8","1.885","1.681","34.72","5.56","30.25","30.00","32.00","24.00","35.00","100.00","90.91","90.00",".00",".00","100.00","50.00","50.00","66.67","88.57","50.00","33.33",".00","6.67","41' 10""","2' 7""","84' 2""","26.92"
"1/21/2018","CareerBuilder Challenge","T6",".491","80.4","1.690","1.583","41.67","2.78","28.50","28.00","27.00","29.00","30.00","100.00","100.00","100.00","-","50.00",".00","-","33.33","42.86","82.86","33.33","50.00","25.00","12.50","30' 8""","1' 7""","86' 10""","36.84"
"1/7/2018","Sentry T of C","21","-.626","49.8","1.827","1.653","41.67","6.94","29.75","31.00","29.00","29.00","30.00","100.00","85.71","80.00","71.43","100.00","20.00","57.14","100.00","63.16","86.59","10.00",".00",".00",".00","10' 4""","2' 6""","55' 6""","32.69"
"12/10/2017","(*) QBE Shootout","T11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","T14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","1.792","1.750","22.22","2.78","31.50","29.00","34.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","20.83"
"11/5/2017","Shriners Hospitals","T20","-1.787","137.3","1.827","1.694","30.56","5.56","30.50","30.00","31.00","34.00","27.00","98.04","80.00","62.50","100.00","50.00","66.67","33.33","25.00","66.67","84.62","6.67","18.18",".00","6.25","28' 6""","2' 2""","59' 6""","28.85"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
