"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/6/2019","Sentry T of C","DNS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","CUT","-1.146","63.89","75.00","16.67","83.33","45' 7""","52' 3""","50' 8""","53' 1""","35' 11""","-","86' 5""","31' 10""","51' 1""","22' 10""","-","50' 0""","36' 5""","30' 5""","24' 6""","38' 11""","59' 8""","-","-","-","-","52' 3""","-","-","62' 4""","42' 9""","75' 5""","15' 0""","15' 0""","-","-","1","50"
"10/28/2018","WGC-HSBC Champions","T54","-","52.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T52","-","72.22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T19","-","88.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","25","-1.741","52.78","25.00","50.00","100.00","35' 9""","44' 8""","35' 11""","54' 5""","31' 5""","56' 3""","41' 10""","53' 7""","32' 4""","11' 2""","25' 11""","19' 0""","18' 11""","19' 0""","28' 8""","34' 2""","41' 8""","-","-","-","44' 10""","46' 9""","37' 0""","44' 10""","55' 7""","62' 8""","32' 4""","32' 5""","23' 3""","44' 8""","14' 0""","-","-"
"9/9/2018","BMW Championship","T12",".738","76.39","55.56","20.00","80.00","32' 6""","63' 8""","54' 3""","68' 5""","28' 1""","147' 10""","-","76' 0""","27' 9""","14' 8""","23' 1""","19' 0""","18' 11""","21' 3""","22' 5""","28' 4""","44' 4""","-","74' 4""","-","90' 1""","63' 8""","-","79' 7""","30' 7""","85' 8""","47' 8""","37' 6""","37' 6""","-","-","1","9"
"9/3/2018","Dell Technologies Champ","CUT","-1.767","38.89","37.50",".00",".00","37' 4""","35' 0""","11' 10""","39' 7""","34' 11""","-","61' 11""","33' 4""","50' 0""","44' 2""","22' 9""","8' 11""","18' 9""","33' 3""","42' 5""","31' 7""","51' 5""","-","-","-","94' 1""","46' 3""","12' 4""","94' 1""","40' 0""","50' 2""","-","8' 6""","10""","-","12' 4""","-","-"
"8/26/2018","THE NORTHERN TRUST","T15",".027","66.67","25.00",".00","25.00","33' 9""","49' 3""","34' 0""","74' 6""","28' 5""","143' 5""","-","39' 5""","33' 5""","36' 8""","16' 6""","21' 11""","22' 7""","28' 9""","19' 2""","27' 10""","40' 3""","-","-","75' 5""","-","53' 10""","16' 9""","75' 5""","74' 3""","34' 2""","-","33' 6""","41' 11""","-","16' 9""","-","-"
