"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/6/2019","Sentry T of C","DNS","-","-","-","-","-","-","-","-","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","CUT","1.147","75.00","10' 8""","46.15","100.00","33.33","100.00","33.33","28.57","100.00"
"10/28/2018","WGC-HSBC Champions","T54","-","37.50","-","58.82","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T52","-","50.00","-","60.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T19","-","71.43","-","87.50","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","25","-.002","54.55","8' 1""","52.94","100.00","53.85","25.00","37.50","64.71","75.00"
"9/9/2018","BMW Championship","T12",".332","50.00","16' 8""","58.82","66.67","60.00","16.67","-","66.67","100.00"
"9/3/2018","Dell Technologies Champ","CUT","-.756","25.00","10' 2""","68.18","-","80.00","25.00","100.00","91.67","40.00"
"8/26/2018","THE NORTHERN TRUST","T15",".049","71.43","5' 6""","62.50","100.00","55.56","50.00","50.00","60.00","100.00"
"8/12/2018","PGA Championship","T19","-.121","77.78","7' 2""","52.38","100.00","20.00","14.29","100.00","85.71","66.67"
"8/5/2018","WGC-Bridgestone Invit'l","T31",".050","100.00","6' 5""","66.67","100.00","27.27","20.00","50.00","83.33","83.33"
"7/22/2018","The Open Championship","T51","-","80.00","-","58.06","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","1",".812","66.67","9' 1""","78.95","-","83.33","25.00","100.00","100.00","83.33"
"7/1/2018","Quicken Loans National","T64","-.684","62.50","12' 3""","56.00","-","40.00","44.44","50.00","66.67","75.00"
"6/3/2018","the Memorial Tournament","CUT","-.370",".00","8' 9""","53.85","100.00","50.00",".00",".00","40.00","83.33"
"5/27/2018","Fort Worth Invitational","4",".668","100.00","4' 7""","71.43","75.00","55.56","33.33","33.33","100.00","100.00"
"5/20/2018","AT&T Byron Nelson","T6",".745","50.00","7' 0""","80.00","100.00","100.00","50.00","100.00","80.00","100.00"
"5/13/2018","THE PLAYERS Championship","T46",".728","66.67","7' 6""","39.13","100.00","44.44","40.00","40.00","33.33","66.67"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT",".945","25.00","5' 10""","62.50","100.00","75.00","50.00","66.67","42.86","100.00"
"4/15/2018","RBC Heritage","CUT",".177",".00","-","66.67","100.00",".00","33.33",".00","100.00","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T52","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T36","-.248","33.33","10' 10""","69.70","100.00","100.00","83.33","50.00","73.33","100.00"
"2/18/2018","Genesis Open","T2","1.451","57.14","10' 4""","80.00","100.00","86.67","57.14","66.67","83.33","100.00"
"2/11/2018","AT&T Pebble Beach","T20",".651","60.00","11' 1""","57.14","100.00","54.55","-","50.00","44.44","100.00"
"2/4/2018","Waste Management Phoenix","T48","1.067","85.71","4' 11""","77.42","100.00","70.00","37.50","100.00","85.71","100.00"
"1/21/2018","CareerBuilder Challenge","T42","-.222","40.00","9' 7""","72.00","100.00","83.33","66.67",".00","50.00","100.00"
"1/14/2018","Sony Open in Hawaii","CUT",".995","60.00","5' 10""","55.56","100.00","66.67","33.33",".00","66.67","100.00"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T47","-","58.33","-","50.00","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T44","-","85.71","-","64.29","-","-","-","-","-","-"
"10/8/2017","Safeway Open","T37",".968","57.14","9' 10""","64.00","-","57.14","33.33","60.00","50.00","100.00"
"9/17/2017","BMW Championship","T53","-.495","25.00","21' 11""","60.87","100.00","54.55","33.33",".00","66.67","87.50"
"9/4/2017","Dell Technologies Champ","T6",".521","75.00","7' 3""","62.50","100.00","75.00","50.00","50.00","44.44","100.00"
