"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/6/2019","Sentry T of C","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","CUT",".178",".177","311.0","290.9","342","71.43","25' 0""","7.14","14.29","1,998","114.18","1,998"
"10/28/2018","WGC-HSBC Champions","T54","-","-","-","-","296","50.00","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T52","-","-","-","-","-","67.86","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T19","-","-","-","-","-","75.00","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","25","-2.303","-.560","284.0","283.1","320","51.79","19' 9""","19.64","19.64","48","115.64","59"
"9/9/2018","BMW Championship","T12",".301","-.769","282.3","273.6","327","75.00","32' 4""","5.36","14.29","76","112.16","123"
"9/3/2018","Dell Technologies Champ","CUT","-3.144","-.621","296.8","279.1","326","64.29","26' 2""","3.57","17.86","1,998","112.08","1,998"
"8/26/2018","THE NORTHERN TRUST","T15","-.353","-.429","271.8","269.4","300","75.00","24' 8""","5.36","14.29","77","112.43","151"
"8/12/2018","PGA Championship","T19",".556",".219","289.4","283.2","314","73.21","18' 6""","7.14","8.93","84","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.183","-.337","311.6","294.7","366","55.36","27' 6""","24.07","11.11","70","113.31","127"
"7/22/2018","The Open Championship","T51","-","-","294.0","-","352","55.00","-","-","-","110","-","-"
"7/8/2018","The Greenbrier","1","2.449",".322","323.1","293.3","356","67.86","26' 1""","21.43","8.93","50","118.21","99"
"7/1/2018","Quicken Loans National","T64","-1.014","-.442","294.1","285.4","337","55.36","23' 5""","16.07","12.50","96","115.07","120"
"6/3/2018","the Memorial Tournament","CUT","-.701","-.300","270.5","279.0","308","75.00","29' 5""","7.14","10.71","1,998","112.82","1,998"
"5/27/2018","Fort Worth Invitational","4","3.013","-.109","304.0","274.4","339","53.57","22' 9""","16.07","16.07","78","116.25","91"
"5/20/2018","AT&T Byron Nelson","T6","2.010",".126","284.9","288.8","346","82.14","23' 5""","3.57","1.79","99","116.81","81"
"5/13/2018","THE PLAYERS Championship","T46",".479","-.487","288.6","284.4","331","60.71","30' 1""","9.09","9.09","98","113.91","107"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT","-.293","-.399","289.5","276.0","333","71.43","37' 11""","3.70","11.11","1,998","110.72","1,998"
"4/15/2018","RBC Heritage","CUT","-.342","-.645","266.0","264.1","291","67.86","39' 11""","3.57","10.71","1,998","109.33","1,998"
"3/25/2018","WGC-Dell Tech Match Play","T52","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T36","-1.482","-.933","270.4","269.3","317","62.50","16' 8""","10.71","12.50","132","113.02","149"
"2/18/2018","Genesis Open","T2","1.687","-.293","286.0","277.6","317","66.07","16' 7""","14.29","14.29","61","114.08","119"
"2/11/2018","AT&T Pebble Beach","T20","2.257",".120","295.3","267.1","326","80.00","14' 10""","7.14","10.71","45","111.36","140"
"2/4/2018","Waste Management Phoenix","T48","-1.302","-1.587","285.9","288.0","315","35.71","30' 9""","21.43","23.21","141","113.12","138"
"1/21/2018","CareerBuilder Challenge","T42","-.638","-.320","278.0","268.5","305","57.14","27' 11""","32.14","10.71","128","113.31","107"
"1/14/2018","Sony Open in Hawaii","CUT","2.006","-.675","298.0","287.3","324","42.86","20' 8""","25.00","25.00","1,998","112.21","1,998"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T47","-","-","-","-","-","80.36","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T44","-","-","-","-","-","69.64","-","-","-","-","-","-"
"10/8/2017","Safeway Open","T37","1.252",".076","293.3","279.7","372","62.50","36' 2""","14.29","19.64","69","110.28","120"
