"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/6/2019","Sentry T of C","DNS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","CUT","-1.939","-","1.783","1.694","33.33","5.56","30.50","28.00","33.00","-","-","91.67","80.00","75.00","33.33",".00","100.00","-","100.00","55.56","82.05","20.00",".00","14.29","16.67","31' 10""","2' 3""","76' 7""","27.27"
"10/28/2018","WGC-HSBC Champions","T54","-","-","1.842","1.583","40.28","4.17","28.50","28.00","28.00","31.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.92"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T52","-","-","1.846","1.694","34.72","4.17","30.50","32.00","32.00","25.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.00"
"10/14/2018","CIMB Classic","T19","-","-","1.734","1.667","34.72","1.39","30.00","29.00","28.00","31.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.69"
"9/23/2018","TOUR Championship","25","1.170","24.2","1.684","1.542","44.44","1.39","27.75","27.00","24.00","30.00","30.00","100.00","100.00","75.00",".00","100.00","75.00","50.00","25.00","76.92","89.55","33.33","18.18","42.86","17.65","34' 2""","2' 1""","97' 7""","36.84"
"9/9/2018","BMW Championship","T12","1.333","42.3","1.636","1.569","41.67","1.39","28.25","30.00","27.00","29.00","27.00","97.73","100.00","100.00","50.00","-","50.00","80.00","66.67","72.73","91.04","38.46","33.33",".00","13.64","36' 2""","1' 11""","91' 2""","40.00"
"9/3/2018","Dell Technologies Champ","CUT","1.132","-","1.643","1.444","61.11","5.56","26.00","25.00","27.00","-","-","100.00","80.00","100.00","100.00","100.00","-",".00","50.00","100.00","91.18","44.44",".00","100.00",".00","23' 5""","2' 1""","81' 10""","42.86"
"8/26/2018","THE NORTHERN TRUST","T15","1.996","23.1","1.625","1.528","47.22",".00","27.50","28.00","28.00","27.00","27.00","100.00","100.00","100.00","80.00","80.00","75.00","66.67","66.67","80.00","92.42","30.00","38.46","33.33","6.67","27' 4""","1' 10""","95' 3""","37.50"
"8/12/2018","PGA Championship","T19","1.146","62.3","1.667","1.542","47.22","1.39","27.75","29.00","29.00","25.00","28.00","100.00","100.00","85.71","50.00","100.00","50.00","75.00","60.00","81.25","91.67","42.86","8.33","28.57",".00","22' 1""","2' 0""","76' 2""","37.25"
"8/5/2018","WGC-Bridgestone Invit'l","T31",".088","88.9","1.756","1.569","45.83","5.56","28.25","24.00","32.00","29.00","28.00","100.00","60.00","75.00","75.00","100.00","50.00","33.33","33.33","75.00","86.11","45.45","30.00",".00","6.67","25' 5""","2' 5""","75' 5""","31.11"
"7/22/2018","The Open Championship","T51","-","-","1.829","1.639","33.33",".00","29.50","28.00","31.00","32.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.95"
"7/8/2018","The Greenbrier","1","1.772","67.7","1.604","1.472","50.00","2.78","26.50","31.00","27.00","24.00","24.00","100.00","100.00","83.33","100.00","50.00","33.33","75.00","100.00","62.50","89.39","36.36","40.00","40.00","15.79","43' 0""","1' 11""","101' 4""","45.28"
"7/1/2018","Quicken Loans National","T64",".141","68.9","1.830","1.639","31.94","1.39","29.50","26.00","32.00","29.00","31.00","100.00","83.33","100.00","100.00","100.00","50.00","100.00","60.00","91.67","94.29","27.27","8.33",".00",".00","15' 7""","2' 0""","58' 0""","23.40"
