"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT","-1.045","66.67","50.00",".00","50.00","39' 10""","50' 4""","51' 5""","43' 8""","33' 2""","91' 1""","36' 2""","60' 10""","36' 9""","-","-","11' 9""","11' 9""","5' 3""","19' 4""","28' 1""","52' 4""","-","-","-","-","56' 2""","15' 0""","-","101' 7""","9' 6""","34' 9""","55' 2""","55' 2""","-","-","-","-"
"1/13/2019","Sony Open in Hawaii","T22",".357","72.22","77.78","28.57","57.14","30' 7""","51' 5""","79' 7""","42' 9""","23' 3""","-","-","46' 8""","34' 6""","28' 4""","11' 9""","16' 3""","15' 8""","19' 5""","19' 3""","34' 10""","36' 0""","-","47' 3""","47' 7""","73' 7""","51' 5""","-","56' 2""","78' 3""","28' 5""","49' 4""","30' 3""","30' 3""","-","-","1","10"
"12/9/2018","(*) QBE Shootout","T11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","66","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T15",".507","69.44","62.50","20.00","100.00","31' 4""","43' 7""","40' 9""","45' 11""","25' 4""","-","20' 1""","43' 10""","32' 3""","7' 10""","-","13' 3""","12' 6""","17' 0""","23' 7""","28' 6""","35' 5""","-","-","26' 8""","43' 9""","45' 4""","10' 2""","35' 3""","52' 9""","55' 10""","40' 5""","33' 0""","38' 9""","10' 2""","-","1","12"
"9/9/2018","BMW Championship","T45",".584","77.78","66.67","16.67","50.00","32' 11""","42' 11""","40' 8""","45' 1""","31' 9""","118' 1""","114' 1""","60' 10""","22' 9""","21' 1""","7' 2""","17' 7""","17' 7""","18' 8""","24' 5""","32' 10""","54' 8""","-","-","34' 2""","28' 4""","42' 11""","-","31' 3""","27' 11""","97' 2""","33' 6""","21' 10""","21' 10""","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T12","1.123","79.17","62.50","20.00","60.00","33' 6""","49' 5""","24' 3""","59' 5""","29' 8""","110' 7""","67' 2""","67' 2""","45' 10""","-","-","12' 3""","12' 3""","20' 11""","19' 6""","20' 11""","57' 11""","-","26' 10""","-","-","57' 0""","30' 5""","26' 10""","78' 10""","21' 8""","-","30' 5""","-","-","30' 5""","-","-"
"8/26/2018","THE NORTHERN TRUST","T28",".631","72.22","31.25",".00","20.00","32' 6""","50' 10""","70' 5""","41' 0""","25' 10""","47' 4""","-","35' 5""","33' 8""","-","13' 10""","27' 7""","21' 4""","12' 8""","22' 8""","31' 3""","35' 1""","-","-","-","66' 8""","50' 10""","-","66' 8""","86' 3""","37' 3""","58' 5""","18' 8""","18' 8""","-","-","1","22"
