"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT","-.570","33.33","15' 4""","33.33","-","14.29",".00","50.00",".00","-"
"1/13/2019","Sony Open in Hawaii","T22",".200","57.14","18' 6""","70.00","66.67","80.00","25.00","100.00","66.67","100.00"
"12/9/2018","(*) QBE Shootout","T11","-","-","-","-","-","-","-","-","-","-"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","85.71","-","75.00","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","66","-","35.71","-","61.11","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","60.00","-","81.25","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T15",".132","55.56","8' 11""","45.45","100.00","28.57","25.00","50.00","55.56","40.00"
"9/9/2018","BMW Championship","T45","-.395","66.67","7' 5""","56.25","100.00","60.00","50.00",".00","80.00","66.67"
"9/3/2018","Dell Technologies Champ","T12","-.111","60.00","9' 9""","53.33","100.00","50.00",".00","100.00","40.00","80.00"
"8/26/2018","THE NORTHERN TRUST","T28",".749","42.86","8' 8""","65.00","100.00","72.73","50.00","50.00","57.14","100.00"
"8/12/2018","PGA Championship","CUT","1.043",".00","13' 6""","57.14","100.00","75.00","25.00","-","57.14","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","2",".811","100.00","3' 2""","80.00","100.00","100.00",".00","100.00","66.67","100.00"
"7/22/2018","The Open Championship","T39","-","50.00","-","45.00","-","-","-","-","-","-"
"7/15/2018","John Deere Classic","CUT","-.558","60.00","11' 2""","73.33","50.00","80.00",".00","66.67","83.33","80.00"
"7/1/2018","Quicken Loans National","T32","1.031","44.44","12' 4""","50.00","100.00","57.14","14.29","75.00","62.50","75.00"
"6/24/2018","Travelers Championship","T15","-.322","44.44","9' 7""","52.63","100.00",".00","33.33","66.67","57.14","60.00"
"6/17/2018","U.S. Open","CUT","-1.446","60.00","11' 0""","22.22","-","50.00",".00","25.00","33.33","-"
