"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-1.876","-.261","285.5","283.2","313","60.71","30' 6""","42.86","7.14","1,998","109.73","1,998"
"1/13/2019","Sony Open in Hawaii","T22",".817",".261","301.4","291.0","352","57.14","17' 10""","7.14","23.21","89","109.74","103"
"12/9/2018","(*) QBE Shootout","T11","-","-","-","-","-","-","-","-","-","-","-","-"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","-","-","-","315","60.71","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","66","-","-","-","-","-","76.79","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T15",".929",".290","300.8","292.6","339","57.14","19' 11""","17.86","21.43","25","112.09","18"
"9/9/2018","BMW Championship","T45","-.156","-.344","285.4","279.9","325","80.36","16' 10""","7.14","10.71","57","110.88","86"
"9/3/2018","Dell Technologies Champ","T12","1.516",".504","303.3","287.9","330","73.21","18' 4""","8.93","7.14","47","113.19","123"
"8/26/2018","THE NORTHERN TRUST","T28","1.446",".066","280.0","278.7","315","75.00","25' 9""","8.93","8.93","59","112.20","72"
"8/12/2018","PGA Championship","CUT","1.643","-.286","288.5","287.0","324","78.57","19' 1""","3.57","3.57","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","2","2.537",".937","328.9","305.9","364","76.79","20' 11""","10.91","9.09","15","112.65","89"
"7/22/2018","The Open Championship","T39","-","-","302.4","-","360","45.00","-","-","-","123","-","-"
"7/15/2018","John Deere Classic","CUT","-1.882",".983","303.5","289.8","321","82.14","31' 7""",".00","7.14","1,998","112.95","1,998"
"7/1/2018","Quicken Loans National","T32",".434",".448","305.6","287.3","338","66.07","21' 5""","12.50","12.50","44","113.47","58"
"6/24/2018","Travelers Championship","T15",".613",".864","296.8","284.5","334","83.93","18' 1""","1.79","3.57","29","110.86","106"
"6/17/2018","U.S. Open","CUT","-2.547","-1.155","288.8","283.0","334","75.00","-","7.14","10.71","1,998","-","-"
