"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT","-1.803","-","1.917","1.806","19.44",".00","32.50","32.00","33.00","-","-","100.00","100.00","66.67",".00","50.00","100.00","-",".00","57.14","81.82",".00",".00",".00",".00","7' 9""","2' 0""","46' 6""","12.50"
"1/13/2019","Sony Open in Hawaii","T22",".445","66.6","1.731","1.597","37.50","2.78","28.75","30.00","28.00","30.00","27.00","97.56","90.00","66.67","50.00","66.67","100.00","100.00","50.00","66.67","88.24","46.15","33.33","12.50",".00","20' 5""","2' 2""","77' 1""","30.77"
"12/9/2018","(*) QBE Shootout","T11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","-","1.775","1.500","47.22",".00","27.00","29.00","26.00","24.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23.08"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","66","-","-","1.889","1.764","29.17","5.56","31.75","33.00","32.00","30.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20.37"
"10/14/2018","CIMB Classic","T13","-","-","1.786","1.625","40.28","5.56","29.25","35.00","32.00","23.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","37.50"
"9/23/2018","TOUR Championship","T15","-.562","42.9","1.740","1.639","34.72","1.39","29.50","27.00","29.00","29.00","33.00","100.00","90.91","100.00","75.00",".00","66.67","50.00",".00","60.00","85.53","22.22","14.29",".00","17.65","44' 4""","2' 1""","78' 9""","30.00"
"9/9/2018","BMW Championship","T45","-.711","75.9","1.786","1.708","31.94","1.39","30.75","28.00","32.00","29.00","34.00","100.00","100.00","40.00","57.14","66.67","50.00","100.00","100.00","52.94","89.04","35.29",".00","16.67",".00","21' 8""","2' 0""","65' 7""","25.00"
"9/3/2018","Dell Technologies Champ","T12",".081","48.8","1.719","1.667","33.33",".00","30.00","30.00","27.00","32.00","31.00","100.00","100.00","100.00","66.67","100.00","33.33",".00","100.00","66.67","91.43","33.33","25.00",".00",".00","20' 0""","2' 0""","66' 6""","31.58"
"8/26/2018","THE NORTHERN TRUST","T28","-.553","79.4","1.769","1.625","36.11","1.39","29.25","33.00","29.00","28.00","27.00","100.00","100.00","80.00","66.67","100.00","75.00","50.00","20.00","80.00","88.16","11.11","14.29",".00","7.14","57' 10""","2' 3""","73' 11""","25.00"
"8/12/2018","PGA Championship","CUT","-1.657","-","1.864","1.639","27.78","2.78","29.50","27.00","32.00","-","-","100.00","83.33","75.00",".00","-","66.67",".00","50.00","62.50","82.05","14.29","33.33",".00",".00","16' 3""","2' 4""","58' 7""","18.18"
"8/5/2018","WGC-Bridgestone Invit'l","2",".118","89.4","1.731","1.569","45.83","4.17","28.25","27.00","28.00","30.00","28.00","95.65","100.00","33.33","16.67","100.00",".00","50.00","20.00","27.27","79.73","55.56","50.00","20.00","18.75","55' 7""","2' 0""","104' 3""","34.62"
"7/22/2018","The Open Championship","T39","-","-","1.904","1.792","25.00","6.94","32.25","32.00","31.00","31.00","35.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23.08"
"7/15/2018","John Deere Classic","CUT","-.868","-","1.905","1.639","38.89","2.78","29.50","28.00","31.00","-","-","100.00","83.33","83.33","100.00","-","100.00",".00","33.33","87.50","87.18","40.00",".00",".00",".00","13' 10""","2' 5""","59' 10""","19.05"
