"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","84.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","83.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T58","-.011","77.78","55.56","40.00","80.00","32' 10""","44' 11""","40' 1""","52' 8""","30' 2""","-","77' 0""","46' 1""","48' 0""","4' 9""","11' 5""","19' 11""","14' 7""","21' 4""","25' 2""","30' 5""","52' 8""","-","-","-","90' 4""","45' 7""","36' 10""","90' 4""","-","61' 4""","37' 11""","36' 4""","36' 2""","-","36' 10""","-","-"
"9/3/2018","Dell Technologies Champ","T31","-.199","63.89","62.50","10.00","50.00","38' 10""","57' 7""","59' 6""","54' 3""","33' 10""","70' 3""","71' 0""","53' 1""","52' 11""","-","4' 2""","19' 3""","17' 1""","17' 5""","29' 9""","30' 9""","56' 1""","-","-","-","-","57' 7""","-","-","72' 11""","57' 1""","55' 10""","16' 10""","16' 10""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T28","-.582","75.00","43.75",".00","42.86","35' 6""","47' 5""","63' 0""","36' 3""","30' 2""","125' 9""","47' 9""","17' 4""","25' 3""","8' 1""","27' 6""","18' 8""","21' 5""","19' 0""","33' 5""","29' 2""","44' 10""","-","-","-","93' 9""","59' 4""","30' 8""","93' 9""","61' 0""","65' 9""","42' 0""","29' 11""","26' 1""","24' 8""","34' 9""","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T24","-.836","66.67","37.50","66.67","100.00","29' 0""","30' 7""","34' 0""","28' 5""","26' 7""","-","-","53' 4""","40' 9""","-","33' 4""","20' 3""","21' 7""","24' 3""","19' 4""","18' 0""","43' 11""","-","-","-","-","30' 7""","30' 8""","-","45' 0""","36' 3""","22' 10""","32' 2""","35' 4""","30' 8""","-","2","8"
"7/22/2018","The Open Championship","T28","-","73.61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T16",".137","62.50","66.67",".00","33.33","41' 8""","56' 8""","56' 3""","58' 2""","41' 3""","103' 2""","84' 11""","42' 3""","38' 9""","26' 1""","23' 5""","19' 2""","20' 8""","27' 11""","33' 0""","47' 11""","73' 4""","-","-","-","71' 7""","66' 9""","16' 4""","71' 7""","103' 8""","58' 2""","33' 5""","16' 4""","-","16' 4""","-","-","-"
"6/3/2018","the Memorial Tournament","T13",".367","69.44","50.00","25.00","87.50","28' 9""","44' 9""","59' 6""","34' 10""","26' 2""","-","52' 4""","43' 3""","33' 11""","7' 5""","7' 1""","18' 7""","14' 10""","19' 6""","24' 2""","28' 1""","43' 2""","-","-","-","-","44' 9""","-","-","-","63' 3""","36' 3""","13' 2""","13' 2""","-","-","-","-"
"5/27/2018","Fort Worth Invitational","T5","1.406","70.83",".00","-","-","27' 7""","39' 7""","14' 11""","52' 0""","23' 8""","-","-","48' 2""","34' 3""","-","11' 11""","13' 3""","13' 0""","18' 9""","22' 4""","32' 1""","38' 2""","-","-","-","66' 1""","40' 6""","24' 1""","66' 1""","48' 7""","33' 7""","59' 5""","18' 8""","17' 4""","24' 1""","-","-","-"
"5/13/2018","THE PLAYERS Championship","CUT","-2.660","55.56","50.00","40.00","60.00","34' 8""","39' 9""","29' 11""","44' 8""","27' 5""","-","36' 11""","44' 10""","-","18' 1""","6' 11""","15' 1""","14' 1""","26' 6""","32' 0""","26' 1""","40' 10""","-","-","43' 4""","-","44' 5""","16' 6""","43' 4""","63' 9""","55' 10""","11' 8""","31' 11""","47' 4""","16' 6""","-","-","-"
"5/6/2018","Wells Fargo Championship","CUT","-2.783","47.22","10.00",".00",".00","41' 11""","36' 10""","47' 7""","30' 4""","40' 7""","99' 8""","-","52' 9""","47' 2""","-","24' 7""","29' 5""","27' 0""","32' 5""","34' 10""","49' 1""","59' 11""","-","-","-","-","47' 9""","18' 7""","-","82' 4""","31' 6""","46' 10""","17' 10""","-","-","17' 10""","2","14"
"4/29/2018","Zurich Classic of New Orl","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T12","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
