"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","80.00","-","72.73","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","66.67","-","75.00","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T58","-.222","50.00","7' 11""","56.25","100.00","33.33","75.00","-","50.00","50.00"
"9/3/2018","Dell Technologies Champ","T31",".135","63.64","5' 7""","65.38","100.00","54.55","50.00","71.43","77.78","50.00"
"8/26/2018","THE NORTHERN TRUST","T28",".104","72.73","5' 5""","55.56","100.00","33.33",".00","50.00","63.64","66.67"
"8/5/2018","WGC-Bridgestone Invit'l","T24",".798","75.00","5' 0""","66.67","-","68.75",".00","100.00","77.78","77.78"
"7/22/2018","The Open Championship","T28","-","40.00","-","47.37","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T16","1.115","70.00","7' 1""","55.56","100.00","75.00","28.57","60.00","58.33","100.00"
"6/3/2018","the Memorial Tournament","T13",".709","63.64","6' 11""","77.27","100.00","83.33","75.00","100.00","55.56","100.00"
"5/27/2018","Fort Worth Invitational","T5",".821","75.00","5' 2""","71.43","100.00","75.00","25.00","75.00","85.71","83.33"
"5/13/2018","THE PLAYERS Championship","CUT",".654","42.86","6' 4""","50.00","66.67","100.00","50.00",".00","55.56","100.00"
"5/6/2018","Wells Fargo Championship","CUT","1.432","71.43","9' 2""","63.16","100.00","75.00",".00","100.00","80.00","80.00"
"4/29/2018","Zurich Classic of New Orl","3","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T12","-","66.67","-","86.36","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT","-.045","50.00","5' 8""","60.00","-","50.00",".00",".00","66.67","100.00"
"3/11/2018","Valspar Championship","T16",".324","60.00","4' 2""","75.76","100.00","70.59","-","50.00","80.00","83.33"
"3/4/2018","WGC-Mexico Championship","T30",".278","40.00","10' 11""","60.00","75.00","70.00","33.33","50.00","69.23","100.00"
"2/25/2018","The Honda Classic","T24","-.388","76.92","7' 3""","60.00","100.00","50.00",".00","25.00","68.75","100.00"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T63",".278","66.67","13' 6""","75.00","100.00","55.56","50.00","100.00","87.50","75.00"
"9/4/2017","Dell Technologies Champ","T30",".056","66.67","11' 4""","60.00","-","62.50",".00","28.57","83.33","100.00"
"8/27/2017","THE NORTHERN TRUST","T10","-.140","50.00","11' 5""","62.50","-","66.67","100.00","66.67","60.00","75.00"
"8/13/2017","PGA Championship","T2","1.086","71.43","5' 6""","64.00","50.00","50.00","66.67","75.00","61.54","50.00"
"8/6/2017","WGC-Bridgestone Invit'l","T50","-.262","60.00","6' 8""","53.33","100.00","47.06","42.86","100.00","54.55","55.56"
"7/23/2017","The Open Championship","CUT","-","42.86","-","50.00","-","-","-","-","-","-"
"6/18/2017","U.S. Open","T23","-.673","100.00","4' 8""","66.67","75.00",".00",".00","71.43","100.00","80.00"
"5/21/2017","AT&T Byron Nelson","T18",".132","50.00","7' 3""","75.00","100.00","70.00","66.67","33.33","71.43","91.67"
"5/14/2017","THE PLAYERS Championship","T2",".455","83.33","9' 7""","64.00","100.00","57.14","25.00","66.67","75.00","100.00"
"4/30/2017","Zurich Classic of New Orl","T24","-","-","-","-","-","-","-","-","-","-"
"4/9/2017","Masters Tournament","T41","-","100.00","-","52.00","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T28",".229","33.33","11' 10""","64.29","85.71","50.00",".00","75.00","77.78","88.89"
"3/5/2017","WGC-Mexico Championship","T48","-.116","25.00","7' 4""","54.17","100.00","55.56","50.00",".00","44.44","100.00"
"2/26/2017","The Honda Classic","T21","-.280","57.14","7' 9""","61.11","-","60.00","60.00","50.00","66.67","75.00"
"2/5/2017","Waste Management Phoenix","3",".929","60.00","13' 6""","85.71","100.00","66.67","66.67","100.00","85.71","100.00"
"1/29/2017","Farmers Insurance Open","T41",".957","75.00","4' 6""","74.07","-","69.23","40.00","50.00","60.00","100.00"
"12/4/2016","(*) Hero World Challenge","9","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T45","-","100.00","-","47.62","-","-","-","-","-","-"
"9/11/2016","BMW Championship","T17",".222","100.00","7' 4""","64.00","100.00","73.33","25.00","66.67","72.73","83.33"
"9/5/2016","Deutsche Bank Champ","T8","1.114","66.67","8' 0""","63.64","100.00","60.00",".00","50.00","58.33","100.00"
"8/28/2016","The Barclays","T18",".233","66.67","7' 4""","64.29","50.00","77.78","42.86","20.00","80.00","100.00"
"8/7/2016","Travelers Championship","T17",".354","80.00","8' 2""","68.42","100.00","50.00","-","66.67","55.56","100.00"
"7/31/2016","PGA Championship","T22","-.333",".00","24' 6""","44.44","100.00",".00",".00","66.67","50.00","50.00"
"7/17/2016","The Open Championship","CUT","-","33.33","-","50.00","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T21","-.121","33.33","8' 10""","48.28","100.00","45.45","33.33","42.86","37.50","100.00"
"6/28/2016","(*) CVS Health Charity","T3","-","-","-","-","-","-","-","-","-","-"
"6/19/2016","U.S. Open","T23","-","60.00","-","39.29","-","-","-","-","-","-"
"5/29/2016","DEAN & DELUCA Invt'l","CUT",".136","40.00","4' 10""","66.67","-","100.00","100.00","66.67","50.00","100.00"
"5/22/2016","AT&T Byron Nelson","CUT","-1.347","50.00","5' 3""","66.67","100.00","66.67","100.00",".00","50.00","100.00"
"5/15/2016","THE PLAYERS Championship","T28",".115",".00","17' 6""","47.37","100.00","57.14",".00","50.00","46.15","100.00"
"4/10/2016","Masters Tournament","T15","-","44.44","-","48.00","-","-","-","-","-","-"
"4/3/2016","Shell Houston Open","CUT",".350","33.33","7' 9""","46.67","100.00","66.67","50.00","100.00","40.00","75.00"
"3/27/2016","WGC-Dell Match Play","2","-","-","-","-","-","-","-","-","-","-"
"3/13/2016","Valspar Championship","T7","-.003","63.64","14' 6""","60.87","60.00","60.00","20.00",".00","72.73","83.33"
"3/6/2016","WGC-Cadillac Championship","T14",".633","70.00","6' 1""","47.37","100.00",".00","33.33","66.67","37.50","100.00"
"11/8/2015","WGC-HSBC Champions","T44","-","42.86","-","45.00","-","-","-","-","-","-"
"10/11/2015","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/27/2015","TOUR Championship","W/D","-","-","-","-","-","-","-","-","-","-"
"9/20/2015","BMW Championship","T19",".084","25.00","8' 4""","61.90","100.00","88.89",".00",".00","66.67","100.00"
"9/7/2015","Deutsche Bank Champ","T12",".146","75.00","6' 6""","62.96","100.00","33.33","100.00","50.00","63.64","60.00"
