"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","-","-","-","-","76.79","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T5","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T58","-.064",".169","296.3","289.6","352","71.43","22' 1""","17.86","10.71","66","112.97","50"
"9/3/2018","Dell Technologies Champ","T31","-.202","-.138","295.9","288.6","342","64.29","20' 5""","10.71","8.93","86","114.46","96"
"8/26/2018","THE NORTHERN TRUST","T28",".224",".703","282.3","288.3","326","67.86","16' 7""","12.50","12.50","76","113.98","54"
"8/5/2018","WGC-Bridgestone Invit'l","T24",".380",".417","322.6","303.2","371","57.14","23' 8""","21.82","18.18","41","114.60","74"
"7/22/2018","The Open Championship","T28","-","-","312.5","-","336","63.33","-","-","-","33","-","-"
"6/17/2018","U.S. Open","T16","1.860",".608","304.0","295.0","352","83.93","-","8.93","5.36","27","-","-"
"6/3/2018","the Memorial Tournament","T13","1.460",".384","289.6","284.0","329","69.64","24' 2""","10.71","17.86","73","113.39","49"
"5/27/2018","Fort Worth Invitational","T5","2.111","-.116","301.3","269.5","327","58.93","16' 8""","10.71","23.21","67","114.38","73"
"5/13/2018","THE PLAYERS Championship","CUT","-1.670",".337","291.3","283.5","336","57.14","23' 10""","7.14","17.86","1,998","113.78","1,998"
"5/6/2018","Wells Fargo Championship","CUT","-2.383","-1.032","303.0","300.0","356","57.14","21' 8""","3.70","14.81","1,998","115.09","1,998"
"4/29/2018","Zurich Classic of New Orl","3","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T12","-","-","297.0","-","329","62.50","-","-","-","44","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT","-.366",".448","279.8","279.0","329","78.57","14' 7""","7.14","3.57","1,998","113.87","1,998"
"3/11/2018","Valspar Championship","T16","1.875",".535","300.4","280.4","341","51.92","16' 4""","15.38","25.00","70","115.47","59"
"3/4/2018","WGC-Mexico Championship","T30",".078","1.327","307.3","315.7","382","57.14","27' 10""","17.86","23.21","50","114.80","31"
"2/25/2018","The Honda Classic","T24",".785",".842","301.9","280.9","352","69.64","20' 4""","8.93","14.29","27","114.99","81"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T63","-2.599","-.238","304.0","296.3","354","42.86","24' 2""","27.27","20.00","110","115.28","113"
"9/4/2017","Dell Technologies Champ","T30",".057",".097","295.0","278.5","335","55.36","22' 5""","21.43","7.14","92","113.00","102"
"8/27/2017","THE NORTHERN TRUST","T10","1.350",".422","300.5","290.9","341","64.29","16' 4""","10.71","19.64","60","115.04","73"
"8/13/2017","PGA Championship","T2","2.871",".160","312.3","299.2","336","60.71","30' 6""","5.36","19.64","45","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T50","-.748","-.632","289.3","296.3","359","48.21","26' 2""","23.21","19.64","105","113.53","89"
"7/23/2017","The Open Championship","CUT","-","-","286.5","-","344","57.14","-","-","-","1,998","-","-"
"6/18/2017","U.S. Open","T23",".289",".203","312.1","300.7","352","80.36","-","7.14","7.14","43","-","-"
