"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T29","-","-","1.885","1.792","27.78","6.94","32.25","33.00","33.00","30.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.31"
"10/14/2018","CIMB Classic","T5","-","-","1.717","1.625","36.11","1.39","29.25","31.00","30.00","28.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40.00"
"9/9/2018","BMW Championship","T58","-1.553","112.0","1.857","1.750","31.94","6.94","31.50","32.00","31.00","30.00","33.00","98.11","83.33","66.67","100.00","50.00","-","50.00",".00","71.43","88.31","15.38","25.00",".00","4.35","68' 3""","2' 1""","66' 7""","25.00"
"9/3/2018","Dell Technologies Champ","T31",".799","41.9","1.696","1.514","45.83",".00","27.25","28.00","25.00","30.00","26.00","100.00","100.00","100.00","83.33","66.67","66.67","100.00","33.33","84.21","93.06","14.29","37.50",".00",".00","19' 2""","2' 3""","68' 0""","32.61"
"8/26/2018","THE NORTHERN TRUST","T28",".669","63.0","1.722","1.653","36.11","1.39","29.75","30.00","29.00","30.00","30.00","100.00","100.00","100.00","80.00","50.00","25.00","88.89","100.00","68.75","91.78","28.57",".00",".00","4.76","35' 7""","2' 5""","78' 4""","29.63"
"8/5/2018","WGC-Bridgestone Invit'l","T24",".275","68.6","1.833","1.583","37.50","1.39","28.50","26.00","29.00","29.00","30.00","100.00","81.82","100.00","100.00","100.00","100.00",".00","66.67","100.00","91.55","11.11","22.22","11.11","6.25","30' 4""","1' 11""","67' 6""","22.92"
"7/22/2018","The Open Championship","T28","-","-","1.906","1.792","23.61","5.56","32.25","34.00","30.00","33.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24.53"
"6/17/2018","U.S. Open","T16",".034","72.7","1.956","1.736","30.56","4.17","31.25","29.00","33.00","34.00","29.00","97.87","100.00","75.00","80.00","100.00","66.67","75.00","40.00","76.47","88.61","9.09","25.00",".00",".00","16' 4""","3' 1""","63' 4""","11.11"
"6/3/2018","the Memorial Tournament","T13",".405","94.1","1.740","1.569","47.22","4.17","28.25","30.00","27.00","28.00","28.00","100.00","100.00","40.00","75.00","100.00","80.00","33.33","75.00","68.75","89.19","36.36","14.29",".00","5.88","28' 1""","2' 8""","73' 7""","36.00"
"5/27/2018","Fort Worth Invitational","T5",".018","99.0","1.647","1.556","47.22","2.78","28.00","29.00","27.00","25.00","31.00","100.00","87.50","100.00","100.00","66.67",".00","66.67","25.00","55.56","87.67","45.45","42.86",".00",".00","17' 8""","2' 0""","65' 4""","37.25"
"5/13/2018","THE PLAYERS Championship","CUT","-1.187","-","1.800","1.694","33.33","2.78","30.50","33.00","28.00","-","-","96.43","66.67",".00","100.00","50.00","100.00","-","50.00","66.67","87.18",".00","12.50",".00","12.50","37' 1""","1' 11""","70' 4""","30.00"
"5/6/2018","Wells Fargo Championship","CUT","2.050","-","1.882","1.500","41.67","2.78","27.00","27.00","27.00","-","-","100.00","100.00","100.00","100.00","100.00","100.00","50.00","100.00","100.00","96.97","33.33",".00",".00",".00","14' 4""","2' 11""","70' 5""","17.65"
"4/29/2018","Zurich Classic of New Orl","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T12","-","-","1.880","1.639","44.44","11.11","29.50","33.00","30.00","32.00","23.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.00"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
