"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","T40",".276","70.83","91.67","18.18","54.55","37' 7""","44' 1""","52' 4""","35' 11""","34' 5""","64' 8""","63' 8""","69' 1""","39' 6""","11' 1""","-","25' 5""","23' 1""","17' 7""","25' 7""","17' 11""","56' 10""","136' 1""","-","37' 7""","59' 11""","45' 11""","17' 3""","66' 2""","34' 1""","-","36' 10""","25' 8""","34' 0""","17' 3""","-","1","-"
"1/20/2019","Desert Classic","CUT","-.451","70.37","75.00","33.33","100.00","35' 8""","46' 9""","25' 5""","68' 2""","29' 8""","-","46' 4""","-","63' 1""","11' 1""","-","-","11' 1""","-","29' 5""","-","57' 6""","-","118' 7""","40' 2""","-","51' 10""","21' 4""","79' 5""","-","31' 10""","37' 0""","21' 4""","-","21' 4""","-","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T4",".510","80.56","83.33","33.33","50.00","30' 0""","31' 6""","34' 3""","24' 10""","29' 4""","-","87' 10""","57' 10""","45' 7""","20' 0""","16' 7""","14' 1""","16' 6""","24' 7""","25' 2""","18' 5""","57' 9""","-","-","-","-","31' 6""","-","-","-","69' 5""","37' 9""","12' 8""","12' 8""","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","CUT","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T4",".416","77.78","87.50","33.33","73.33","36' 11""","43' 0""","41' 10""","43' 6""","29' 11""","-","17' 6""","36' 10""","37' 4""","-","18' 1""","22' 3""","21' 5""","31' 3""","36' 7""","34' 0""","35' 0""","30' 10""","116' 9""","-","65' 8""","47' 5""","17' 11""","68' 0""","18' 0""","46' 10""","38' 11""","34' 9""","40' 2""","9' 11""","40' 10""","1","45"
"9/9/2018","BMW Championship","T45","-.983","75.00","77.78","42.86","57.14","35' 1""","47' 8""","46' 11""","50' 4""","31' 4""","-","46' 2""","40' 6""","43' 0""","4' 3""","18' 3""","30' 3""","22' 0""","24' 11""","19' 10""","57' 7""","42' 9""","-","43' 8""","121' 6""","78' 10""","55' 11""","27' 1""","80' 9""","28' 7""","58' 10""","15' 6""","35' 1""","-","35' 1""","-","1","14"
"9/3/2018","Dell Technologies Champ","CUT","1.245","77.78","62.50","40.00","60.00","33' 10""","50' 0""","79' 2""","35' 6""","27' 3""","-","45' 1""","29' 8""","33' 3""","-","-","27' 2""","27' 2""","24' 11""","27' 3""","23' 6""","33' 5""","-","-","44' 5""","-","50' 0""","-","44' 5""","-","58' 2""","23' 1""","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T48","-.231","69.44","56.25","22.22","55.56","35' 7""","48' 2""","60' 1""","38' 7""","29' 7""","-","77' 11""","64' 6""","47' 8""","6' 10""","9' 5""","15' 2""","12' 0""","19' 5""","18' 9""","31' 8""","60' 1""","-","92' 1""","-","44' 8""","54' 6""","16' 2""","68' 5""","52' 2""","53' 0""","48' 0""","16' 2""","-","13' 0""","22' 6""","1","20"
"8/12/2018","PGA Championship","CUT",".297","80.56","40.00",".00","50.00","39' 4""","36' 0""","27' 0""","49' 5""","35' 7""","62' 0""","130' 9""","64' 7""","57' 8""","-","18' 8""","5' 4""","15' 4""","21' 2""","36' 3""","22' 9""","71' 9""","-","-","13' 4""","52' 9""","38' 6""","30' 1""","39' 7""","62' 9""","18' 0""","56' 4""","26' 0""","13' 9""","43' 3""","3' 8""","1","6"
"8/5/2018","WGC-Bridgestone Invit'l","T24","-.680","70.83","50.00","50.00","75.00","31' 7""","38' 3""","37' 0""","40' 2""","28' 0""","-","-","63' 3""","35' 11""","17' 2""","16' 1""","20' 0""","17' 11""","18' 6""","41' 4""","34' 8""","40' 10""","-","66' 0""","-","14' 4""","38' 10""","36' 5""","40' 2""","-","38' 6""","38' 6""","37' 7""","39' 5""","36' 5""","-","-","-"
"7/22/2018","The Open Championship","T39","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT",".535","66.67","100.00","12.50","37.50","42' 0""","48' 1""","58' 4""","35' 9""","25' 11""","-","94' 6""","28' 3""","45' 2""","5' 9""","7' 11""","-","6' 5""","25' 6""","17' 2""","26' 4""","44' 11""","60' 9""","-","-","-","48' 1""","-","60' 9""","57' 3""","49' 0""","55' 7""","20' 10""","20' 10""","-","-","-","-"
"6/17/2018","U.S. Open","CUT",".165","50.00","80.00",".00",".00","48' 4""","66' 4""","68' 10""","61' 4""","42' 11""","47' 7""","55' 6""","69' 9""","74' 9""","-","40' 9""","46' 11""","44' 10""","17' 5""","42' 6""","27' 9""","62' 1""","-","26' 5""","-","-","66' 4""","-","26' 5""","100' 10""","44' 3""","87' 2""","75' 9""","75' 9""","-","-","-","-"
"6/10/2018","FedEx St. Jude Classic","T56",".726","66.67","75.00","16.67","66.67","31' 2""","36' 11""","38' 10""","35' 9""","24' 7""","-","-","41' 1""","29' 4""","-","11' 5""","12' 5""","12' 0""","20' 0""","31' 10""","27' 11""","31' 0""","-","-","19' 1""","27' 9""","37' 2""","35' 2""","23' 5""","59' 10""","40' 7""","35' 3""","40' 3""","50' 4""","52' 9""","17' 7""","-","-"
"6/3/2018","the Memorial Tournament","T37",".181","68.06","87.50","35.71","50.00","30' 8""","28' 1""","39' 3""","19' 9""","29' 7""","106' 11""","67' 11""","56' 0""","21' 8""","-","-","16' 5""","16' 5""","21' 1""","19' 3""","28' 2""","56' 6""","-","-","55' 5""","-","28' 1""","-","55' 5""","-","29' 2""","16' 6""","32' 5""","32' 5""","-","-","1","5"
"5/13/2018","THE PLAYERS Championship","CUT","-1.283","72.22","80.00","37.50","75.00","42' 10""","41' 4""","40' 3""","42' 4""","36' 7""","-","-","72' 10""","-","-","9' 7""","8' 9""","9' 2""","24' 10""","33' 3""","37' 9""","72' 10""","35' 10""","-","44' 4""","-","43' 3""","31' 8""","41' 6""","75' 1""","-","-","24' 2""","16' 7""","-","31' 8""","1","12"
"5/6/2018","Wells Fargo Championship","T9",".344","70.83","95.00","10.53","42.11","44' 5""","48' 0""","43' 0""","54' 7""","38' 5""","98' 8""","123' 7""","74' 5""","42' 10""","-","20' 7""","8' 7""","11' 7""","31' 2""","21' 4""","47' 1""","66' 9""","109' 8""","73' 7""","46' 7""","31' 4""","48' 11""","35' 9""","66' 11""","36' 5""","41' 10""","38' 3""","35' 6""","35' 3""","35' 9""","-","1","11"
"4/22/2018","Valero Texas Open","CUT","-2.724","47.22","83.33","20.00","50.00","51' 11""","44' 8""","42' 8""","46' 9""","47' 3""","92' 3""","81' 0""","44' 1""","47' 8""","-","-","17' 1""","17' 1""","43' 5""","27' 8""","50' 2""","69' 5""","-","-","-","-","46' 11""","38' 1""","-","-","42' 8""","-","46' 9""","55' 5""","38' 1""","-","1","11"
"4/15/2018","RBC Heritage","T3","1.811","66.67","80.00","15.38","53.85","31' 10""","30' 2""","36' 9""","26' 3""","26' 8""","-","101' 9""","32' 8""","40' 4""","-","10' 8""","16' 3""","15' 5""","28' 0""","20' 9""","26' 5""","45' 5""","-","-","81' 9""","60' 6""","30' 2""","-","71' 2""","-","10' 2""","0""","26' 4""","26' 4""","-","-","2","148"
"4/1/2018","Houston Open","T24",".451","81.94","88.89","11.76","64.71","36' 2""","27' 8""","35' 1""","22' 1""","38' 4""","49' 3""","78' 1""","78' 11""","38' 10""","-","11' 2""","21' 10""","18' 3""","25' 6""","42' 7""","32' 0""","56' 8""","-","75' 1""","-","57' 2""","30' 10""","8' 6""","66' 2""","22' 3""","23' 7""","24' 8""","14' 4""","-","-","14' 4""","1","13"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7","1.807","73.61","93.75","37.50","62.50","38' 3""","52' 1""","52' 6""","51' 4""","31' 5""","-","67' 4""","26' 1""","38' 4""","-","23' 2""","14' 5""","16' 2""","16' 10""","23' 10""","25' 4""","44' 7""","146' 5""","37' 11""","-","-","52' 1""","-","74' 1""","52' 5""","44' 11""","41' 1""","-","-","-","-","1","7"
"3/11/2018","Valspar Championship","T16",".752","63.89","81.25","7.69","38.46","39' 1""","47' 9""","54' 2""","44' 7""","35' 11""","88' 9""","-","43' 4""","44' 3""","-","52' 6""","18' 6""","27' 0""","33' 3""","22' 5""","33' 7""","53' 7""","55' 7""","108' 0""","19' 11""","49' 7""","49' 7""","22' 3""","55' 5""","101' 3""","32' 8""","40' 7""","22' 3""","-","22' 3""","-","1","6"
"2/25/2018","The Honda Classic","2","1.039","65.28","75.00","16.67","50.00","39' 2""","42' 1""","46' 7""","33' 11""","32' 11""","-","73' 2""","64' 3""","26' 4""","-","13' 11""","23' 0""","19' 1""","20' 11""","41' 5""","29' 1""","52' 3""","-","-","-","88' 6""","42' 1""","-","88' 6""","42' 4""","47' 3""","36' 9""","16' 7""","16' 7""","-","-","1","13"
"2/18/2018","Genesis Open","T26","-.062","51.39","68.75","9.09","54.55","38' 7""","43' 8""","43' 1""","44' 3""","33' 9""","45' 6""","87' 3""","52' 8""","38' 0""","9' 1""","18' 3""","25' 2""","20' 2""","16' 9""","35' 5""","32' 1""","54' 3""","94' 2""","-","76' 9""","77' 4""","46' 9""","20' 8""","80' 7""","45' 0""","37' 5""","23' 11""","29' 11""","37' 7""","18' 6""","-","1","7"
"2/4/2018","Waste Management Phoenix","T26",".701","75.00","68.75","54.55","81.82","38' 2""","41' 10""","30' 8""","52' 11""","27' 5""","-","-","96' 2""","29' 5""","-","20' 8""","11' 5""","17' 7""","20' 4""","29' 2""","32' 1""","38' 11""","-","36' 9""","82' 1""","35' 8""","41' 10""","-","51' 6""","61' 8""","24' 11""","46' 0""","45' 6""","45' 6""","-","-","1","28"
"1/28/2018","Farmers Insurance Open","T12","-.033","69.44","66.67","11.11","55.56","39' 4""","42' 10""","45' 11""","40' 5""","34' 9""","56' 5""","-","52' 0""","44' 2""","-","12' 11""","15' 1""","14' 2""","29' 7""","44' 10""","40' 0""","50' 2""","-","70' 1""","70' 3""","-","44' 6""","17' 5""","70' 2""","35' 4""","39' 0""","33' 2""","17' 5""","-","-","17' 5""","1","6"
"1/21/2018","CareerBuilder Challenge","CUT","-1.643","62.96","100.00","50.00","50.00","35' 4""","28' 10""","28' 8""","28' 10""","45' 1""","-","47' 4""","57' 10""","70' 1""","-","-","-","-","21' 10""","34' 0""","41' 8""","58' 3""","-","-","59' 10""","-","35' 3""","16' 1""","59' 10""","-","-","27' 0""","16' 8""","-","-","16' 8""","-","-"
"1/14/2018","Sony Open in Hawaii","CUT","-1.332","66.67","100.00",".00","83.33","43' 9""","46' 9""","50' 10""","44' 5""","31' 2""","-","-","-","62' 1""","-","15' 11""","19' 4""","18' 2""","16' 10""","35' 0""","30' 9""","62' 1""","-","-","-","54' 1""","46' 6""","49' 4""","54' 1""","52' 2""","44' 7""","44' 9""","49' 4""","-","-","49' 4""","-","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/5/2017","Shriners Hospitals","T20","-.325","62.50","76.47","31.25","56.25","41' 4""","49' 2""","46' 10""","50' 11""","30' 8""","-","-","45' 5""","50' 0""","66' 11""","14' 3""","19' 4""","29' 6""","25' 6""","18' 0""","37' 5""","48' 5""","-","91' 8""","50' 6""","62' 10""","51' 0""","40' 3""","68' 4""","89' 4""","59' 6""","26' 9""","31' 7""","22' 11""","38' 5""","45' 7""","1","15"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T5","-","76.39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T13","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
