"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","T40",".290","75.00","7' 0""","66.67","100.00","44.44",".00","50.00","60.00","100.00"
"1/20/2019","Desert Classic","CUT","-.071","20.00","5' 11""","56.25","100.00","72.73",".00","-","100.00","100.00"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T4","-.075","66.67","9' 7""","64.29","100.00","25.00",".00",".00","100.00","100.00"
"11/11/2018","Mayakoba Golf Classic","CUT","-","100.00","-","50.00","-","44.44","-","-","-","-"
"10/7/2018","Safeway Open","T4",".020","75.00","12' 5""","75.00","100.00","60.00","100.00","50.00","77.78","75.00"
"9/9/2018","BMW Championship","T45",".300","66.67","4' 7""","66.67","100.00","66.67","20.00","100.00","75.00","100.00"
"9/3/2018","Dell Technologies Champ","CUT","-.603",".00","37' 5""","62.50","-","60.00",".00",".00","100.00","66.67"
"8/26/2018","THE NORTHERN TRUST","T48",".253","60.00","8' 5""","36.36","100.00","28.57",".00","60.00","27.27","66.67"
"8/12/2018","PGA Championship","CUT",".880","33.33","10' 7""","42.86","-",".00","50.00",".00","50.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T24",".392","57.14","5' 4""","47.62","-","50.00",".00","42.86","50.00","75.00"
"7/22/2018","The Open Championship","T39","-","50.00","-","48.00","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT",".720","100.00","4' 7""","66.67","100.00","33.33","50.00",".00","80.00","75.00"
"6/17/2018","U.S. Open","CUT",".194","20.00","9' 2""","44.44","33.33","33.33","40.00","33.33","50.00","100.00"
"6/10/2018","FedEx St. Jude Classic","T56",".286","50.00","6' 4""","54.17","100.00","33.33",".00","100.00","63.64","83.33"
"6/3/2018","the Memorial Tournament","T37",".010","40.00","8' 5""","60.87","100.00","61.54","100.00","28.57","83.33","75.00"
"5/13/2018","THE PLAYERS Championship","CUT","-.603","60.00","5' 8""","40.00","-","50.00",".00","50.00","50.00","-"
"5/6/2018","Wells Fargo Championship","T9",".555","33.33","7' 7""","66.67","100.00","70.00","33.33","80.00","70.00","66.67"
"4/22/2018","Valero Texas Open","CUT","1.566","50.00","9' 1""","57.89","50.00","62.50",".00","75.00","61.54",".00"
"4/15/2018","RBC Heritage","T3",".305","66.67","5' 7""","58.33","100.00","60.00","33.33",".00","46.15","100.00"
"4/1/2018","Houston Open","T24",".499","50.00","4' 9""","61.54","100.00","50.00","50.00","100.00","40.00","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7","-.147","66.67","12' 8""","68.42","100.00","100.00",".00","66.67","62.50","100.00"
"3/11/2018","Valspar Championship","T16","-.201","37.50","14' 11""","69.23","100.00","66.67","-","66.67","63.64","77.78"
"2/25/2018","The Honda Classic","2","1.182","87.50","6' 10""","80.00","-","78.57","75.00","77.78","87.50","100.00"
"2/18/2018","Genesis Open","T26",".996","66.67","7' 10""","71.43","66.67","81.82","40.00","50.00","70.59","100.00"
"2/4/2018","Waste Management Phoenix","T26",".724",".00","23' 11""","50.00","100.00","33.33",".00","60.00","33.33","100.00"
"1/28/2018","Farmers Insurance Open","T12","1.233","50.00","4' 6""","59.09","100.00","63.64",".00",".00","55.56","100.00"
"1/21/2018","CareerBuilder Challenge","CUT","-2.524","50.00","21' 4""","55.00","-","54.55","100.00",".00","50.00","66.67"
"1/14/2018","Sony Open in Hawaii","CUT","1.053","60.00","5' 2""","50.00","50.00","33.33",".00","50.00","50.00","100.00"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","-","33.33","-","37.50","-","-","-","-"
"11/5/2017","Shriners Hospitals","T20",".242","66.67","8' 11""","62.96","100.00","28.57","25.00","75.00","81.82","75.00"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T5","-","42.86","-","58.82","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T13","-","80.00","-","57.14","-","-","-","-","-","-"
"10/8/2017","Safeway Open","T37","-.494","33.33","13' 2""","63.64","100.00","60.00","50.00","50.00","75.00","66.67"
"9/17/2017","BMW Championship","T20","-.480","50.00","8' 6""","50.00","100.00","55.56","50.00",".00","66.67","66.67"
"9/4/2017","Dell Technologies Champ","T47","-.278","25.00","7' 9""","31.58",".00","16.67",".00","33.33","25.00","66.67"
"8/27/2017","THE NORTHERN TRUST","T34",".150","66.67","1' 10""","66.67","100.00","66.67",".00","100.00","71.43","100.00"
"8/13/2017","PGA Championship","CUT",".776","42.86","6' 9""","42.11","-","50.00","66.67","42.86","28.57","50.00"
"8/6/2017","Barracuda Championship","T29","-","-","-","-","-","-","-","-","-","-"
"7/30/2017","RBC Canadian Open","T30","-.499","33.33","6' 5""","64.71","100.00","58.33","-","50.00","50.00","85.71"
"7/16/2017","John Deere Classic","T68",".737","33.33","8' 0""","38.10","100.00","37.50",".00","66.67","37.50","60.00"
"7/9/2017","The Greenbrier Classic","CUT","-.019",".00","10' 2""","50.00","-","40.00","-",".00","66.67","66.67"
"7/2/2017","Quicken Loans National","CUT","-.318",".00","19' 6""","42.86","100.00","50.00",".00","33.33","50.00","100.00"
"6/11/2017","FedEx St. Jude Classic","T18",".629","100.00","1' 11""","44.44","100.00","28.57","12.50","100.00","33.33","100.00"
"6/4/2017","the Memorial Tournament","CUT","-.138","50.00","9' 2""","43.75","-","40.00","100.00","50.00","25.00","75.00"
"5/28/2017","DEAN & DELUCA Invt'l","CUT","-.294",".00","7' 7""","27.27","50.00","50.00","50.00",".00","16.67","100.00"
"5/14/2017","THE PLAYERS Championship","CUT","-1.666","30.00","12' 0""","52.38","100.00","33.33","50.00","50.00","44.44","100.00"
"5/7/2017","Wells Fargo Championship","T52",".284","40.00","9' 3""","61.54","100.00","62.50","28.57","60.00","66.67","100.00"
"4/23/2017","Valero Texas Open","CUT","-.389",".00","14' 6""","37.50","-","57.14",".00","25.00","37.50","100.00"
"4/16/2017","RBC Heritage","CUT","1.004",".00","11' 8""","53.33","100.00","50.00",".00","25.00","71.43","100.00"
"4/2/2017","Shell Houston Open","T3",".048","62.50","11' 4""","85.71","100.00","75.00","50.00","100.00","85.71","100.00"
"3/26/2017","Puerto Rico Open","T37","-","100.00","-","88.89","-","87.50","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T17","-.514","50.00","11' 9""","65.38","100.00","66.67","75.00","80.00","61.54","100.00"
"3/12/2017","Valspar Championship","T27",".113","37.50","10' 7""","66.67","80.00","72.73",".00","100.00","70.59","80.00"
"2/26/2017","The Honda Classic","T52",".955","70.00","6' 9""","51.85","-","50.00",".00","60.00","64.29","100.00"
"2/19/2017","Genesis Open","CUT",".312",".00","10' 7""","33.33",".00","60.00","-","50.00","33.33",".00"
"2/5/2017","Waste Management Phoenix","CUT",".988","50.00","5' 8""","55.56","-","50.00",".00","100.00","100.00","100.00"
"1/29/2017","Farmers Insurance Open","CUT","-.489","40.00","10' 10""","63.64","-","100.00","-",".00","66.67","-"
"1/22/2017","CareerBuilder Challenge","T41","-.726","50.00","-","45.00","-","45.45",".00","66.67","33.33",".00"
"1/15/2017","Sony Open in Hawaii","T13","-.067","66.67","8' 10""","63.16","100.00","33.33","50.00","50.00","60.00","100.00"
"11/20/2016","The RSM Classic","T13","-.367","100.00","1' 11""","84.21","100.00","57.14","100.00","85.71","60.00","100.00"
