"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","T40","1.736","1.171","314.5","310.0","332","51.79","37' 11""","19.05","19.05","45","123.48","88"
"1/20/2019","Desert Classic","CUT",".466",".988","310.8","297.0","333","57.14","28' 5""","21.43","35.71","1,998","-","-"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T4","1.690","1.256","298.0","288.5","325","71.43","19' 8""","9.52","7.14","61","120.30","77"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","314.8","-","318","53.57","-","-","-","1,998","-","-"
"10/7/2018","Safeway Open","T4","1.901","1.466","339.5","307.6","398","48.21","34' 4""","14.55","30.91","55","119.35","62"
"9/9/2018","BMW Championship","T45","-.007",".677","306.0","304.1","342","67.86","26' 6""","20.00","5.45","47","123.75","73"
"9/3/2018","Dell Technologies Champ","CUT",".500","-.142","313.8","294.7","349","50.00","35' 8""","7.41","18.52","1,998","118.77","1,998"
"8/26/2018","THE NORTHERN TRUST","T48",".804",".782","295.3","296.9","338","51.79","37' 1""","17.86","16.07","89","121.45","79"
"8/12/2018","PGA Championship","CUT","1.799",".622","311.5","312.3","352","53.57","34' 9""","18.52","14.81","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T24","1.122","1.410","339.9","328.1","406","48.21","32' 9""","30.36","21.43","37","122.57","32"
"7/22/2018","The Open Championship","T39","-","-","322.5","-","339","51.67","-","-","-","56","-","-"
"6/24/2018","Travelers Championship","CUT","1.424",".168","313.0","297.2","351","39.29","30' 8""","25.93","25.93","1,998","119.53","1,998"
"6/17/2018","U.S. Open","CUT",".341","-.018","309.8","303.9","350","53.57","-","21.43","14.29","1,998","-","-"
"6/10/2018","FedEx St. Jude Classic","T56","1.112",".099","305.4","301.5","350","53.57","28' 2""","10.71","25.00","54","121.74","91"
"6/3/2018","the Memorial Tournament","T37","1.305","1.114","304.3","300.3","348","66.07","35' 9""","10.91","14.55","55","122.28","86"
"5/13/2018","THE PLAYERS Championship","CUT","-.919",".968","302.5","294.5","337","57.14","34' 5""","7.14","10.71","1,998","120.59","1,998"
"5/6/2018","Wells Fargo Championship","T9","2.645","1.746","337.4","321.3","369","50.00","15' 9""","17.86","12.50","48","124.29","40"
"4/22/2018","Valero Texas Open","CUT",".889","2.047","329.8","306.5","346","64.29","26' 5""","10.71","7.14","1,998","119.57","1,998"
"4/15/2018","RBC Heritage","T3","2.754",".637","297.8","283.6","348","62.50","35' 1""","5.45","12.73","43","121.29","48"
"4/1/2018","Houston Open","T24","1.978","1.028","306.6","297.6","346","64.29","33' 7""","7.27","14.55","46","122.01","75"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7","2.598",".938","301.5","291.8","367","62.50","39' 0""","18.18","14.55","71","121.63","88"
"3/11/2018","Valspar Championship","T16","1.758","1.207","329.0","291.4","374","57.69","25' 8""","11.76","23.53","27","124.38","103"
"2/25/2018","The Honda Classic","2","2.791",".570","319.9","284.6","345","53.57","27' 10""","21.82","10.91","67","122.74","99"
"2/18/2018","Genesis Open","T26",".557","-.377","310.1","297.3","341","44.64","31' 11""","24.07","18.52","68","120.47","106"
"2/4/2018","Waste Management Phoenix","T26","1.938",".513","317.3","316.2","349","44.64","31' 0""","12.50","16.07","74","120.43","52"
"1/28/2018","Farmers Insurance Open","T12","2.144",".944","317.3","311.0","359","53.57","32' 11""","23.81","19.05","29","120.97","36"
"1/21/2018","CareerBuilder Challenge","CUT","-3.592",".575","324.0","294.4","345","45.24","51' 6""","7.14","35.71","1,998","-","-"
"1/14/2018","Sony Open in Hawaii","CUT",".103",".382","313.8","306.4","356","46.43","20' 0""","17.86","25.00","1,998","118.80","1,998"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","295.8","-","341","42.86","-","-","-","1,998","-","-"
"11/5/2017","Shriners Hospitals","T20",".921","1.004","331.5","314.0","389","41.07","48' 4""","19.64","28.57","80","120.05","44"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T5","-","-","-","-","-","71.43","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T13","-","-","-","-","-","71.43","-","-","-","-","-","-"
"10/8/2017","Safeway Open","T37","1.027","1.281","313.9","305.7","393","44.64","30' 0""","19.64","28.57","74","120.92","111"
"9/17/2017","BMW Championship","T20","1.263","1.454","319.9","306.6","368","60.71","50' 1""","12.50","10.71","34","121.62","91"
"9/4/2017","Dell Technologies Champ","T47","-.389","-.883","301.1","289.0","334","55.36","33' 4""","14.29","7.14","78","119.71","101"
"8/27/2017","THE NORTHERN TRUST","T34","2.088",".610","303.6","299.9","357","69.64","20' 10""","8.93","12.50","36","118.59","25"
"8/13/2017","PGA Championship","CUT",".525",".941","324.5","313.5","346","42.86","39' 8""","23.08","15.38","1,998","-","-"
"8/6/2017","Barracuda Championship","T29","-","-","-","-","-","-","-","-","-","-","-","-"
"7/30/2017","RBC Canadian Open","T30","2.402",".931","313.9","308.1","376","50.00","39' 9""","20.00","20.00","64","123.13","106"
"7/16/2017","John Deere Classic","T68",".834",".905","300.3","299.0","348","67.86","38' 5""","3.64","20.00","77","122.68","21"
"7/9/2017","The Greenbrier Classic","CUT","2.338","1.163","325.3","304.0","348","64.29","18' 10""","21.43","7.14","1,998","121.20","1,998"
"7/2/2017","Quicken Loans National","CUT",".740",".060","323.8","295.5","354","53.57","23' 0""","21.43","7.14","1,998","118.98","-"
"6/11/2017","FedEx St. Jude Classic","T18","2.788",".319","317.0","296.1","345","51.79","24' 7""","16.07","23.21","54","120.75","21"
"6/4/2017","the Memorial Tournament","CUT","-.263",".200","303.5","296.0","359","57.14","35' 2""","10.71","25.00","1,998","121.12","1,998"
"5/28/2017","DEAN & DELUCA Invt'l","CUT","-.091",".659","316.5","294.0","362","46.43","36' 10""","34.62","7.69","1,998","125.36","1,998"
"5/14/2017","THE PLAYERS Championship","CUT","-1.639","1.342","298.8","297.3","332","53.57","44' 3""",".00","17.86","1,998","119.13","1,998"
"5/7/2017","Wells Fargo Championship","T52","1.271",".882","305.4","303.3","389","53.57","35' 0""","8.93","16.07","64","118.04","72"
"4/23/2017","Valero Texas Open","CUT","-.719",".579","317.5","311.2","362","53.57","38' 1""","26.92",".00","1,998","120.71","1,998"
"4/16/2017","RBC Heritage","CUT",".363","-.064","296.0","284.8","317","50.00","30' 4""","25.93","7.41","1,998","122.75","1,998"
"4/2/2017","Shell Houston Open","T3","2.417","1.555","305.0","297.6","348","55.36","39' 5""","18.18","14.55","57","121.34","9"
"3/26/2017","Puerto Rico Open","T37","-","-","311.3","-","326","46.43","-","-","-","71","-","-"
"3/19/2017","Arnold Palmer Invt'l","T17",".540",".441","305.9","287.1","368","66.07","27' 4""","5.36","16.07","43","120.01","46"
"3/12/2017","Valspar Championship","T27","1.187",".424","298.8","283.1","350","53.85","37' 0""","15.38","13.46","66","120.22","112"
"2/26/2017","The Honda Classic","T52","1.799",".094","301.8","283.5","347","51.79","28' 9""","14.29","23.21","77","120.60","40"
"2/19/2017","Genesis Open","CUT","1.279",".696","303.8","286.1","348","53.57","21' 2""","17.86","10.71","1,998","123.33","1,998"
"2/5/2017","Waste Management Phoenix","CUT","1.102",".291","335.3","317.9","352","46.43","38' 6""","7.14","21.43","1,998","122.72","1,998"
"1/29/2017","Farmers Insurance Open","CUT","2.441","1.422","303.0","304.0","332","42.86","33' 6""","14.29","14.29","1,998","122.31","1,998"
"1/22/2017","CareerBuilder Challenge","T41",".951","1.059","312.4","286.3","340","62.50","32' 10""","14.29","25.00","43","120.36","9"
"1/15/2017","Sony Open in Hawaii","T13",".659",".319","308.4","298.7","355","57.14","25' 0""","14.81","16.67","73","120.55","112"
"11/20/2016","The RSM Classic","T13","-.158","-.088","311.9","286.3","350","57.14","35' 9""","12.20","12.20","67","119.68","39"
"11/13/2016","OHL Classic at Mayakoba","T7","-","-","318.0","-","355","67.86","-","-","-","37","-","-"
"11/6/2016","Shriners Hospitals","T15","1.536",".844","335.4","303.0","356","57.14","35' 1""","16.07","14.29","28","119.72","39"
"10/30/2016","Sanderson Farms Champ.","T2","2.819",".871","335.3","307.9","363","53.57","38' 7""","12.73","23.64","31","120.54","94"
"10/16/2016","Safeway Open","T26",".018",".389","301.9","284.0","326","42.86","30' 8""","21.82","29.09","72","119.16","32"
"8/28/2016","The Barclays","CUT","-1.322",".136","292.8","309.7","371","32.14","37' 5""","22.22","25.93","1,998","125.21","1,998"
"8/21/2016","Wyndham Championship","CUT","-.298","-1.908","312.3","285.9","364","46.43","31' 7""","25.93","25.93","1,998","126.43","1,998"
"8/14/2016","John Deere Classic","T56",".914",".454","310.4","295.1","344","57.14","29' 5""","21.82","10.91","77","125.24","65"
"8/7/2016","Travelers Championship","CUT","-.361","-.371","313.5","294.1","329","42.86","26' 3""","30.77","11.54","1,998","120.27","1,998"
"7/24/2016","RBC Canadian Open","T14","1.487","1.016","324.3","318.1","389","46.43","34' 5""","16.36","27.27","58","123.06","113"
"7/17/2016","Barbasol Championship","T20","1.296","1.032","299.1","289.8","368","66.07","25' 7""","16.07","12.50","46","120.15","114"
"7/3/2016","Barracuda Championship","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"6/26/2016","Quicken Loans National","CUT","-1.391",".725","312.0","300.0","331","60.71","49' 0""","26.92","7.69","1,998","123.87","1,998"
"6/12/2016","FedEx St. Jude Classic","T50","1.292",".378","319.1","297.2","341","41.07","38' 5""","14.29","30.36","72","121.45","75"
"5/22/2016","AT&T Byron Nelson","CUT","-.761",".610","299.0","298.8","326","46.43","46' 3""","33.33","11.11","1,998","123.89","1,998"
"5/8/2016","Wells Fargo Championship","CUT","1.104","1.539","294.5","309.9","374","50.00","29' 5""","21.43","17.86","1,998","121.83","1,998"
"5/1/2016","Zurich Classic of New Orl","CUT",".239",".700","308.5","285.8","360","64.29","45' 6""","11.54","7.69","1,998","122.25","1,998"
"4/24/2016","Valero Texas Open","T29","1.272",".597","302.1","300.5","346","42.86","37' 3""","5.56","18.52","74","123.31","126"
"4/17/2016","RBC Heritage","T39",".136",".060","295.1","276.0","355","55.36","32' 6""","9.26","16.67","47","120.98","71"
"4/3/2016","Shell Houston Open","T27",".935",".193","307.3","291.6","356","48.21","49' 7""","11.11","22.22","73","121.09","100"
