"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","T40","-1.207","86.7","1.843","1.667","33.33","2.78","30.00","28.00","31.00","32.00","29.00","100.00","100.00",".00","33.33",".00","33.33","100.00","50.00","22.22","85.25","12.50","16.67",".00",".00","18' 11""","1' 10""","50' 8""","27.45"
"1/20/2019","Desert Classic","CUT","2.594","-","1.737","1.574","44.44","1.85","28.33","32.00","29.00","24.00","-","100.00","100.00","-","100.00","-","-","-","100.00","100.00","100.00",".00",".00","66.67",".00","24' 6""","2' 0""","103' 9""","39.47"
"12/9/2018","(*) QBE Shootout","T3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/18/2018","The RSM Classic","T4","1.053","59.3","1.672","1.597","41.67","1.39","28.75","27.00","30.00","29.00","29.00","100.00","100.00","100.00","66.67","80.00","50.00",".00",".00","76.92","88.00","50.00","33.33","20.00","6.67","27' 7""","1' 11""","89' 9""","37.93"
"11/11/2018","Mayakoba Golf Classic","CUT","-","-","1.750","1.611","41.67","2.78","29.00","30.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","29.17"
"10/7/2018","Safeway Open","T4",".706","84.6","1.804","1.653","36.11","4.17","29.75","31.00","28.00","32.00","28.00","100.00","50.00","85.71","50.00","66.67","75.00",".00",".00","70.00","87.32","54.55","25.00","11.11","4.17","32' 9""","2' 5""","75' 2""","30.36"
"9/9/2018","BMW Championship","T45","-.860","96.0","1.852","1.694","31.94","4.17","30.50","32.00","31.00","30.00","29.00","98.04","85.71","80.00","100.00","33.33","33.33","50.00",".00","64.29","84.62","40.00","20.00",".00","7.41","33' 9""","2' 0""","64' 5""","24.07"
"9/3/2018","Dell Technologies Champ","CUT","-2.511","-","2.000","1.861","22.22","8.33","33.50","32.00","35.00","-","-","100.00","80.00","100.00","-","66.67","50.00",".00",".00","66.67","80.95",".00","40.00",".00",".00","19' 9""","4' 0""","64' 6""","17.86"
"8/26/2018","THE NORTHERN TRUST","T48","-.661","106.5","1.740","1.639","33.33","2.78","29.50","31.00","29.00","29.00","29.00","100.00","87.50","72.73","66.67","50.00",".00",".00","66.67","55.00","82.67","33.33","25.00","30.77",".00","22' 11""","2' 3""","76' 0""","32.00"
"8/12/2018","PGA Championship","CUT","-1.813","-","1.931","1.806","22.22","8.33","32.50","33.00","32.00","-","-","100.00","60.00","100.00","50.00",".00","-","33.33",".00","66.67","82.50",".00","25.00",".00",".00","20' 0""","2' 5""","56' 10""","17.24"
"8/5/2018","WGC-Bridgestone Invit'l","T24","-.467","89.8","1.765","1.639","37.50","4.17","29.50","26.00","32.00","28.00","32.00","97.87","57.14","60.00","66.67","100.00","50.00","100.00","33.33","66.67","85.33","20.00","33.33","12.50","11.76","30' 5""","1' 10""","77' 5""","33.33"
"7/22/2018","The Open Championship","T39","-","-","1.830","1.694","30.56","2.78","30.50","29.00","34.00","32.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.79"
"6/24/2018","Travelers Championship","CUT","-1.039","-","1.875","1.639","30.56",".00","29.50","31.00","28.00","-","-","100.00","100.00","100.00","66.67","50.00","33.33",".00","-","60.00","87.18","25.00",".00",".00",".00","11' 8""","1' 11""","46' 6""","16.67"
"6/17/2018","U.S. Open","CUT","-1.306","-","1.944","1.778","33.33","11.11","32.00","34.00","30.00","-","-","100.00","100.00","66.67","100.00","33.33","33.33",".00",".00","50.00","82.05","16.67","33.33",".00","10.00","28' 7""","4' 5""","74' 2""","16.67"
"6/10/2018","FedEx St. Jude Classic","T56","-1.167","97.5","1.833","1.681","33.33","4.17","30.25","30.00","30.00","36.00","25.00","97.87","100.00","85.71","100.00","40.00",".00","20.00","40.00","62.50","82.50","27.27",".00","25.00",".00","24' 6""","2' 3""","65' 5""","25.00"
"6/3/2018","the Memorial Tournament","T37","-.439","91.3","1.796","1.597","37.50","2.78","28.75","33.00","27.00","25.00","30.00","100.00","90.00","100.00","77.78","66.67","66.67",".00",".00","80.95","85.71","27.27","20.00",".00",".00","16' 6""","2' 2""","61' 3""","32.65"
"5/13/2018","THE PLAYERS Championship","CUT",".562","-","1.769","1.639","33.33","2.78","29.50","30.00","29.00","-","-","100.00","75.00","66.67","100.00","66.67","-",".00",".00","77.78","80.56","50.00","50.00","-",".00","16' 5""","2' 5""","81' 11""","28.00"
"5/6/2018","Wells Fargo Championship","T9","-.476","97.4","1.784","1.653","34.72","2.78","29.75","30.00","30.00","30.00","29.00","100.00","80.00","87.50","42.86",".00","50.00","50.00","50.00","52.38","82.05","20.00","42.86",".00","15.38","58' 8""","2' 4""","85' 3""","26.00"
"4/22/2018","Valero Texas Open","CUT","-1.097","-","1.824","1.583","38.89","2.78","28.50","29.00","28.00","-","-","100.00","100.00","66.67","100.00","33.33","50.00","-","-","60.00","89.47",".00","33.33",".00",".00","19' 0""","1' 11""","50' 9""","35.29"
"4/15/2018","RBC Heritage","T3","-.174","76.9","1.625","1.514","43.06",".00","27.25","29.00","25.00","27.00","28.00","100.00","80.00","66.67","75.00","16.67","33.33","-","100.00","43.75","85.92","35.29","28.57",".00","11.11","37' 5""","1' 8""","71' 5""","38.30"
"4/1/2018","Houston Open","T24","-.832","98.8","1.780","1.681","33.33","4.17","30.25","31.00","30.00","27.00","33.00","97.78","90.00","75.00","75.00","50.00","60.00","50.00","100.00","68.42","88.31","14.29","20.00","11.11",".00","22' 3""","2' 5""","60' 5""","27.59"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7","-.605","116.4","1.849","1.681","34.72","5.56","30.25","30.00","29.00","32.00","30.00","100.00","100.00","80.00","57.14",".00","66.67",".00","-","66.67","89.33","22.22","11.11",".00","4.35","73' 6""","2' 8""","73' 3""","32.08"
"3/11/2018","Valspar Championship","T16","-.294","84.6","1.804","1.569","41.67","1.39","28.25","27.00","28.00","30.00","28.00","100.00","100.00","80.00","100.00","25.00","50.00","50.00","-","64.71","90.67","28.57",".00",".00","5.56","41' 4""","2' 0""","57' 6""","23.91"
"2/25/2018","The Honda Classic","2","1.254","42.6","1.723","1.514","45.83",".00","27.25","29.00","27.00","26.00","27.00","100.00","100.00","83.33","75.00","100.00","66.67","100.00","100.00","76.47","94.20","33.33","22.22",".00",".00","17' 4""","2' 1""","74' 1""","29.79"
"2/18/2018","Genesis Open","T26",".524","81.5","1.703","1.458","52.78","1.39","26.25","28.00","29.00","27.00","21.00","100.00","100.00","72.73","100.00","50.00",".00","50.00","33.33","75.00","89.04","27.27",".00","12.50","18.18","36' 11""","2' 2""","75' 11""","35.14"
"2/4/2018","Waste Management Phoenix","T26","-.676","95.6","1.796","1.708","29.17","2.78","30.75","30.00","32.00","33.00","28.00","100.00","100.00","62.50","16.67","100.00","100.00","50.00","66.67","57.89","85.71","22.22","20.00","16.67","3.85","41' 6""","2' 6""","73' 9""","31.48"
"1/28/2018","Farmers Insurance Open","T12","-.260","94.7","1.800","1.639","34.72","4.17","29.50","31.00","23.00","33.00","31.00","97.14","80.00","75.00","50.00","50.00","100.00","100.00",".00","63.64","87.27","23.08","20.00","-",".00","15' 11""","2' 6""","63' 9""","32.00"
"1/21/2018","CareerBuilder Challenge","CUT",".435","-","1.735","1.556","40.74",".00","28.00","27.00","28.00","29.00","-","100.00","100.00","100.00","100.00",".00","-","-",".00","66.67","88.24","100.00",".00",".00","16.67","28' 8""","2' 11""","78' 5""","38.24"
"1/14/2018","Sony Open in Hawaii","CUT","-1.387","-","1.750","1.611","41.67","2.78","29.00","32.00","26.00","-","-","100.00","66.67","100.00","80.00","100.00",".00",".00","-","77.78","90.00",".00",".00",".00",".00","6' 5""","1' 9""","39' 11""","29.17"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","1.750","1.694","33.33","2.78","30.50","30.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","29.17"
"11/5/2017","Shriners Hospitals","T20",".300","107.7","1.778","1.597","41.67","4.17","28.75","28.00","27.00","32.00","28.00","100.00","88.89","80.00","100.00","50.00","66.67","25.00",".00","69.23","87.32","44.44","12.50","44.44",".00","24' 5""","3' 2""","82' 9""","37.78"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T5","-","-","1.891","1.764","30.56","6.94","31.75","30.00","29.00","35.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.73"
"10/15/2017","CIMB Classic","T13","-","-","1.686","1.528","40.28","1.39","27.50","29.00","27.00","25.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","43.14"
"10/8/2017","Safeway Open","T37","-.157","78.3","1.800","1.639","40.28","4.17","29.50","31.00","28.00","31.00","28.00","97.78","90.91","85.71","33.33","75.00","100.00","-","-","76.47","91.78","20.00",".00","33.33",".00","24' 5""","1' 11""","63' 6""","30.00"
"9/17/2017","BMW Championship","T20","-.648","81.8","1.673","1.569","44.44","1.39","28.25","30.00","29.00","25.00","29.00","97.78","100.00","100.00","50.00","60.00","60.00",".00","25.00","64.71","85.53","33.33","12.50",".00","11.11","29' 1""","1' 10""","67' 6""","38.46"
"9/4/2017","Dell Technologies Champ","T47",".142","83.1","1.774","1.667","37.50","4.17","30.00","27.00","30.00","34.00","29.00","100.00","60.00","83.33","50.00","66.67","80.00","66.67","100.00","72.22","89.04","71.43",".00","7.69","4.76","29' 3""","2' 8""","74' 5""","33.96"
"8/27/2017","THE NORTHERN TRUST","T34","-1.595","116.3","2.000","1.792","29.17","11.11","32.25","33.00","35.00","29.00","32.00","96.00","66.67","100.00","-","25.00","50.00","50.00","75.00","68.75","85.19",".00","20.00",".00",".00","19' 11""","2' 9""","57' 6""","18.52"
"8/13/2017","PGA Championship","CUT","-.855","-","1.824","1.694","36.11","5.56","30.50","32.00","29.00","-","-","96.00","50.00","75.00","50.00","25.00","50.00","50.00","-","50.00","78.05","40.00","33.33",".00","11.11","42' 11""","2' 4""","81' 7""","35.29"
"8/6/2017","Barracuda Championship","T29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/30/2017","RBC Canadian Open","T30","-1.345","114.9","1.855","1.722","30.56","5.56","31.00","33.00","30.00","28.00","33.00","98.04","71.43","100.00","33.33","50.00","100.00","60.00","20.00","63.64","83.54","33.33","15.38",".00",".00","17' 6""","2' 3""","58' 5""","36.36"
"7/16/2017","John Deere Classic","T68","-1.313","121.3","1.686","1.653","40.28","6.94","29.75","30.00","28.00","29.00","32.00","96.08","72.73","80.00","20.00","-","50.00","50.00","100.00","50.00","84.62","22.22","16.67","33.33","4.35","32' 6""","2' 0""","63' 9""","40.00"
"7/9/2017","The Greenbrier Classic","CUT","-2.366","-","1.929","1.833","22.22","5.56","33.00","32.00","34.00","-","-","100.00","100.00","33.33",".00","-","100.00","-","33.33","37.50","82.93","25.00",".00","50.00",".00","24' 8""","2' 4""","58' 5""","17.86"
"7/2/2017","Quicken Loans National","CUT","-2.461","-","1.955","1.778","22.22","5.56","32.00","31.00","33.00","-","-","100.00","100.00","75.00","50.00","50.00","50.00",".00",".00","58.33","79.55",".00",".00",".00",".00","7' 5""","2' 8""","47' 5""","9.52"
