"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","T3",".813","72.22","100.00","44.44","77.78","31' 1""","31' 1""","27' 4""","32' 1""","27' 8""","-","-","-","37' 7""","-","12' 4""","24' 7""","20' 6""","21' 0""","31' 6""","26' 9""","37' 7""","-","-","-","52' 9""","30' 8""","32' 10""","52' 9""","33' 8""","24' 5""","29' 10""","26' 9""","19' 0""","37' 1""","21' 7""","2","12"
"1/6/2019","Sentry T of C","T4","1.162","79.17","60.87","53.33","80.00","36' 3""","27' 1""","32' 11""","9' 10""","34' 11""","54' 8""","-","78' 4""","45' 1""","20' 9""","38' 2""","22' 1""","26' 3""","26' 8""","25' 0""","21' 5""","56' 6""","-","-","-","-","31' 6""","13' 11""","-","24' 7""","41' 6""","54' 2""","18' 0""","22' 2""","27' 3""","6""","-","-"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","83.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","1","-","73.61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T21","-1.376","59.72","87.50","28.57","71.43","37' 10""","48' 6""","42' 8""","53' 4""","32' 5""","-","64' 11""","44' 2""","35' 10""","32' 9""","3' 11""","25' 6""","24' 1""","25' 7""","25' 0""","36' 3""","40' 0""","-","-","56' 6""","85' 1""","50' 7""","37' 1""","66' 0""","57' 9""","28' 7""","39' 0""","33' 10""","31' 5""","60' 11""","25' 3""","-","-"
"9/9/2018","BMW Championship","T41","-.844","70.83","66.67","16.67","83.33","35' 5""","36' 3""","24' 11""","42' 8""","31' 11""","35' 11""","38' 10""","72' 3""","35' 10""","-","21' 7""","27' 9""","25' 8""","31' 9""","27' 2""","24' 1""","42' 8""","-","-","-","-","38' 3""","15' 8""","-","-","62' 1""","25' 2""","31' 10""","31' 10""","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T21",".740","76.39","81.25","15.38","46.15","37' 8""","48' 4""","17' 10""","52' 2""","34' 9""","-","86' 8""","75' 3""","43' 4""","-","5' 3""","21' 3""","18' 7""","21' 10""","15' 8""","27' 6""","58' 4""","-","-","-","56' 11""","48' 4""","-","56' 11""","88' 2""","25' 3""","23' 6""","14' 5""","14' 5""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T34",".312","73.61","50.00",".00","37.50","38' 6""","55' 4""","57' 3""","54' 5""","33' 0""","123' 1""","-","40' 0""","30' 11""","19' 9""","21' 5""","13' 1""","18' 4""","19' 1""","28' 4""","26' 4""","59' 11""","-","-","-","92' 1""","64' 4""","19' 4""","92' 1""","46' 6""","81' 7""","57' 6""","22' 6""","27' 2""","19' 4""","-","-","-"
"8/12/2018","PGA Championship","T71","-.710","62.50","30.00",".00","33.33","37' 7""","47' 11""","34' 10""","51' 5""","34' 11""","79' 1""","-","76' 3""","51' 6""","37' 3""","28' 6""","14' 10""","23' 1""","24' 11""","19' 0""","35' 0""","62' 6""","-","-","-","69' 10""","52' 9""","18' 6""","69' 10""","102' 0""","48' 11""","9' 8""","14' 8""","7' 9""","-","21' 6""","1","16"
"8/5/2018","WGC-Bridgestone Invit'l","T14","-.064","62.50","37.50","33.33","100.00","30' 11""","38' 6""","44' 8""","32' 9""","25' 4""","-","-","41' 9""","37' 1""","17' 7""","15' 6""","26' 4""","20' 10""","13' 3""","29' 11""","23' 4""","38' 0""","-","-","57' 2""","-","40' 10""","11' 8""","57' 2""","71' 11""","34' 6""","40' 4""","24' 5""","28' 1""","-","11' 8""","1","7"
"7/22/2018","The Open Championship","60","-","59.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/1/2018","Quicken Loans National","T13","-.066","70.83","66.67","25.00","87.50","36' 5""","38' 1""","41' 11""","32' 7""","32' 4""","81' 11""","-","51' 0""","52' 6""","44' 9""","26' 11""","23' 10""","26' 10""","21' 7""","22' 7""","27' 5""","57' 0""","-","94' 2""","-","-","38' 1""","-","94' 2""","33' 0""","31' 8""","33' 4""","48' 3""","48' 3""","-","-","-","-"
"6/24/2018","Travelers Championship","CUT",".343","55.56","83.33","16.67","16.67","32' 1""","33' 7""","33' 7""","-","26' 3""","-","-","43' 9""","39' 10""","-","19' 4""","12' 1""","13' 11""","16' 6""","26' 3""","26' 10""","42' 5""","-","-","-","-","33' 7""","-","-","-","39' 9""","15' 2""","-","-","-","-","1","17"
