"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","T3",".533","66.67","7' 4""","75.00","100.00","66.67","100.00","-","69.23","83.33"
"1/6/2019","Sentry T of C","T4","-.260","-","-","73.33","100.00","66.67","33.33","50.00","100.00","100.00"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","50.00","-","50.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","1","-","81.82","-","78.95","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T21",".172","45.45","8' 7""","58.62","100.00","53.85","33.33","25.00","71.43","80.00"
"9/9/2018","BMW Championship","T41",".247","40.00","7' 0""","57.14","100.00","57.14",".00","50.00","66.67","57.14"
"9/3/2018","Dell Technologies Champ","T21","-.245","50.00","6' 4""","64.71","100.00","75.00","100.00",".00","83.33","100.00"
"8/26/2018","THE NORTHERN TRUST","T34","-.265","33.33","28' 0""","57.89","66.67","85.71","20.00","60.00","66.67","100.00"
"8/12/2018","PGA Championship","T71",".342","42.86","7' 4""","48.15","100.00","22.22","25.00","66.67","50.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T14","1.423","50.00","8' 0""","66.67","100.00","70.00","25.00","60.00","55.56","100.00"
"7/22/2018","The Open Championship","60","-","85.71","-","55.17","-","-","-","-","-","-"
"7/1/2018","Quicken Loans National","T13",".820","66.67","5' 8""","66.67","100.00","55.56",".00","83.33","62.50","80.00"
"6/24/2018","Travelers Championship","CUT","-.144","40.00","5' 7""","56.25","100.00","25.00",".00",".00","57.14","83.33"
"6/17/2018","U.S. Open","T45",".396","36.36","10' 1""","44.44","100.00",".00","18.18","50.00","71.43","100.00"
"6/3/2018","the Memorial Tournament","T62","-.746","77.78","10' 11""","63.64","100.00","50.00",".00","66.67","83.33","87.50"
"5/20/2018","AT&T Byron Nelson","2","-.041","50.00","13' 4""","63.64","100.00","100.00","50.00","66.67","66.67","-"
"5/13/2018","THE PLAYERS Championship","T63",".985","41.67","6' 6""","56.00","100.00","66.67",".00","50.00","57.14","100.00"
"4/15/2018","RBC Heritage","CUT",".010","80.00","7' 6""","72.22","-","100.00","40.00","100.00","85.71","100.00"
"4/8/2018","Masters Tournament","9","-","66.67","-","72.00","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T52","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7",".671","58.33","9' 0""","65.00","100.00","50.00","50.00","66.67","62.50","80.00"
"3/4/2018","WGC-Mexico Championship","T37",".429","20.00","12' 0""","60.87","100.00","60.00",".00","33.33","44.44","90.00"
"2/18/2018","Genesis Open","CUT","1.568","33.33","5' 10""","43.75","-","66.67",".00","50.00","37.50","100.00"
"2/4/2018","Waste Management Phoenix","T31",".504","57.14","7' 5""","60.71","100.00","62.50","37.50","-","63.64","77.78"
"1/28/2018","Farmers Insurance Open","T8","-.202","25.00","12' 1""","73.33","100.00","44.44","66.67",".00","78.57","100.00"
"1/14/2018","Sony Open in Hawaii","T47",".660","50.00","9' 11""","64.00","87.50","28.57",".00","33.33","75.00","100.00"
"1/7/2018","Sentry T of C","T7","-.579","14.29","12' 7""","68.75","50.00","75.00",".00","50.00","80.00","83.33"
"10/29/2017","WGC-HSBC Champions","T38","-","60.00","-","37.04","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","2","-","41.67","-","47.62","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T24",".209","54.55","7' 2""","60.00","100.00","53.33","14.29","83.33","66.67","80.00"
"9/17/2017","BMW Championship","1","1.505","50.00","8' 8""","75.00","100.00","55.56","33.33",".00","80.00","100.00"
"9/4/2017","Dell Technologies Champ","3",".421","50.00","14' 8""","50.00","-","40.00",".00","60.00","71.43","100.00"
"8/27/2017","THE NORTHERN TRUST","CUT","-.247","50.00","12' 9""","50.00","-",".00",".00","33.33","100.00","100.00"
"8/13/2017","PGA Championship","T13",".370","20.00","7' 5""","57.14","66.67","56.25","50.00","50.00","56.25","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T41",".775","45.45","10' 5""","64.52","-","81.82","50.00","40.00","64.71","100.00"
"7/23/2017","The Open Championship","T6","-","50.00","-","60.00","-","-","-","-","-","-"
"7/2/2017","Quicken Loans National","T5","1.043","75.00","8' 8""","56.00","100.00","36.36","25.00","42.86","66.67","80.00"
"6/25/2017","Travelers Championship","T17",".123",".00","57' 2""","68.75","100.00","66.67","50.00","100.00","75.00","75.00"
"6/18/2017","U.S. Open","T27",".471",".00","4' 7""","68.97","66.67","50.00","37.50","50.00","85.71","100.00"
"6/4/2017","the Memorial Tournament","T15","-.157","60.00","9' 10""","51.85","100.00","46.67",".00","20.00","62.50","72.73"
"5/28/2017","DEAN & DELUCA Invt'l","T34","-.669","40.00","9' 0""","54.55","80.00","33.33","25.00","60.00","63.64","100.00"
"5/21/2017","AT&T Byron Nelson","T13",".409","33.33","7' 11""","57.14","100.00","62.50",".00","75.00","50.00","80.00"
"5/14/2017","THE PLAYERS Championship","CUT",".929","33.33","9' 9""","33.33",".00","-","33.33","28.57","50.00","-"
"4/16/2017","RBC Heritage","T44",".305","60.00","9' 3""","59.09","100.00","20.00",".00",".00","90.91","100.00"
"4/9/2017","Masters Tournament","T43","-","62.50","-","64.29","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","1","-.081","72.73","9' 0""","68.42","-",".00","40.00","100.00","70.00","100.00"
"2/26/2017","The Honda Classic","T27",".741","88.89","5' 2""","62.50","100.00","37.50","57.14","50.00","100.00","50.00"
"2/19/2017","Genesis Open","CUT","-.121","100.00","4' 3""","65.00","80.00","44.44",".00","66.67","77.78","66.67"
"2/5/2017","Waste Management Phoenix","T24",".270","55.56","9' 8""","84.62","100.00","100.00","66.67","100.00","81.82","87.50"
"1/29/2017","Farmers Insurance Open","T20",".110","42.86","8' 9""","59.09","100.00","62.50","20.00","66.67","80.00","100.00"
"1/15/2017","Sony Open in Hawaii","T20",".057","50.00","12' 0""","76.19","100.00","66.67",".00","100.00","83.33","100.00"
"11/27/2016","(*) ISPS HANDA World Cup","T9","-","-","-","-","-","-","-","-","-","-"
"11/13/2016","OHL Classic at Mayakoba","T24","-","33.33","-","56.25","-","66.67","-","-","-","-"
"10/23/2016","CIMB Classic","5","-","33.33","-","46.15","-","-","-","-","-","-"
"9/11/2016","BMW Championship","T52",".290","100.00","6' 6""","56.67","100.00","52.63","33.33","66.67","66.67","80.00"
"9/5/2016","Deutsche Bank Champ","T46","-.373","75.00","8' 6""","73.08","100.00","69.23","66.67","50.00","88.89","85.71"
"8/28/2016","The Barclays","CUT","-.580","50.00","7' 9""","47.06","100.00","60.00",".00",".00","71.43","100.00"
"8/7/2016","Travelers Championship","T9","-.208","33.33","14' 0""","57.89","100.00","40.00","66.67","66.67","25.00","100.00"
"7/31/2016","PGA Championship","T60",".391","80.00","6' 5""","64.29","-","45.45","40.00","54.55","75.00","100.00"
"7/17/2016","The Open Championship","T53","-","42.86","-","54.17","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","55","-.316","66.67","9' 11""","47.06","66.67","47.62",".00","25.00","50.00","80.00"
"6/26/2016","Quicken Loans National","T39","-.152","33.33","15' 1""","43.75","50.00","60.00",".00","66.67","57.14","100.00"
"6/19/2016","U.S. Open","T18","-","30.00","-","40.00","-","-","-","-","-","-"
"6/5/2016","the Memorial Tournament","T11",".620","66.67","7' 9""","80.00","100.00","81.82","66.67","-","75.00","100.00"
"5/29/2016","DEAN & DELUCA Invt'l","T13",".540","66.67","4' 2""","72.73","-","70.00","66.67","75.00","72.73","75.00"
"5/22/2016","AT&T Byron Nelson","CUT",".346","50.00","7' 0""","60.00","100.00",".00",".00","-","75.00","75.00"
"5/15/2016","THE PLAYERS Championship","T64",".504","42.86","8' 8""","53.13","100.00","30.00","28.57","42.86","54.55","100.00"
"5/1/2016","Zurich Classic of New Orl","T20",".130","66.67","10' 8""","68.75","100.00","75.00","50.00","33.33","80.00","100.00"
"4/17/2016","RBC Heritage","T30",".469","66.67","11' 4""","62.86","66.67","50.00","60.00","50.00","64.71","71.43"
"4/10/2016","Masters Tournament","CUT","-",".00","-","33.33","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","T51","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T17","-.577","50.00","10' 3""","72.22","100.00","80.00",".00","25.00","91.67","100.00"
"3/6/2016","WGC-Cadillac Championship","T28",".234","66.67","7' 6""","46.43","100.00","45.45","66.67","40.00","44.44","60.00"
"2/21/2016","Northern Trust Open","T5",".342",".00","11' 4""","79.17","75.00","100.00","-","66.67","75.00","100.00"
"1/31/2016","Farmers Insurance Open","CUT",".069","42.86","8' 11""","50.00",".00","60.00","-","100.00","50.00",".00"
"1/24/2016","CareerBuilder Challenge","CUT","3.174","20.00","10' 2""","68.42","-","75.00","-","75.00","50.00","100.00"
"1/17/2016","Sony Open in Hawaii","T28",".551","77.78","7' 11""","75.00","100.00","50.00",".00",".00","91.67","87.50"
"11/8/2015","WGC-HSBC Champions","T11","-","66.67","-","85.00","-","-","-","-","-","-"
"11/1/2015","CIMB Classic","T29","-","60.00","-","56.00","-","-","-","-","-","-"
"10/11/2015","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/7/2015","Deutsche Bank Champ","CUT","1.007","66.67","6' 6""","56.25","-","75.00","50.00",".00","62.50","100.00"
"8/30/2015","The Barclays","CUT",".447","40.00","6' 5""","33.33","-","50.00","50.00",".00","20.00","-"
"8/16/2015","PGA Championship","CUT",".482","40.00","8' 3""","38.46","50.00","66.67","50.00",".00","50.00","100.00"
"8/9/2015","WGC-Bridgestone Invit'l","T33",".086","77.78","6' 1""","57.58","100.00","64.29","14.29","25.00","61.54","100.00"
"7/19/2015","The Open Championship","T2","-","25.00","-","75.00","-","-","-","-","-","-"
"7/5/2015","The Greenbrier Classic","CUT",".672","50.00","8' 1""","40.00","100.00","25.00",".00","50.00","42.86","-"
"6/28/2015","Travelers Championship","T39",".246",".00","9' 2""","60.87","66.67","75.00","40.00","40.00","70.00","100.00"
"6/21/2015","U.S. Open","CUT","-","-","-","25.00","-","-","-","-","-","-"
"6/7/2015","the Memorial Tournament","T5","-.053","40.00","7' 3""","60.87","100.00","57.14",".00",".00","61.54","85.71"
"5/31/2015","AT&T Byron Nelson","CUT","1.944","100.00","6""","58.33","100.00","57.14","50.00","-","100.00","50.00"
"5/24/2015","Crowne Plaza Invitational","T27","-.433","33.33","19' 2""","40.00","100.00","37.50","25.00","33.33","60.00","33.33"
"5/10/2015","THE PLAYERS Championship","T24",".260","28.57","14' 3""","64.00","100.00","75.00",".00",".00","92.31","100.00"
"5/3/2015","WGC-Cadillac Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"4/26/2015","Zurich Classic of New Orl","T28",".572","83.33","11' 7""","69.57","100.00","20.00",".00","66.67","72.73","100.00"
"3/22/2015","Arnold Palmer Invt'l","CUT","-.226",".00","20' 5""","62.50","66.67",".00","50.00","33.33","100.00","100.00"
"3/15/2015","Valspar Championship","CUT","-.628","50.00","2' 5""","40.00","50.00","37.50",".00","66.67","33.33","50.00"
"3/1/2015","The Honda Classic","T51","-.544","42.86","10' 0""","56.67","100.00","87.50","40.00","50.00","58.33","83.33"
"2/22/2015","Northern Trust Open","CUT","-1.696",".00","9' 4""","45.00","100.00","25.00","25.00",".00","50.00","75.00"
"2/8/2015","Farmers Insurance Open","T27",".161","71.43","9' 9""","60.87","100.00","46.67","40.00","100.00","60.00","66.67"
"1/18/2015","Sony Open in Hawaii","T37",".476","66.67","9' 6""","69.23","66.67","62.50","20.00","60.00","88.89","85.71"
"11/9/2014","WGC-HSBC Champions","9","-","33.33","-","71.43","-","-","-","-","-","-"
"11/2/2014","CIMB Classic","T39","-","40.00","-","52.94","-","-","-","-","-","-"
"10/12/2014","Frys.com Open","T46",".132","66.67","8' 2""","52.17","33.33","33.33","20.00","50.00","50.00","83.33"
"9/7/2014","BMW Championship","T53",".145","50.00","4' 10""","52.17","100.00","55.56","28.57","66.67","42.86","100.00"
"9/1/2014","Deutsche Bank Champ","T65","-.080","66.67","9' 3""","56.00","100.00","57.14","33.33","25.00","50.00","100.00"
"8/24/2014","The Barclays","CUT","-.141","20.00","5' 1""","61.11","100.00","87.50","33.33","66.67","62.50","75.00"
"8/10/2014","PGA Championship","T46","-.514","50.00","8' 8""","48.15","-","54.55","28.57","100.00","22.22","83.33"
"8/3/2014","WGC-Bridgestone Invit'l","3","-.037","71.43","7' 4""","58.33","100.00","50.00","25.00",".00","70.00","85.71"
"7/20/2014","The Open Championship","T5","-","85.71","-","65.00","-","-","-","-","-","-"
"7/6/2014","The Greenbrier Classic","CUT",".907","50.00","16' 1""","75.00","100.00","60.00","100.00","33.33","100.00","66.67"
