"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","T3","1.891",".545","303.5","297.7","360","55.36","21' 7""","8.93","26.79","88","117.36","117"
"1/6/2019","Sentry T of C","T4",".859","-.043","279.4","293.9","404","81.67","18' 3""","11.67","3.33","23","116.23","40"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","-","-","-","62.50","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","1","-","-","-","-","-","64.29","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T21","-1.115",".089","297.6","296.0","334","55.36","19' 10""","20.00","16.36","35","116.00","26"
"9/9/2018","BMW Championship","T41","-.873","-.276","294.5","287.1","348","67.86","37' 7""","12.73","12.73","78","113.79","89"
"9/3/2018","Dell Technologies Champ","T21","1.301",".806","309.6","291.5","352","76.79","29' 3""","3.64","16.36","18","116.09","84"
"8/26/2018","THE NORTHERN TRUST","T34",".043","-.004","286.1","281.8","310","58.93","32' 4""","7.27","25.45","90","113.09","116"
"8/12/2018","PGA Championship","T71","-.542","-.174","303.0","287.0","326","62.50","24' 2""","9.09","20.00","91","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T14","1.964",".604","305.6","309.4","387","46.43","28' 10""","21.82","27.27","100","115.11","33"
"7/22/2018","The Open Championship","60","-","-","286.4","-","333","55.00","-","-","-","117","-","-"
"7/1/2018","Quicken Loans National","T13","1.213",".459","313.9","284.7","361","58.93","23' 1""","17.86","16.07","42","115.79","19"
"6/24/2018","Travelers Championship","CUT",".374",".174","304.0","281.8","325","64.29","20' 5""","17.86","3.57","1,998","112.82","1,998"
"6/17/2018","U.S. Open","T45","1.352","-.270","301.9","287.8","340","75.00","-","12.50","1.79","58","-","-"
"6/3/2018","the Memorial Tournament","T62","-.973",".074","295.1","287.9","322","67.86","32' 2""","14.29","8.93","67","113.86","32"
"5/20/2018","AT&T Byron Nelson","2","1.209",".690","304.5","290.1","337","87.50","19' 10""","3.57",".00","20","114.39","13"
"5/13/2018","THE PLAYERS Championship","T63","1.358","-.345","286.8","283.9","333","53.57","24' 4""","5.36","19.64","119","114.13","19"
"4/15/2018","RBC Heritage","CUT","-1.863","-3.280","277.8","276.8","337","39.29","24' 10""","14.81","22.22","1,998","115.60","1,998"
"4/8/2018","Masters Tournament","9","-","-","291.8","-","324","53.57","-","-","-","71","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T52","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7","1.820","-.019","296.6","283.3","332","66.07","32' 7""","8.93","17.86","66","115.37","68"
"3/4/2018","WGC-Mexico Championship","T37",".451",".008","309.4","300.9","369","60.71","26' 1""","14.55","12.73","36","114.86","50"
"2/18/2018","Genesis Open","CUT","1.535","-.097","305.3","288.6","331","57.14","25' 7""","21.43","14.29","1,998","114.82","1,998"
"2/4/2018","Waste Management Phoenix","T31","-.108","-.166","303.1","303.2","361","57.14","24' 11""","12.50","10.71","67","118.22","105"
"1/28/2018","Farmers Insurance Open","T8",".766","-.420","300.6","292.4","347","33.93","41' 1""","10.26","48.72","106","117.49","142"
"1/14/2018","Sony Open in Hawaii","T47",".340",".034","311.8","296.8","362","42.86","24' 7""","17.86","26.79","99","115.45","122"
"1/7/2018","Sentry T of C","T7","1.047",".292","277.3","302.2","391","63.33","20' 4""","8.47","16.95","35","116.43","39"
"10/29/2017","WGC-HSBC Champions","T38","-","-","-","-","332","57.14","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","2","-","-","-","-","-","73.21","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T24","-1.369","-.383","290.9","290.9","333","51.79","32' 5""","7.14","32.14","43","118.41","35"
"9/17/2017","BMW Championship","1","2.745",".334","311.5","288.9","347","67.86","21' 1""","5.36","16.07","34","118.26","46"
"9/4/2017","Dell Technologies Champ","3","1.140",".184","282.1","284.4","324","57.14","23' 10""","10.71","16.07","128","117.91","97"
"8/27/2017","THE NORTHERN TRUST","CUT","1.345","-.789","286.8","283.4","340","57.14","23' 0""","7.14","21.43","1,998","119.81","1,998"
"8/13/2017","PGA Championship","T13","1.990",".619","299.9","300.2","322","58.93","30' 7""","5.36","23.21","83","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T41",".573",".133","320.0","298.9","368","46.43","22' 11""","12.73","29.09","69","118.60","113"
"7/23/2017","The Open Championship","T6","-","-","298.4","-","336","44.64","-","-","-","84","-","-"
"7/2/2017","Quicken Loans National","T5","1.215","-.011","310.9","281.9","359","51.79","18' 2""","12.73","25.45","74","118.27","59"
"6/25/2017","Travelers Championship","T17","1.757","-.097","300.1","284.2","340","62.50","23' 9""","14.55","12.73","67","118.74","44"
"6/18/2017","U.S. Open","T27",".981",".303","309.0","301.2","349","64.29","-","10.71","19.64","90","-","-"
"6/4/2017","the Memorial Tournament","T15","1.522","1.314","305.5","296.5","362","75.00","16' 4""","12.50","10.71","17","118.08","99"
"5/28/2017","DEAN & DELUCA Invt'l","T34",".609",".359","303.5","286.7","345","51.79","33' 3""","12.50","30.36","63","117.62","80"
"5/21/2017","AT&T Byron Nelson","T13","3.490","1.133","287.5","295.1","369","58.93","23' 3""","12.50","21.43","53","118.76","96"
"5/14/2017","THE PLAYERS Championship","CUT","-.436",".321","301.0","282.0","323","50.00","39' 9""","3.70","22.22","1,998","117.85","1,998"
"4/16/2017","RBC Heritage","T44","1.603",".909","276.1","274.5","346","67.86","25' 5""","9.09","12.73","55","117.05","72"
"4/9/2017","Masters Tournament","T43","-","-","278.8","-","317","66.07","-","-","-","65","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","1","1.500",".354","293.8","283.7","346","73.21","20' 1""","5.45","10.91","43","118.49","125"
"2/26/2017","The Honda Classic","T27","-.150","-.298","299.8","276.5","335","50.00","41' 6""","14.55","16.36","87","118.80","71"
"2/19/2017","Genesis Open","CUT","-.423","-.400","284.3","287.0","319","46.43","33' 3""","7.41","29.63","1,998","119.04","1,998"
"2/5/2017","Waste Management Phoenix","T24",".568",".369","319.6","311.8","352","50.00","34' 6""","10.71","17.86","64","121.51","80"
"1/29/2017","Farmers Insurance Open","T20",".297",".689","295.5","288.2","310","53.57","31' 6""","7.14","30.95","54","118.04","114"
"1/15/2017","Sony Open in Hawaii","T20",".822",".522","322.0","300.3","357","48.21","28' 6""","7.14","33.93","64","118.48","106"
"11/27/2016","(*) ISPS HANDA World Cup","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"11/13/2016","OHL Classic at Mayakoba","T24","-","-","278.5","-","312","58.93","-","-","-","116","-","-"
"10/23/2016","CIMB Classic","5","-","-","-","-","-","67.86","-","-","-","-","-","-"
"9/11/2016","BMW Championship","T52","-1.506","-.478","285.9","286.4","347","62.50","26' 11""","12.50","17.86","88","115.37","130"
"9/5/2016","Deutsche Bank Champ","T46","-.324",".407","294.8","282.3","327","64.29","24' 8""","8.93","12.50","72","114.78","53"
"8/28/2016","The Barclays","CUT","-2.490",".093","291.3","294.6","344","39.29","22' 10""","21.43","25.00","1,998","112.99","1,998"
