"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","T3","1.121","31.3","1.692","1.528","43.06","1.39","27.50","26.00","27.00","29.00","28.00","100.00","100.00","100.00","75.00","71.43","50.00","40.00","66.67","73.33","88.41","63.64","100.00",".00","4.55","32' 5""","2' 6""","80' 3""","38.46"
"1/6/2019","Sentry T of C","T4",".815","31.5","1.754","1.667","36.11","2.78","30.00","27.00","31.00","29.00","33.00","100.00","87.50","87.50","33.33","100.00","50.00","50.00","75.00","66.67","86.84","25.00","20.00","12.50","11.11","29' 6""","2' 8""","83' 0""","38.60"
"11/25/2018","(*) ISPS Handa World Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","1.833","1.750","31.94","6.94","31.50","36.00","31.00","30.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.33"
"10/14/2018","CIMB Classic","1","-","-","1.528","1.417","59.72","1.39","25.50","26.00","24.00","27.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","54.72"
"9/23/2018","TOUR Championship","T21",".482","32.4","1.767","1.597","44.44","4.17","28.75","31.00","31.00","24.00","29.00","100.00","100.00","71.43","75.00","66.67","75.00","-","100.00","72.22","92.86","30.00","25.00","12.50","8.70","28' 7""","2' 6""","80' 11""","34.88"
"9/9/2018","BMW Championship","T41",".257","58.4","1.745","1.639","34.72","1.39","29.50","29.00","31.00","31.00","27.00","100.00","100.00","87.50","100.00","33.33","80.00","100.00","33.33","78.95","91.55","16.67","44.44",".00","4.00","45' 8""","2' 5""","76' 11""","29.41"
"9/3/2018","Dell Technologies Champ","T21","-.204","75.3","1.764","1.653","37.50","2.78","29.75","29.00","32.00","29.00","29.00","100.00","85.71","100.00","50.00","50.00",".00","75.00","50.00","56.25","84.81","37.50",".00",".00","9.09","57' 4""","2' 4""","87' 10""","30.91"
"8/26/2018","THE NORTHERN TRUST","T34",".600","71.8","1.755","1.667","37.50","4.17","30.00","33.00","32.00","29.00","26.00","100.00","100.00","100.00","83.33","100.00","100.00","33.33",".00","92.31","91.30","46.15","11.11",".00","10.00","28' 1""","2' 6""","82' 6""","30.19"
"8/12/2018","PGA Championship","T71","-.005","70.5","1.689","1.597","37.50",".00","28.75","30.00","28.00","29.00","28.00","100.00","100.00","75.00","75.00","80.00","75.00",".00","33.33","76.19","89.19","33.33",".00",".00","5.88","54' 3""","2' 2""","74' 11""","31.11"
